,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1662448000.0,1537701000.0,1851704000.0,2976256000.0
Cash Flow From Continuing Operating Activities,1662448000.0,1537701000.0,1851704000.0,2976256000.0
Net Income From Continuing Operations,-1154513000.0,-967176000.0,-1221695000.0,-2007158000.0
Operating Gains Losses,4003668000.0,-247534000.0,-616634000.0,178591000.0
Gain Loss On Sale Of Business,,-187223000.0,,
Gain Loss On Sale Of PPE,290711000.0,,,
Gain Loss On Investment Securities,3703201000.0,-85746000.0,-616634000.0,178591000.0
Depreciation Amortization Depletion,1742938000.0,1456885000.0,1597957000.0,1807113000.0
Depreciation And Amortization,1742938000.0,1456885000.0,1597957000.0,1807113000.0
Depreciation,1676702000.0,1393465000.0,1538745000.0,1729739000.0
Amortization Cash Flow,66236000.0,63420000.0,59212000.0,77374000.0
Amortization Of Intangibles,66236000.0,63420000.0,59212000.0,77374000.0
Deferred Tax,-433608000.0,-155840000.0,-275063000.0,-510405000.0
Deferred Income Tax,-433608000.0,-155840000.0,-275063000.0,-510405000.0
Asset Impairment Charge,,442111000.0,1710122000.0,3788373000.0
Provisionand Write Offof Assets,,,,3078000.0
Unrealized Gain Loss On Investment Securities,,,336993000.0,
Stock Based Compensation,28169000.0,19552000.0,31233000.0,25189000.0
Other Non Cash Items,-2157498000.0,850525000.0,269255000.0,-189030000.0
Change In Working Capital,-366708000.0,139178000.0,19536000.0,-119495000.0
Change In Receivables,-699992000.0,-36296000.0,265042000.0,-556250000.0
Changes In Account Receivables,-699992000.0,-36296000.0,432323000.0,-439062000.0
Change In Payables And Accrued Expense,456988000.0,-29193000.0,-238674000.0,457113000.0
Change In Payable,456988000.0,-29193000.0,-238674000.0,457113000.0
Change In Account Payable,456988000.0,-29193000.0,-238674000.0,457113000.0
Change In Other Current Assets,-75100000.0,-68628000.0,,
Change In Other Working Capital,-48604000.0,273295000.0,-6832000.0,-20358000.0
Investing Cash Flow,-2072742000.0,-1555800000.0,-1601142000.0,-3979104000.0
Cash Flow From Continuing Investing Activities,-2072742000.0,-1555800000.0,-1601142000.0,-3979104000.0
Capital Expenditure Reported,-1055128000.0,-1042231000.0,-1602454000.0,-3731764000.0
Net Business Purchase And Sale,-1030239000.0,-691942000.0,,-820943000.0
Purchase Of Business,-1030239000.0,-691942000.0,,-820943000.0
Sale Of Business,,52323000.0,,
Net Investment Purchase And Sale,24369000.0,,,0.0
Sale Of Investment,24369000.0,,,0.0
Net Other Investing Changes,-11744000.0,178373000.0,1312000.0,573603000.0
Financing Cash Flow,506047000.0,31713000.0,-249453000.0,859020000.0
Cash Flow From Continuing Financing Activities,506047000.0,31713000.0,-249453000.0,859020000.0
Net Issuance Payments Of Debt,536065000.0,-237394000.0,-210661000.0,2175624000.0
Net Long Term Debt Issuance,836065000.0,-243394000.0,295339000.0,2491624000.0
Long Term Debt Issuance,1000000000.0,2600000000.0,1000000000.0,2500000000.0
Long Term Debt Payments,-163935000.0,-2843394000.0,-704661000.0,-8376000.0
Net Short Term Debt Issuance,-300000000.0,6000000.0,-506000000.0,-316000000.0
Short Term Debt Issuance,8086000000.0,3118250000.0,2978750000.0,8637500000.0
Short Term Debt Payments,-8386000000.0,-3112250000.0,-3484750000.0,-8953500000.0
Net Common Stock Issuance,-12922000.0,340923000.0,0.0,-538903000.0
Common Stock Issuance,0.0,340923000.0,,0.0
Common Stock Payments,-12922000.0,,0.0,-538903000.0
Cash Dividends Paid,0.0,-7664000.0,-30655000.0,-31375000.0
Common Stock Dividend Paid,,-7664000.0,-30655000.0,-31375000.0
Proceeds From Stock Option Exercised,,,0.0,1946000.0
Net Other Financing Charges,-17096000.0,-64152000.0,-8137000.0,-748272000.0
End Cash Position,113963000.0,18210000.0,4596000.0,3487000.0
Changes In Cash,95753000.0,13614000.0,1109000.0,-143828000.0
Beginning Cash Position,18210000.0,4596000.0,3487000.0,147315000.0
Interest Paid Supplemental Data,,,198562000.0,260959000.0
Capital Expenditure,-1055128000.0,-1042231000.0,-1602454000.0,-3731764000.0
Issuance Of Capital Stock,0.0,340923000.0,,0.0
Issuance Of Debt,9086000000.0,5718250000.0,3978750000.0,11137500000.0
Repayment Of Debt,-8549935000.0,-5955644000.0,-4189411000.0,-8961876000.0
Repurchase Of Capital Stock,-12922000.0,,0.0,-538903000.0
Free Cash Flow,607320000.0,495470000.0,249250000.0,-755508000.0
