,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,15787000000.0,24269000000.0,17639000000.0,15022000000.0
Cash Flow From Continuing Operating Activities,15787000000.0,24269000000.0,17639000000.0,15022000000.0
Net Income From Continuing Operations,17910000000.0,-1276000000.0,84000000.0,3695000000.0
Operating Gains Losses,-12158000000.0,-2839000000.0,2745000000.0,1093000000.0
Gain Loss On Sale Of Business,-368000000.0,-3446000000.0,-29000000.0,-42000000.0
Net Foreign Currency Exchange Gain Loss,532000000.0,-420000000.0,-54000000.0,529000000.0
Gain Loss On Investment Securities,-9159000000.0,,,
Earnings Losses From Equity Investments,-368000000.0,-3446000000.0,203000000.0,206000000.0
Pension And Employee Benefit Expense,-4865000000.0,1027000000.0,2625000000.0,400000000.0
Depreciation Amortization Depletion,5960000000.0,7457000000.0,8490000000.0,8308000000.0
Depreciation And Amortization,5960000000.0,7457000000.0,8490000000.0,8308000000.0
Depreciation,7318000000.0,8751000000.0,9689000000.0,9280000000.0
Amortization Cash Flow,-1358000000.0,-1294000000.0,-1199000000.0,-972000000.0
Amortization Of Intangibles,-1358000000.0,-1294000000.0,-1199000000.0,-972000000.0
Deferred Tax,-563000000.0,-269000000.0,-1370000000.0,-197000000.0
Deferred Income Tax,-563000000.0,-269000000.0,-1370000000.0,-197000000.0
Asset Impairment Charge,0.0,23000000.0,804000000.0,
Provisionand Write Offof Assets,-298000000.0,929000000.0,413000000.0,609000000.0
Stock Based Compensation,305000000.0,199000000.0,228000000.0,191000000.0
Other Non Cash Items,-186000000.0,917000000.0,41000000.0,17000000.0
Change In Working Capital,4701000000.0,18998000000.0,6204000000.0,1306000000.0
Change In Receivables,6515000000.0,12041000000.0,738000000.0,-4647000000.0
Changes In Account Receivables,6515000000.0,12041000000.0,738000000.0,-4647000000.0
Change In Inventory,-1778000000.0,148000000.0,206000000.0,-828000000.0
Change In Payables And Accrued Expense,-36000000.0,6809000000.0,5260000000.0,6781000000.0
Change In Payable,-36000000.0,6809000000.0,,
Change In Account Payable,-36000000.0,6809000000.0,,
Dividend Received Cfo,116000000.0,130000000.0,,
Investing Cash Flow,2745000000.0,-18615000000.0,-13721000000.0,-16261000000.0
Cash Flow From Continuing Investing Activities,2745000000.0,-18615000000.0,-13721000000.0,-16261000000.0
Capital Expenditure Reported,-6227000000.0,-5742000000.0,-7632000000.0,-7785000000.0
Net Business Purchase And Sale,145000000.0,1340000000.0,,
Sale Of Business,145000000.0,1340000000.0,,
Net Investment Purchase And Sale,5466000000.0,-7552000000.0,-657000000.0,3745000000.0
Purchase Of Investment,-27763000000.0,-39947000000.0,-17586000000.0,-17140000000.0
Sale Of Investment,33229000000.0,32395000000.0,16929000000.0,20885000000.0
Net Other Investing Changes,3361000000.0,-6661000000.0,-5432000000.0,-12221000000.0
Financing Cash Flow,-23498000000.0,2315000000.0,-3129000000.0,-122000000.0
Cash Flow From Continuing Financing Activities,-23498000000.0,2315000000.0,-3129000000.0,-122000000.0
Net Issuance Payments Of Debt,-22990000000.0,3095000000.0,-277000000.0,3139000000.0
Net Long Term Debt Issuance,-26263000000.0,5386000000.0,1107000000.0,5958000000.0
Long Term Debt Issuance,27901000000.0,65900000000.0,47604000000.0,50130000000.0
Long Term Debt Payments,-54164000000.0,-60514000000.0,-46497000000.0,-44172000000.0
Net Short Term Debt Issuance,3273000000.0,-2291000000.0,-1384000000.0,-2819000000.0
Net Common Stock Issuance,0.0,0.0,-237000000.0,-164000000.0
Common Stock Payments,0.0,0.0,-237000000.0,-164000000.0
Cash Dividends Paid,-403000000.0,-596000000.0,-2389000000.0,-2905000000.0
Common Stock Dividend Paid,-403000000.0,-596000000.0,-2389000000.0,-2905000000.0
Net Other Financing Charges,-105000000.0,-184000000.0,-226000000.0,-192000000.0
End Cash Position,20737000000.0,25935000000.0,17741000000.0,16907000000.0
Changes In Cash,-4966000000.0,7969000000.0,789000000.0,-1361000000.0
Effect Of Exchange Rate Changes,-232000000.0,225000000.0,45000000.0,-370000000.0
Beginning Cash Position,25935000000.0,17741000000.0,16907000000.0,18638000000.0
Capital Expenditure,-6227000000.0,-5742000000.0,-7632000000.0,-7785000000.0
Issuance Of Debt,27901000000.0,65900000000.0,47604000000.0,50130000000.0
Repayment Of Debt,-54164000000.0,-60514000000.0,-46497000000.0,-44172000000.0
Repurchase Of Capital Stock,0.0,0.0,-237000000.0,-164000000.0
Free Cash Flow,9560000000.0,18527000000.0,10007000000.0,7237000000.0
