,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Operating Cash Flow,9832000000.0,10135000000.0,5097000000.0,5613000000.0
Cash Flow From Continuing Operating Activities,9832000000.0,10135000000.0,5097000000.0,5613000000.0
Net Income From Continuing Operations,3826000000.0,5231000000.0,1286000000.0,540000000.0
Operating Gains Losses,1578000000.0,-783000000.0,794000000.0,3874000000.0
Gain Loss On Sale Of Business,,0.0,0.0,-8000000.0
Pension And Employee Benefit Expense,1578000000.0,-1176000000.0,794000000.0,3882000000.0
Depreciation Amortization Depletion,3970000000.0,3793000000.0,3615000000.0,3353000000.0
Depreciation And Amortization,3970000000.0,3793000000.0,3615000000.0,3353000000.0
Deferred Tax,2931000000.0,2887000000.0,,-233000000.0
Deferred Income Tax,2931000000.0,2887000000.0,,-233000000.0
Asset Impairment Charge,0.0,0.0,435000000.0,0.0
Provisionand Write Offof Assets,403000000.0,577000000.0,442000000.0,295000000.0
Stock Based Compensation,190000000.0,200000000.0,168000000.0,174000000.0
Other Non Cash Items,53000000.0,102000000.0,2449000000.0,101000000.0
Change In Working Capital,-3119000000.0,-1872000000.0,-4092000000.0,-2491000000.0
Change In Receivables,-310000000.0,-1389000000.0,-1331000000.0,-873000000.0
Change In Payables And Accrued Expense,-1861000000.0,71000000.0,-1787000000.0,-571000000.0
Change In Payable,-1861000000.0,71000000.0,-1787000000.0,-571000000.0
Change In Account Payable,-1861000000.0,71000000.0,-1787000000.0,-571000000.0
Change In Other Current Assets,-158000000.0,-40000000.0,-59000000.0,-25000000.0
Change In Other Working Capital,-790000000.0,-514000000.0,-915000000.0,-1022000000.0
Investing Cash Flow,-6816000000.0,-6010000000.0,-5846000000.0,-5473000000.0
Cash Flow From Continuing Investing Activities,-6816000000.0,-6010000000.0,-5846000000.0,-5473000000.0
Capital Expenditure Reported,-6763000000.0,-5884000000.0,-5868000000.0,-5490000000.0
Net Business Purchase And Sale,0.0,-228000000.0,0.0,-66000000.0
Purchase Of Business,0.0,-228000000.0,0.0,-66000000.0
Sale Of Business,,,0.0,0.0
Net Investment Purchase And Sale,-147000000.0,,,
Purchase Of Investment,-147000000.0,,,
Net Other Investing Changes,94000000.0,102000000.0,22000000.0,83000000.0
Financing Cash Flow,-3019000000.0,-2090000000.0,3381000000.0,-1039000000.0
Cash Flow From Continuing Financing Activities,-3019000000.0,-2090000000.0,3381000000.0,-1039000000.0
Net Issuance Payments Of Debt,-161000000.0,-2106000000.0,4008000000.0,1027000000.0
Net Long Term Debt Issuance,-161000000.0,-2106000000.0,4008000000.0,1027000000.0
Long Term Debt Issuance,0.0,4212000000.0,6556000000.0,2463000000.0
Long Term Debt Payments,-161000000.0,-6318000000.0,-2548000000.0,-1436000000.0
Net Common Stock Issuance,-2064000000.0,740000000.0,61000000.0,-1379000000.0
Common Stock Issuance,184000000.0,740000000.0,64000000.0,101000000.0
Common Stock Payments,-2248000000.0,0.0,-3000000.0,-1480000000.0
Cash Dividends Paid,-793000000.0,-686000000.0,-679000000.0,-683000000.0
Common Stock Dividend Paid,-793000000.0,-686000000.0,-679000000.0,-683000000.0
Net Other Financing Charges,-1000000.0,-38000000.0,-9000000.0,-4000000.0
End Cash Position,6897000000.0,7087000000.0,4881000000.0,2319000000.0
Changes In Cash,-3000000.0,2035000000.0,2632000000.0,-899000000.0
Effect Of Exchange Rate Changes,-187000000.0,171000000.0,-70000000.0,-47000000.0
Beginning Cash Position,7087000000.0,4881000000.0,2319000000.0,3265000000.0
Income Tax Paid Supplemental Data,,1374000000.0,,407000000.0
Interest Paid Supplemental Data,,819000000.0,,617000000.0
Capital Expenditure,-6763000000.0,-5884000000.0,-5868000000.0,-5490000000.0
Issuance Of Capital Stock,184000000.0,740000000.0,64000000.0,101000000.0
Issuance Of Debt,0.0,4212000000.0,6556000000.0,2463000000.0
Repayment Of Debt,-161000000.0,-6318000000.0,-2548000000.0,-1436000000.0
Repurchase Of Capital Stock,-2248000000.0,0.0,-3000000.0,-1480000000.0
Free Cash Flow,3069000000.0,4251000000.0,-771000000.0,123000000.0
