,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,11384000000.0,8168000000.0,9144000000.0,8400000000.0
Cash Flow From Continuing Operating Activities,11384000000.0,8168000000.0,9144000000.0,8400000000.0
Net Income From Continuing Operations,6201000000.0,89000000.0,5364000000.0,5460000000.0
Operating Gains Losses,610000000.0,1662000000.0,-1241000000.0,
Gain Loss On Investment Securities,610000000.0,1662000000.0,,
Earnings Losses From Equity Investments,,,-1241000000.0,
Depreciation Amortization Depletion,2050000000.0,1480000000.0,1404000000.0,1429000000.0
Depreciation And Amortization,2050000000.0,1480000000.0,1404000000.0,1429000000.0
Depreciation,329000000.0,288000000.0,255000000.0,226000000.0
Amortization Cash Flow,1721000000.0,1192000000.0,1149000000.0,1203000000.0
Amortization Of Intangibles,1721000000.0,1192000000.0,1149000000.0,1203000000.0
Deferred Tax,-116000000.0,-214000000.0,-2098000000.0,289000000.0
Deferred Income Tax,-116000000.0,-214000000.0,-2098000000.0,289000000.0
Asset Impairment Charge,121000000.0,40000000.0,1347000000.0,820000000.0
Provisionand Write Offof Assets,,,,440000000.0
Unrealized Gain Loss On Investment Securities,,,-1241000000.0,
Stock Based Compensation,635000000.0,643000000.0,636000000.0,845000000.0
Other Non Cash Items,1394000000.0,6106000000.0,4530000000.0,56000000.0
Change In Working Capital,489000000.0,-1638000000.0,-798000000.0,-939000000.0
Change In Receivables,313000000.0,-1171000000.0,-218000000.0,480000000.0
Changes In Account Receivables,313000000.0,-1171000000.0,-218000000.0,480000000.0
Change In Inventory,11000000.0,-195000000.0,-95000000.0,-310000000.0
Change In Prepaid Assets,-42000000.0,-214000000.0,-307000000.0,903000000.0
Change In Payables And Accrued Expense,207000000.0,-58000000.0,-178000000.0,-2012000000.0
Change In Payable,-482000000.0,-698000000.0,211000000.0,-1498000000.0
Change In Tax Payable,-364000000.0,-778000000.0,272000000.0,-1459000000.0
Change In Income Tax Payable,-364000000.0,-778000000.0,272000000.0,-1459000000.0
Change In Account Payable,-118000000.0,80000000.0,-61000000.0,-39000000.0
Change In Accrued Expense,689000000.0,640000000.0,-389000000.0,-514000000.0
Investing Cash Flow,-3131000000.0,-14615000000.0,-7817000000.0,14355000000.0
Cash Flow From Continuing Investing Activities,-3131000000.0,-14615000000.0,-7817000000.0,14355000000.0
Capital Expenditure Reported,-579000000.0,-650000000.0,-825000000.0,-924000000.0
Net Business Purchase And Sale,-1402000000.0,-25742000000.0,0.0,0.0
Purchase Of Business,-1402000000.0,-25742000000.0,0.0,0.0
Net Investment Purchase And Sale,-987000000.0,11948000000.0,-2307000000.0,15279000000.0
Purchase Of Investment,-3897000000.0,-20770000000.0,-32228000000.0,-10579000000.0
Sale Of Investment,2910000000.0,32718000000.0,29921000000.0,25858000000.0
Net Other Investing Changes,-163000000.0,-171000000.0,-4685000000.0,
Financing Cash Flow,-8877000000.0,770000000.0,-7634000000.0,-12318000000.0
Cash Flow From Continuing Financing Activities,-8877000000.0,770000000.0,-7634000000.0,-12318000000.0
Net Issuance Payments Of Debt,-4750000000.0,5684000000.0,-2750000000.0,-6250000000.0
Net Long Term Debt Issuance,-4750000000.0,5684000000.0,-2750000000.0,-6250000000.0
Long Term Debt Issuance,0.0,8184000000.0,0.0,0.0
Long Term Debt Payments,-4750000000.0,-2500000000.0,-2750000000.0,-6250000000.0
Net Common Stock Issuance,-377000000.0,-1327000000.0,-1540000000.0,-2611000000.0
Common Stock Issuance,169000000.0,256000000.0,209000000.0,289000000.0
Common Stock Payments,-546000000.0,-1583000000.0,-1749000000.0,-2900000000.0
Cash Dividends Paid,-3605000000.0,-3449000000.0,-3222000000.0,-2971000000.0
Common Stock Dividend Paid,,-3449000000.0,-3222000000.0,-2971000000.0
Proceeds From Stock Option Exercised,,,,0.0
Net Other Financing Charges,-145000000.0,-138000000.0,-122000000.0,-486000000.0
End Cash Position,5338000000.0,5997000000.0,11631000000.0,17940000000.0
Changes In Cash,-624000000.0,-5677000000.0,-6307000000.0,10437000000.0
Effect Of Exchange Rate Changes,-35000000.0,43000000.0,-2000000.0,-85000000.0
Beginning Cash Position,5997000000.0,11631000000.0,17940000000.0,7588000000.0
Income Tax Paid Supplemental Data,2509000000.0,2639000000.0,1793000000.0,3198000000.0
Interest Paid Supplemental Data,979000000.0,951000000.0,982000000.0,1070000000.0
Capital Expenditure,-579000000.0,-650000000.0,-825000000.0,-924000000.0
Issuance Of Capital Stock,169000000.0,256000000.0,209000000.0,289000000.0
Issuance Of Debt,0.0,8184000000.0,0.0,0.0
Repayment Of Debt,-4750000000.0,-2500000000.0,-2750000000.0,-6250000000.0
Repurchase Of Capital Stock,-546000000.0,-1583000000.0,-1749000000.0,-2900000000.0
Free Cash Flow,10805000000.0,7518000000.0,8319000000.0,7476000000.0
