,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1437680000.0,1476434000.0,1363874000.0,1277647000.0
Cash Flow From Continuing Operating Activities,1437680000.0,1476434000.0,1346575000.0,1276416000.0
Net Income From Continuing Operations,744959000.0,731773000.0,760790000.0,701466000.0
Operating Gains Losses,-59319000.0,4371000.0,-20621000.0,1804000.0
Gain Loss On Investment Securities,-59319000.0,4371000.0,-20621000.0,1804000.0
Amortization Of Securities,-302409000.0,-247215000.0,-201935000.0,-182861000.0
Other Non Cash Items,109616000.0,66602000.0,62286000.0,4507000.0
Change In Working Capital,944833000.0,920903000.0,746055000.0,751500000.0
Change In Payables And Accrued Expense,71919000.0,88157000.0,68588000.0,69369000.0
Change In Payable,71919000.0,88157000.0,68588000.0,69369000.0
Change In Tax Payable,71919000.0,88157000.0,68588000.0,69369000.0
Change In Income Tax Payable,71919000.0,88157000.0,68588000.0,69369000.0
Cash From Discontinued Operating Activities,0.0,0.0,17299000.0,1231000.0
Investing Cash Flow,-913370000.0,-1181730000.0,-809311000.0,-896223000.0
Cash Flow From Continuing Investing Activities,-913370000.0,-1181730000.0,-809311000.0,-896223000.0
Net PPE Purchase And Sale,-38244000.0,-41756000.0,-42203000.0,-45092000.0
Purchase Of PPE,-38244000.0,-41756000.0,-42203000.0,-45092000.0
Net Investment Purchase And Sale,-813171000.0,-1124036000.0,-741714000.0,-832581000.0
Purchase Of Investment,-1315801000.0,-1636028000.0,-1666178000.0,-1272574000.0
Sale Of Investment,502630000.0,511992000.0,924464000.0,439993000.0
Net Other Investing Changes,-56700000.0,-7051000.0,32000.0,1987000.0
Financing Cash Flow,-523603000.0,-274057000.0,-590508000.0,-391520000.0
Cash Flow From Continuing Financing Activities,-523603000.0,-274057000.0,-590508000.0,-391520000.0
Net Issuance Payments Of Debt,99974000.0,278680000.0,-18485000.0,199519000.0
Net Long Term Debt Issuance,25000000.0,313125000.0,-6875000.0,222238000.0
Long Term Debt Issuance,325000000.0,700000000.0,0.0,550000000.0
Long Term Debt Payments,-300000000.0,-386875000.0,-6875000.0,-327762000.0
Net Short Term Debt Issuance,74974000.0,-34445000.0,-11610000.0,-22719000.0
Net Common Stock Issuance,-471609000.0,-395773000.0,-376406000.0,-385658000.0
Common Stock Issuance,69826000.0,48093000.0,83163000.0,36091000.0
Common Stock Payments,-541435000.0,-443866000.0,-459569000.0,-421749000.0
Cash Dividends Paid,-80043000.0,-78192000.0,-74188000.0,-71421000.0
Common Stock Dividend Paid,-80043000.0,-78192000.0,-74188000.0,-71421000.0
Net Other Financing Charges,-71925000.0,-78772000.0,-121429000.0,-133960000.0
End Cash Position,92163000.0,94847000.0,75933000.0,121026000.0
Changes In Cash,707000.0,20647000.0,-35945000.0,-10096000.0
Effect Of Exchange Rate Changes,-3391000.0,-1733000.0,-9148000.0,12559000.0
Beginning Cash Position,94847000.0,75933000.0,121026000.0,118563000.0
Capital Expenditure,-38244000.0,-41756000.0,-42203000.0,-45092000.0
Issuance Of Capital Stock,69826000.0,48093000.0,83163000.0,36091000.0
Issuance Of Debt,325000000.0,700000000.0,0.0,550000000.0
Repayment Of Debt,-300000000.0,-386875000.0,-6875000.0,-327762000.0
Repurchase Of Capital Stock,-541435000.0,-443866000.0,-459569000.0,-421749000.0
Free Cash Flow,1399436000.0,1434678000.0,1321671000.0,1232555000.0
