,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,411156000.0,486533000.0,308887000.0,247227000.0
Cash Flow From Continuing Operating Activities,411156000.0,486533000.0,308887000.0,247227000.0
Net Income From Continuing Operations,556569000.0,347218000.0,252308000.0,241220000.0
Operating Gains Losses,-3562000.0,,11846000.0,1332000.0
Net Foreign Currency Exchange Gain Loss,,,,0.0
Pension And Employee Benefit Expense,,0.0,10920000.0,
Depreciation Amortization Depletion,92041000.0,68773000.0,60909000.0,47408000.0
Depreciation And Amortization,92041000.0,68773000.0,60909000.0,47408000.0
Depreciation,42155000.0,36493000.0,32265000.0,25296000.0
Amortization Cash Flow,49886000.0,32280000.0,28644000.0,22112000.0
Amortization Of Intangibles,49886000.0,32280000.0,28644000.0,22112000.0
Deferred Tax,-2096000.0,21195000.0,18733000.0,23600000.0
Deferred Income Tax,-2096000.0,21195000.0,18733000.0,23600000.0
Stock Based Compensation,23954000.0,20882000.0,16694000.0,14563000.0
Excess Tax Benefit From Stock Based Compensation,,-6968000.0,-2263000.0,-1877000.0
Other Non Cash Items,2795000.0,9743000.0,5798000.0,7223000.0
Change In Working Capital,-258545000.0,18722000.0,-57401000.0,-88119000.0
Change In Receivables,-131861000.0,-55976000.0,8231000.0,-43243000.0
Changes In Account Receivables,-131861000.0,-55976000.0,8231000.0,-43243000.0
Change In Inventory,-470991000.0,-77983000.0,26369000.0,-152594000.0
Change In Payables And Accrued Expense,376935000.0,146790000.0,-89380000.0,115957000.0
Change In Payable,297323000.0,66040000.0,-69404000.0,86359000.0
Change In Account Payable,297323000.0,66040000.0,-69404000.0,86359000.0
Change In Accrued Expense,79612000.0,80750000.0,-19976000.0,29598000.0
Change In Other Current Assets,-819000.0,12859000.0,-358000.0,-6362000.0
Change In Other Working Capital,-31809000.0,-6968000.0,-2263000.0,-1877000.0
Investing Cash Flow,-817287000.0,-124095000.0,-170078000.0,-108894000.0
Cash Flow From Continuing Investing Activities,-817287000.0,-124095000.0,-170078000.0,-108894000.0
Capital Expenditure Reported,-109992000.0,-62128000.0,-60802000.0,-47601000.0
Net PPE Purchase And Sale,259000.0,179000.0,95000.0,214000.0
Purchase Of PPE,,-62128000.0,-60802000.0,-47601000.0
Sale Of PPE,259000.0,179000.0,95000.0,214000.0
Net Business Purchase And Sale,-717131000.0,-64797000.0,-112001000.0,-65440000.0
Purchase Of Business,-717131000.0,-64797000.0,-112001000.0,-65440000.0
Net Investment Purchase And Sale,9577000.0,2651000.0,2630000.0,3933000.0
Sale Of Investment,9577000.0,2651000.0,2630000.0,3933000.0
Financing Cash Flow,-102970000.0,-30428000.0,-41918000.0,-52034000.0
Cash Flow From Continuing Financing Activities,-102970000.0,-30428000.0,-41918000.0,-52034000.0
Net Issuance Payments Of Debt,75237000.0,-24607000.0,-37567000.0,-24317000.0
Net Long Term Debt Issuance,41532000.0,-4481000.0,-51389000.0,-50402000.0
Long Term Debt Issuance,150088000.0,277000.0,1660000.0,51425000.0
Long Term Debt Payments,-108556000.0,-4758000.0,-53049000.0,-101827000.0
Net Short Term Debt Issuance,33705000.0,-20126000.0,13822000.0,26085000.0
Short Term Debt Issuance,272818000.0,257593000.0,73340000.0,53965000.0
Short Term Debt Payments,-239113000.0,-277719000.0,-59518000.0,-27880000.0
Net Common Stock Issuance,-125992000.0,,0.0,-25656000.0
Common Stock Payments,-125992000.0,,0.0,-25656000.0
Cash Dividends Paid,,,,0.0
Common Stock Dividend Paid,,,,0.0
Proceeds From Stock Option Exercised,11623000.0,13089000.0,9395000.0,5614000.0
Net Other Financing Charges,-63838000.0,-18910000.0,-13746000.0,-7675000.0
End Cash Position,147339000.0,655128000.0,322883000.0,224482000.0
Changes In Cash,-509101000.0,332010000.0,96891000.0,86299000.0
Effect Of Exchange Rate Changes,1312000.0,235000.0,1510000.0,-289000.0
Beginning Cash Position,655128000.0,322883000.0,224482000.0,138472000.0
Income Tax Paid Supplemental Data,156728000.0,61861000.0,61767000.0,41044000.0
Interest Paid Supplemental Data,27842000.0,28765000.0,35465000.0,41007000.0
Capital Expenditure,-109992000.0,-62128000.0,-60802000.0,-47601000.0
Issuance Of Debt,422906000.0,257870000.0,75000000.0,105390000.0
Repayment Of Debt,-347669000.0,-282477000.0,-112567000.0,-129707000.0
Repurchase Of Capital Stock,-125992000.0,,0.0,-25656000.0
Free Cash Flow,301164000.0,424405000.0,248085000.0,199626000.0
