,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1258285000.0,2019561000.0,892010000.0,1145164000.0
Cash Flow From Continuing Operating Activities,1258285000.0,2014522000.0,892010000.0,1145164000.0
Net Income From Continuing Operations,898790000.0,163395000.0,621085000.0,810474000.0
Operating Gains Losses,50834000.0,11356000.0,2836000.0,1579000.0
Gain Loss On Sale Of PPE,61063000.0,,,1579000.0
Net Foreign Currency Exchange Gain Loss,0.0,11356000.0,41499000.0,0.0
Earnings Losses From Equity Investments,-10229000.0,0.0,-38663000.0,
Depreciation Amortization Depletion,290971000.0,272842000.0,270288000.0,241635000.0
Depreciation And Amortization,290971000.0,272842000.0,270288000.0,241635000.0
Deferred Tax,31676000.0,-27722000.0,-70932000.0,3891000.0
Deferred Income Tax,31676000.0,-27722000.0,-70932000.0,3891000.0
Asset Impairment Charge,0.0,506721000.0,81968000.0,
Stock Based Compensation,25597000.0,22621000.0,32050000.0,20716000.0
Excess Tax Benefit From Stock Based Compensation,-7076000.0,-677000.0,-4920000.0,-4232000.0
Other Non Cash Items,-21183000.0,12569000.0,-13801000.0,
Change In Working Capital,-11324000.0,1053417000.0,-26564000.0,71101000.0
Change In Receivables,-258994000.0,957514000.0,-116145000.0,-72041000.0
Changes In Account Receivables,-258994000.0,957514000.0,-116145000.0,-72041000.0
Change In Inventory,-329237000.0,58462000.0,-66202000.0,-73173000.0
Change In Payables And Accrued Expense,777318000.0,89350000.0,70679000.0,364639000.0
Change In Payable,777318000.0,89350000.0,70679000.0,364639000.0
Change In Account Payable,777318000.0,89350000.0,70679000.0,364639000.0
Change In Other Working Capital,-200411000.0,-51909000.0,85104000.0,-148324000.0
Cash From Discontinued Operating Activities,0.0,5039000.0,59491000.0,
Investing Cash Flow,-506164000.0,171637000.0,-563206000.0,-496124000.0
Cash Flow From Continuing Investing Activities,-506164000.0,182768000.0,-563206000.0,-496124000.0
Net PPE Purchase And Sale,-239587000.0,-135438000.0,-273097000.0,-217757000.0
Purchase Of PPE,-266136000.0,-153502000.0,-297869000.0,-232422000.0
Sale Of PPE,26549000.0,18064000.0,24772000.0,14665000.0
Net Business Purchase And Sale,-266577000.0,318206000.0,-290109000.0,-278367000.0
Purchase Of Business,-284315000.0,-69173000.0,-724718000.0,-278367000.0
Sale Of Business,17738000.0,387379000.0,434609000.0,
Cash From Discontinued Investing Activities,0.0,-11131000.0,-19611000.0,
Financing Cash Flow,-989532000.0,-1513765000.0,-385962000.0,-608830000.0
Cash Flow From Continuing Financing Activities,-989532000.0,-1513765000.0,-385962000.0,-608830000.0
Net Issuance Payments Of Debt,-160729000.0,-895003000.0,139399000.0,-59974000.0
Net Long Term Debt Issuance,-160729000.0,-895003000.0,139399000.0,-59974000.0
Long Term Debt Issuance,892694000.0,2638014000.0,5037168000.0,5064291000.0
Long Term Debt Payments,-1053423000.0,-3533017000.0,-4897769000.0,-5124265000.0
Net Common Stock Issuance,-333599000.0,-96215000.0,-74187000.0,-91983000.0
Common Stock Payments,-333599000.0,-96215000.0,-74187000.0,-91983000.0
Cash Dividends Paid,-465649000.0,-453277000.0,-438890000.0,-415983000.0
Common Stock Dividend Paid,,-453277000.0,-438890000.0,-415983000.0
Proceeds From Stock Option Exercised,-22346000.0,-4120000.0,-11413000.0,-10227000.0
Net Other Financing Charges,-7209000.0,-65150000.0,-871000.0,-30663000.0
Cash From Discontinued Financing Activities,0.0,0.0,0.0,
End Cash Position,714701000.0,990166000.0,276992000.0,333547000.0
Changes In Cash,-237411000.0,677433000.0,-57158000.0,40210000.0
Effect Of Exchange Rate Changes,-38054000.0,35741000.0,603000.0,-21562000.0
Beginning Cash Position,990166000.0,276992000.0,333547000.0,314899000.0
Income Tax Paid Supplemental Data,305326000.0,223019000.0,303736000.0,236536000.0
Interest Paid Supplemental Data,65732000.0,91344000.0,95281000.0,102131000.0
Capital Expenditure,-266136000.0,-153502000.0,-297869000.0,-232422000.0
Issuance Of Debt,892694000.0,2638014000.0,5037168000.0,5064291000.0
Repayment Of Debt,-1053423000.0,-3533017000.0,-4897769000.0,-5124265000.0
Repurchase Of Capital Stock,-333599000.0,-96215000.0,-74187000.0,-91983000.0
Free Cash Flow,992149000.0,1866059000.0,594141000.0,912742000.0
