,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1911000000.0,1881000000.0,2445000000.0,3157000000.0
Cash Flow From Continuing Operating Activities,1911000000.0,1881000000.0,2445000000.0,3157000000.0
Net Income From Continuing Operations,1468000000.0,-2942000000.0,-1129000000.0,1657000000.0
Operating Gains Losses,,-160000000.0,,
Pension And Employee Benefit Expense,,-160000000.0,,
Depreciation Amortization Depletion,904000000.0,1058000000.0,1625000000.0,1606000000.0
Deferred Tax,-486000000.0,-444000000.0,-396000000.0,-267000000.0
Deferred Income Tax,-486000000.0,-444000000.0,-396000000.0,-267000000.0
Asset Impairment Charge,-35000000.0,3449000000.0,2362000000.0,265000000.0
Other Non Cash Items,-225000000.0,120000000.0,144000000.0,280000000.0
Change In Working Capital,285000000.0,800000000.0,-161000000.0,-384000000.0
Change In Receivables,-500000000.0,1394000000.0,636000000.0,-186000000.0
Change In Inventory,-10000000.0,340000000.0,-202000000.0,-681000000.0
Change In Payables And Accrued Expense,795000000.0,-934000000.0,-595000000.0,483000000.0
Change In Payable,795000000.0,-934000000.0,-595000000.0,483000000.0
Change In Account Payable,795000000.0,-934000000.0,-595000000.0,483000000.0
Investing Cash Flow,-534000000.0,-486000000.0,-1445000000.0,-1993000000.0
Cash Flow From Continuing Investing Activities,-534000000.0,-486000000.0,-1445000000.0,-1993000000.0
Capital Expenditure Reported,-799000000.0,-728000000.0,-1530000000.0,-2026000000.0
Net PPE Purchase And Sale,257000000.0,286000000.0,190000000.0,218000000.0
Sale Of PPE,257000000.0,286000000.0,190000000.0,218000000.0
Net Business Purchase And Sale,87000000.0,,-33000000.0,-187000000.0
Purchase Of Business,,,-33000000.0,-187000000.0
Sale Of Business,87000000.0,,,
Net Investment Purchase And Sale,,,,104000000.0
Purchase Of Investment,,,,-423000000.0
Sale Of Investment,,,,527000000.0
Net Other Investing Changes,-79000000.0,-44000000.0,-72000000.0,-102000000.0
Financing Cash Flow,-838000000.0,-1007000000.0,-695000000.0,-1419000000.0
Cash Flow From Continuing Financing Activities,-838000000.0,-1007000000.0,-695000000.0,-1419000000.0
Net Issuance Payments Of Debt,-700000000.0,-660000000.0,-13000000.0,-445000000.0
Net Long Term Debt Issuance,-700000000.0,-660000000.0,-13000000.0,-445000000.0
Long Term Debt Issuance,0.0,994000000.0,,
Long Term Debt Payments,-700000000.0,-1654000000.0,-13000000.0,-445000000.0
Net Common Stock Issuance,79000000.0,-13000000.0,18000000.0,-205000000.0
Common Stock Issuance,79000000.0,87000000.0,118000000.0,195000000.0
Common Stock Payments,0.0,-100000000.0,-100000000.0,-400000000.0
Cash Dividends Paid,-161000000.0,-278000000.0,-630000000.0,-630000000.0
Common Stock Dividend Paid,-161000000.0,-278000000.0,-630000000.0,-630000000.0
Net Other Financing Charges,-56000000.0,-56000000.0,-70000000.0,-139000000.0
End Cash Position,3044000000.0,2563000000.0,2268000000.0,2008000000.0
Changes In Cash,539000000.0,388000000.0,305000000.0,-255000000.0
Effect Of Exchange Rate Changes,-58000000.0,-93000000.0,-45000000.0,-74000000.0
Beginning Cash Position,2563000000.0,2268000000.0,2008000000.0,2337000000.0
Income Tax Paid Supplemental Data,214000000.0,300000000.0,363000000.0,-178000000.0
Interest Paid Supplemental Data,517000000.0,509000000.0,534000000.0,-556000000.0
Capital Expenditure,-799000000.0,-728000000.0,-1530000000.0,-2026000000.0
Issuance Of Capital Stock,79000000.0,87000000.0,118000000.0,195000000.0
Issuance Of Debt,0.0,994000000.0,,
Repayment Of Debt,-700000000.0,-1654000000.0,-13000000.0,-445000000.0
Repurchase Of Capital Stock,0.0,-100000000.0,-100000000.0,-400000000.0
Free Cash Flow,1112000000.0,1153000000.0,915000000.0,1131000000.0
