,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,760000000.0,1093000000.0,896000000.0,914000000.0
Cash Flow From Continuing Operating Activities,760000000.0,1093000000.0,896000000.0,914000000.0
Net Income From Continuing Operations,544000000.0,696000000.0,549000000.0,836000000.0
Operating Gains Losses,-19000000.0,4000000.0,,
Gain Loss On Investment Securities,-19000000.0,-17000000.0,,
Depreciation Amortization Depletion,293000000.0,247000000.0,227000000.0,203000000.0
Depreciation And Amortization,293000000.0,247000000.0,227000000.0,203000000.0
Depreciation,207000000.0,191000000.0,180000000.0,167000000.0
Amortization Cash Flow,86000000.0,56000000.0,47000000.0,36000000.0
Amortization Of Intangibles,86000000.0,56000000.0,47000000.0,36000000.0
Deferred Tax,98000000.0,23000000.0,97000000.0,10000000.0
Deferred Income Tax,98000000.0,23000000.0,97000000.0,10000000.0
Asset Impairment Charge,0.0,13000000.0,29000000.0,
Provisionand Write Offof Assets,7000000.0,-1000000.0,-6000000.0,-4000000.0
Stock Based Compensation,33000000.0,23000000.0,30000000.0,36000000.0
Other Non Cash Items,18000000.0,19000000.0,9000000.0,-1000000.0
Change In Working Capital,-214000000.0,69000000.0,-39000000.0,-166000000.0
Change In Receivables,-68000000.0,-48000000.0,-19000000.0,-47000000.0
Changes In Account Receivables,58000000.0,-70000000.0,-51000000.0,195000000.0
Change In Inventory,-25000000.0,11000000.0,-11000000.0,40000000.0
Change In Prepaid Assets,-88000000.0,-62000000.0,-93000000.0,-40000000.0
Change In Payables And Accrued Expense,45000000.0,344000000.0,4000000.0,335000000.0
Change In Other Working Capital,-78000000.0,-176000000.0,80000000.0,-454000000.0
Investing Cash Flow,-1954000000.0,-759000000.0,-627000000.0,-476000000.0
Cash Flow From Continuing Investing Activities,-1954000000.0,-759000000.0,-627000000.0,-476000000.0
Capital Expenditure Reported,-331000000.0,-353000000.0,-530000000.0,-463000000.0
Net Business Purchase And Sale,-1665000000.0,-417000000.0,-195000000.0,-87000000.0
Purchase Of Business,-1665000000.0,-417000000.0,-195000000.0,-87000000.0
Net Other Investing Changes,42000000.0,11000000.0,98000000.0,74000000.0
Financing Cash Flow,1309000000.0,103000000.0,-434000000.0,-899000000.0
Cash Flow From Continuing Financing Activities,1309000000.0,103000000.0,-434000000.0,-899000000.0
Net Issuance Payments Of Debt,1625000000.0,385000000.0,0.0,0.0
Net Long Term Debt Issuance,1625000000.0,385000000.0,0.0,0.0
Long Term Debt Issuance,1650000000.0,1000000000.0,0.0,0.0
Long Term Debt Payments,-25000000.0,-615000000.0,0.0,0.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Issuance,0.0,385000000.0,5119000000.0,95000000.0
Short Term Debt Payments,0.0,-385000000.0,-5119000000.0,-95000000.0
Net Common Stock Issuance,-101000000.0,-84000000.0,-262000000.0,-742000000.0
Common Stock Payments,-101000000.0,-84000000.0,-262000000.0,-742000000.0
Cash Dividends Paid,-186000000.0,-172000000.0,-149000000.0,-132000000.0
Common Stock Dividend Paid,,-172000000.0,-149000000.0,-132000000.0
Net Other Financing Charges,-29000000.0,-26000000.0,-23000000.0,-25000000.0
End Cash Position,627000000.0,512000000.0,75000000.0,240000000.0
Changes In Cash,115000000.0,437000000.0,-165000000.0,-461000000.0
Beginning Cash Position,512000000.0,75000000.0,240000000.0,701000000.0
Income Tax Paid Supplemental Data,33000000.0,155000000.0,137000000.0,142000000.0
Interest Paid Supplemental Data,76000000.0,89000000.0,75000000.0,62000000.0
Capital Expenditure,-331000000.0,-353000000.0,-530000000.0,-463000000.0
Issuance Of Debt,1650000000.0,1385000000.0,5119000000.0,95000000.0
Repayment Of Debt,-25000000.0,-1000000000.0,-5119000000.0,-95000000.0
Repurchase Of Capital Stock,-101000000.0,-84000000.0,-262000000.0,-742000000.0
Free Cash Flow,429000000.0,740000000.0,366000000.0,451000000.0
