,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,709580000.0,598910000.0,654087000.0,684706000.0
Cash Flow From Continuing Operating Activities,709580000.0,593519000.0,820478000.0,684706000.0
Net Income From Continuing Operations,660526000.0,419423000.0,719138000.0,562126000.0
Operating Gains Losses,-29766000.0,-14440000.0,-268067000.0,-22270000.0
Gain Loss On Sale Of Business,-9757000.0,-2096000.0,-250167000.0,0.0
Gain Loss On Investment Securities,,-2096000.0,-250167000.0,
Earnings Losses From Equity Investments,-20009000.0,-12344000.0,-17900000.0,-22270000.0
Depreciation Amortization Depletion,209528000.0,185538000.0,184942000.0,207560000.0
Depreciation And Amortization,209528000.0,185538000.0,184942000.0,207560000.0
Deferred Tax,-12932000.0,-77858000.0,-2116000.0,-51863000.0
Deferred Income Tax,-12932000.0,-77858000.0,-2116000.0,-51863000.0
Asset Impairment Charge,713000.0,20275000.0,,
Provisionand Write Offof Assets,-7748000.0,35137000.0,12612000.0,15105000.0
Stock Based Compensation,78415000.0,8788000.0,44920000.0,36240000.0
Other Non Cash Items,-9717000.0,4026000.0,12007000.0,-807000.0
Change In Working Capital,-197201000.0,-3372000.0,45573000.0,-82696000.0
Change In Receivables,4162000.0,-189349000.0,-72689000.0,-147499000.0
Changes In Account Receivables,4162000.0,-189349000.0,-72689000.0,-147499000.0
Change In Inventory,-295131000.0,-31817000.0,14702000.0,-84784000.0
Change In Payables And Accrued Expense,84708000.0,224273000.0,160851000.0,241646000.0
Change In Other Current Assets,9060000.0,-6479000.0,-57291000.0,-92059000.0
Dividend Received Cfo,17762000.0,16002000.0,71469000.0,21311000.0
Cash From Discontinued Operating Activities,0.0,5391000.0,-166391000.0,
Investing Cash Flow,-677217000.0,-115019000.0,-424373000.0,-192954000.0
Cash Flow From Continuing Investing Activities,-677217000.0,-115019000.0,-422309000.0,-192954000.0
Net PPE Purchase And Sale,-79015000.0,-48829000.0,-76219000.0,-90637000.0
Purchase Of PPE,-79015000.0,-48829000.0,-76219000.0,-90637000.0
Net Business Purchase And Sale,-560801000.0,-46153000.0,-348628000.0,-60570000.0
Purchase Of Business,-570558000.0,-60173000.0,-655879000.0,-61570000.0
Sale Of Business,9757000.0,14020000.0,307251000.0,1000000.0
Net Investment Purchase And Sale,,-46153000.0,-348628000.0,-60570000.0
Purchase Of Investment,,-60173000.0,-655879000.0,-61570000.0
Sale Of Investment,,14020000.0,307251000.0,1000000.0
Net Other Investing Changes,-37401000.0,-20037000.0,2538000.0,-41747000.0
Cash From Discontinued Investing Activities,0.0,,-2064000.0,
Financing Cash Flow,-332957000.0,-187185000.0,-215980000.0,-603776000.0
Cash Flow From Continuing Financing Activities,-332957000.0,-181794000.0,-363351000.0,-603776000.0
Net Issuance Payments Of Debt,164322000.0,-64713000.0,-1188115000.0,297699000.0
Net Long Term Debt Issuance,164322000.0,-109795000.0,-260203000.0,86958000.0
Long Term Debt Issuance,305000000.0,501421000.0,741000.0,115000000.0
Long Term Debt Payments,-140678000.0,-611216000.0,-260944000.0,-28042000.0
Net Short Term Debt Issuance,,45082000.0,-927912000.0,210741000.0
Short Term Debt Issuance,,,,210741000.0
Short Term Debt Payments,,,-927912000.0,
Net Common Stock Issuance,-401211000.0,-73789000.0,-163910000.0,-200000000.0
Common Stock Issuance,0.0,,361090000.0,
Common Stock Payments,-401211000.0,-73789000.0,-525000000.0,-200000000.0
Proceeds From Stock Option Exercised,0.0,,34000.0,3076000.0
Net Other Financing Charges,-96068000.0,-43292000.0,988640000.0,-704551000.0
Cash From Discontinued Financing Activities,0.0,-5391000.0,147371000.0,
End Cash Position,117965000.0,421185000.0,106097000.0,80209000.0
Changes In Cash,-300594000.0,296706000.0,13734000.0,-112024000.0
Effect Of Exchange Rate Changes,-2626000.0,18382000.0,12154000.0,17575000.0
Beginning Cash Position,421185000.0,106097000.0,56885000.0,174658000.0
Other Cash Adjustment Outside Changein Cash,,,23324000.0,
Capital Expenditure,-79015000.0,-48829000.0,-76219000.0,-90637000.0
Issuance Of Capital Stock,0.0,,361090000.0,
Issuance Of Debt,305000000.0,501421000.0,741000.0,325741000.0
Repayment Of Debt,-140678000.0,-611216000.0,-1188856000.0,-28042000.0
Repurchase Of Capital Stock,-401211000.0,-73789000.0,-525000000.0,-200000000.0
Free Cash Flow,630565000.0,550081000.0,577868000.0,594069000.0
