,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,565300000.0,569273000.0,528062000.0,479345000.0
Cash Flow From Continuing Operating Activities,565300000.0,569273000.0,528062000.0,479345000.0
Net Income From Continuing Operations,449300000.0,377778000.0,425521000.0,410573000.0
Operating Gains Losses,8600000.0,-868000.0,156000.0,946000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Gain Loss On Sale Of PPE,,-868000.0,156000.0,946000.0
Pension And Employee Benefit Expense,8600000.0,,,0.0
Depreciation Amortization Depletion,103000000.0,83495000.0,76876000.0,77544000.0
Depreciation And Amortization,103000000.0,83495000.0,76876000.0,77544000.0
Depreciation,46600000.0,41651000.0,39543000.0,39049000.0
Amortization Cash Flow,56400000.0,41844000.0,37333000.0,38495000.0
Amortization Of Intangibles,56400000.0,41844000.0,37333000.0,38495000.0
Deferred Tax,-6100000.0,8238000.0,6625000.0,-4345000.0
Deferred Income Tax,-6100000.0,8238000.0,6625000.0,-4345000.0
Asset Impairment Charge,800000.0,3087000.0,10155000.0,0.0
Stock Based Compensation,20400000.0,19375000.0,27669000.0,24754000.0
Other Non Cash Items,7300000.0,4705000.0,10606000.0,-11767000.0
Change In Working Capital,-18000000.0,73463000.0,-29546000.0,-18360000.0
Change In Receivables,-49400000.0,20873000.0,22338000.0,-23419000.0
Change In Inventory,-46100000.0,36523000.0,-3322000.0,-23031000.0
Change In Payables And Accrued Expense,48700000.0,-12624000.0,-46201000.0,2928000.0
Change In Payable,22900000.0,2702000.0,-9115000.0,-1220000.0
Change In Account Payable,22900000.0,2702000.0,-9115000.0,-1220000.0
Change In Accrued Expense,25800000.0,-15326000.0,-37086000.0,4148000.0
Change In Other Current Assets,9000000.0,-10276000.0,-2361000.0,25162000.0
Change In Other Working Capital,19800000.0,38967000.0,,
Investing Cash Flow,-698100000.0,-172577000.0,-137015000.0,-81431000.0
Cash Flow From Continuing Investing Activities,-698100000.0,-172577000.0,-137015000.0,-81431000.0
Net PPE Purchase And Sale,-72700000.0,-49258000.0,-49950000.0,-55726000.0
Purchase Of PPE,-72700000.0,-51545000.0,-50912000.0,-56089000.0
Sale Of PPE,,2287000.0,962000.0,363000.0
Net Intangibles Purchase And Sale,,0.0,0.0,-4000000.0
Purchase Of Intangibles,,0.0,0.0,-4000000.0
Net Business Purchase And Sale,-577400000.0,-123013000.0,-87180000.0,-20205000.0
Purchase Of Business,-577400000.0,-123133000.0,-87180000.0,-20205000.0
Sale Of Business,,120000.0,0.0,0.0
Net Investment Purchase And Sale,-45200000.0,,,
Purchase Of Investment,-45200000.0,,,
Net Other Investing Changes,-2800000.0,-306000.0,115000.0,-1500000.0
Financing Cash Flow,-9500000.0,-42602000.0,-227585000.0,-290011000.0
Cash Flow From Continuing Financing Activities,-9500000.0,-42602000.0,-227585000.0,-290011000.0
Net Issuance Payments Of Debt,149300000.0,198704000.0,-50057000.0,-11284000.0
Net Long Term Debt Issuance,149300000.0,348704000.0,-50057000.0,0.0
Long Term Debt Issuance,499400000.0,649100000.0,0.0,0.0
Long Term Debt Payments,-350100000.0,-300396000.0,-50057000.0,-11284000.0
Net Short Term Debt Issuance,0.0,-150000000.0,0.0,-11284000.0
Short Term Debt Issuance,0.0,,,
Short Term Debt Payments,0.0,-150000000.0,0.0,-11284000.0
Net Common Stock Issuance,-6100000.0,-110342000.0,-54668000.0,-173926000.0
Common Stock Payments,-6100000.0,-110342000.0,-54668000.0,-173926000.0
Cash Dividends Paid,-161100000.0,-151838000.0,-147208000.0,-127478000.0
Common Stock Dividend Paid,-161100000.0,-151838000.0,-147208000.0,-127478000.0
Proceeds From Stock Option Exercised,19700000.0,44587000.0,38809000.0,27639000.0
Net Other Financing Charges,-11300000.0,-23713000.0,-14461000.0,-4962000.0
End Cash Position,855400000.0,1025851000.0,632581000.0,466407000.0
Changes In Cash,-142300000.0,354094000.0,163462000.0,107903000.0
Effect Of Exchange Rate Changes,-28200000.0,39176000.0,2712000.0,-17446000.0
Beginning Cash Position,1025900000.0,632581000.0,466407000.0,375950000.0
Income Tax Paid Supplemental Data,118200000.0,87193000.0,109032000.0,90733000.0
Interest Paid Supplemental Data,36000000.0,35152000.0,36683000.0,36327000.0
Capital Expenditure,-72700000.0,-51545000.0,-50912000.0,-60089000.0
Issuance Of Debt,499400000.0,649100000.0,0.0,0.0
Repayment Of Debt,-350100000.0,-450396000.0,-50057000.0,-11284000.0
Repurchase Of Capital Stock,-6100000.0,-110342000.0,-54668000.0,-173926000.0
Free Cash Flow,492600000.0,517728000.0,477150000.0,419256000.0
