,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,907660000.0,696712000.0,662130000.0,561241000.0
Cash Flow From Continuing Operating Activities,907660000.0,696712000.0,662130000.0,561241000.0
Net Income From Continuing Operations,262776000.0,197449000.0,147111000.0,-5013000.0
Operating Gains Losses,-33946000.0,-45465000.0,-94423000.0,-37643000.0
Gain Loss On Sale Of PPE,-60008000.0,-54594000.0,-96336000.0,-49682000.0
Gain Loss On Investment Securities,-35928000.0,-45465000.0,-94423000.0,-37643000.0
Earnings Losses From Equity Investments,1982000.0,,,
Depreciation Amortization Depletion,592135000.0,552530000.0,533719000.0,560541000.0
Depreciation And Amortization,592135000.0,552530000.0,533719000.0,560541000.0
Asset Impairment Charge,650000.0,4578000.0,14210000.0,6709000.0
Unrealized Gain Loss On Investment Securities,,-29723000.0,,
Stock Based Compensation,27170000.0,17090000.0,18158000.0,29499000.0
Other Non Cash Items,34114000.0,46307000.0,50654000.0,53915000.0
Change In Working Capital,24761000.0,-46054000.0,-7299000.0,-46767000.0
Change In Prepaid Assets,7231000.0,10149000.0,-1208000.0,2306000.0
Change In Payables And Accrued Expense,32892000.0,-27040000.0,5207000.0,-26643000.0
Change In Other Current Assets,-15095000.0,-38012000.0,-10890000.0,-14083000.0
Change In Other Current Liabilities,6964000.0,18998000.0,-1616000.0,-6041000.0
Change In Other Working Capital,,-19014000.0,-12506000.0,-20124000.0
Investing Cash Flow,-1159558000.0,-425156000.0,102226000.0,62993000.0
Cash Flow From Continuing Investing Activities,-1159558000.0,-425156000.0,102226000.0,62993000.0
Capital Expenditure Reported,-162832000.0,-172284000.0,-164244000.0,-145715000.0
Net Business Purchase And Sale,-65000000.0,-16345000.0,,
Purchase Of Business,-65000000.0,-16345000.0,,
Net Investment Properties Purchase And Sale,-1032693000.0,-305539000.0,212071000.0,192575000.0
Purchase Of Investment Properties,-1264369000.0,-720466000.0,-643512000.0,-298124000.0
Sale Of Investment Properties,231676000.0,414927000.0,855583000.0,490699000.0
Net Investment Purchase And Sale,119920000.0,72106000.0,49960000.0,12298000.0
Purchase Of Investment,,0.0,0.0,-211737000.0
Sale Of Investment,119920000.0,72106000.0,49960000.0,224035000.0
Dividends Received Cfi,1890000.0,,,
Net Other Investing Changes,-20843000.0,-3094000.0,4439000.0,3835000.0
Financing Cash Flow,658988000.0,-146033000.0,-838102000.0,-680805000.0
Cash Flow From Continuing Financing Activities,658988000.0,-146033000.0,-838102000.0,-680805000.0
Net Issuance Payments Of Debt,171171000.0,-434727000.0,-593957000.0,-380111000.0
Net Long Term Debt Issuance,171171000.0,-434727000.0,-593957000.0,-345111000.0
Long Term Debt Issuance,1938036000.0,2500000000.0,403464000.0,4234483000.0
Long Term Debt Payments,-1766865000.0,-2934727000.0,-997421000.0,-4579594000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,-35000000.0
Short Term Debt Issuance,400000000.0,320000000.0,485000000.0,285000000.0
Short Term Debt Payments,-400000000.0,-320000000.0,-485000000.0,-320000000.0
Net Common Stock Issuance,933790000.0,686723000.0,55263000.0,0.0
Common Stock Issuance,933790000.0,686723000.0,55263000.0,0.0
Cash Dividends Paid,-393812000.0,-332151000.0,-276681000.0,-230072000.0
Common Stock Dividend Paid,,-332151000.0,-276681000.0,-230072000.0
Net Other Financing Charges,-52161000.0,-65878000.0,-22727000.0,-70622000.0
End Cash Position,818858000.0,411768000.0,286245000.0,359991000.0
Changes In Cash,407090000.0,125523000.0,-73746000.0,-56571000.0
Beginning Cash Position,411768000.0,286245000.0,359991000.0,416562000.0
Income Tax Paid Supplemental Data,809000.0,1284000.0,2781000.0,2069000.0
Interest Paid Supplemental Data,285501000.0,313076000.0,322085000.0,335973000.0
Capital Expenditure,-162832000.0,-172284000.0,-164244000.0,-145715000.0
Issuance Of Capital Stock,933790000.0,686723000.0,55263000.0,0.0
Issuance Of Debt,2338036000.0,2820000000.0,888464000.0,4519483000.0
Repayment Of Debt,-2166865000.0,-3254727000.0,-1482421000.0,-4899594000.0
Free Cash Flow,744828000.0,524428000.0,497886000.0,415526000.0
