,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2089400000.0,1484800000.0,1598200000.0,1169600000.0
Cash Flow From Continuing Operating Activities,2089400000.0,1484800000.0,1598200000.0,1169600000.0
Net Income From Continuing Operations,1728100000.0,1066800000.0,1381800000.0,1125000000.0
Operating Gains Losses,10600000.0,-55100000.0,-6000000.0,1800000.0
Gain Loss On Investment Securities,10600000.0,-55100000.0,-6000000.0,1800000.0
Depreciation Amortization Depletion,310200000.0,276200000.0,203000000.0,122800000.0
Depreciation And Amortization,310200000.0,276200000.0,203000000.0,122800000.0
Depreciation,282800000.0,226400000.0,160000000.0,108600000.0
Amortization Cash Flow,27400000.0,49800000.0,43000000.0,14200000.0
Amortization Of Intangibles,27400000.0,49800000.0,43000000.0,14200000.0
Deferred Tax,-62600000.0,57600000.0,-8000000.0,31900000.0
Deferred Income Tax,-62600000.0,57600000.0,-8000000.0,31900000.0
Stock Based Compensation,449200000.0,395400000.0,335800000.0,261200000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,22000000.0,17100000.0,13100000.0,10600000.0
Change In Working Capital,-368100000.0,-273200000.0,-321500000.0,-383700000.0
Change In Receivables,-142300000.0,5700000.0,38800000.0,-161300000.0
Changes In Account Receivables,-142300000.0,5700000.0,38800000.0,-161300000.0
Change In Inventory,-256000000.0,-170100000.0,-360500000.0,-279000000.0
Change In Prepaid Assets,-204900000.0,-111800000.0,-116900000.0,-77700000.0
Change In Payables And Accrued Expense,36000000.0,-32300000.0,12300000.0,16700000.0
Change In Payable,36000000.0,-32300000.0,12300000.0,16700000.0
Change In Account Payable,36000000.0,-32300000.0,12300000.0,16700000.0
Change In Other Current Liabilities,51400000.0,36900000.0,11900000.0,37100000.0
Change In Other Working Capital,147700000.0,-1600000.0,92900000.0,80500000.0
Investing Cash Flow,-2461500000.0,-940600000.0,-1154400000.0,-1049600000.0
Cash Flow From Continuing Investing Activities,-2461500000.0,-940600000.0,-1154400000.0,-1049600000.0
Capital Expenditure Reported,,-341500000.0,-425600000.0,-187400000.0
Net PPE Purchase And Sale,-353500000.0,-341500000.0,-425600000.0,-187400000.0
Purchase Of PPE,-353500000.0,-341500000.0,-425600000.0,-187400000.0
Net Business Purchase And Sale,-8700000.0,-37700000.0,-59700000.0,-87900000.0
Purchase Of Business,-8700000.0,-37700000.0,-59700000.0,-87900000.0
Net Investment Purchase And Sale,-2099300000.0,-561400000.0,-669100000.0,-774300000.0
Purchase Of Investment,-6452000000.0,-4292900000.0,-3346200000.0,-2581900000.0
Sale Of Investment,4352700000.0,3731500000.0,2677100000.0,1807600000.0
Financing Cash Flow,43000000.0,-85700000.0,-168400000.0,126300000.0
Cash Flow From Continuing Financing Activities,43000000.0,-85700000.0,-168400000.0,126300000.0
Net Common Stock Issuance,0.0,-134300000.0,-269500000.0,0.0
Common Stock Payments,0.0,-134300000.0,-269500000.0,0.0
Proceeds From Stock Option Exercised,276500000.0,308800000.0,272800000.0,236600000.0
Net Other Financing Charges,-233500000.0,-260200000.0,-171700000.0,-110300000.0
End Cash Position,1306000000.0,1638500000.0,1182600000.0,909400000.0
Changes In Cash,-329100000.0,458500000.0,275400000.0,246300000.0
Effect Of Exchange Rate Changes,-3400000.0,-2600000.0,-2200000.0,-100000.0
Beginning Cash Position,1638500000.0,1182600000.0,909400000.0,663200000.0
Income Tax Paid Supplemental Data,,,,179200000.0
Capital Expenditure,-353500000.0,-341500000.0,-425600000.0,-187400000.0
Repurchase Of Capital Stock,0.0,-134300000.0,-269500000.0,0.0
Free Cash Flow,1735900000.0,1143300000.0,1172600000.0,982200000.0
