,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,23410000000.0,23536000000.0,23416000000.0,22201000000.0
Cash Flow From Continuing Operating Activities,23410000000.0,23536000000.0,23416000000.0,22201000000.0
Net Income From Continuing Operations,20878000000.0,14714000000.0,15119000000.0,15297000000.0
Operating Gains Losses,-617000000.0,-111000000.0,-2154000000.0,-1217000000.0
Depreciation Amortization Depletion,7390000000.0,7231000000.0,7009000000.0,6929000000.0
Depreciation And Amortization,7390000000.0,7231000000.0,7009000000.0,6929000000.0
Deferred Tax,-2079000000.0,-1141000000.0,-2476000000.0,-1016000000.0
Deferred Income Tax,-2079000000.0,-1141000000.0,-2476000000.0,-1016000000.0
Asset Impairment Charge,989000000.0,233000000.0,1096000000.0,1258000000.0
Provisionand Write Offof Assets,-48000000.0,63000000.0,-20000000.0,-31000000.0
Stock Based Compensation,1135000000.0,1005000000.0,977000000.0,978000000.0
Other Non Cash Items,,-1148000000.0,,
Change In Working Capital,-4238000000.0,2690000000.0,3865000000.0,3000000.0
Change In Receivables,-2402000000.0,774000000.0,-289000000.0,-1185000000.0
Changes In Account Receivables,-2402000000.0,774000000.0,-289000000.0,-1185000000.0
Change In Inventory,-1248000000.0,-265000000.0,-277000000.0,-644000000.0
Change In Payables And Accrued Expense,2437000000.0,5141000000.0,4060000000.0,3951000000.0
Change In Other Current Assets,-1964000000.0,-3704000000.0,-1054000000.0,-275000000.0
Change In Other Current Liabilities,-1061000000.0,744000000.0,1425000000.0,-1844000000.0
Investing Cash Flow,-8683000000.0,-20825000000.0,-6194000000.0,-3167000000.0
Cash Flow From Continuing Investing Activities,-8683000000.0,-20825000000.0,-6194000000.0,-3167000000.0
Net PPE Purchase And Sale,-3652000000.0,-3347000000.0,-3498000000.0,-3670000000.0
Purchase Of PPE,-3652000000.0,-3347000000.0,-3498000000.0,-3670000000.0
Net Business Purchase And Sale,-60000000.0,-7323000000.0,-5810000000.0,-899000000.0
Purchase Of Business,-60000000.0,-7323000000.0,-5810000000.0,-899000000.0
Net Investment Purchase And Sale,-5388000000.0,-8952000000.0,-195000000.0,-1337000000.0
Purchase Of Investment,-30394000000.0,-21089000000.0,-3920000000.0,-5626000000.0
Sale Of Investment,25006000000.0,12137000000.0,3725000000.0,4289000000.0
Net Other Investing Changes,417000000.0,-1203000000.0,3309000000.0,2739000000.0
Financing Cash Flow,-14047000000.0,-6120000000.0,-18015000000.0,-18510000000.0
Cash Flow From Continuing Financing Activities,-14047000000.0,-6120000000.0,-18015000000.0,-18510000000.0
Net Issuance Payments Of Debt,-990000000.0,7095000000.0,-2881000000.0,-3949000000.0
Net Long Term Debt Issuance,-1797000000.0,6367000000.0,-2820000000.0,-1550000000.0
Long Term Debt Issuance,5000000.0,7431000000.0,3000000.0,5000000.0
Long Term Debt Payments,-1802000000.0,-1064000000.0,-2823000000.0,-1555000000.0
Net Short Term Debt Issuance,807000000.0,728000000.0,-61000000.0,-2399000000.0
Short Term Debt Issuance,1997000000.0,3391000000.0,39000000.0,80000000.0
Short Term Debt Payments,-1190000000.0,-2663000000.0,-100000000.0,-2479000000.0
Net Common Stock Issuance,-3456000000.0,-3221000000.0,-6746000000.0,-5868000000.0
Common Stock Payments,-3456000000.0,-3221000000.0,-6746000000.0,-5868000000.0
Cash Dividends Paid,-11032000000.0,-10481000000.0,-9917000000.0,-9494000000.0
Common Stock Dividend Paid,-11032000000.0,-10481000000.0,-9917000000.0,-9494000000.0
Proceeds From Stock Option Exercised,1036000000.0,1114000000.0,954000000.0,949000000.0
Net Other Financing Charges,395000000.0,-627000000.0,575000000.0,-148000000.0
End Cash Position,14487000000.0,13985000000.0,17305000000.0,18107000000.0
Changes In Cash,680000000.0,-3409000000.0,-793000000.0,524000000.0
Effect Of Exchange Rate Changes,-178000000.0,89000000.0,-9000000.0,-241000000.0
Beginning Cash Position,13985000000.0,17305000000.0,18107000000.0,17824000000.0
Income Tax Paid Supplemental Data,4768000000.0,4619000000.0,4191000000.0,4570000000.0
Interest Paid Supplemental Data,990000000.0,904000000.0,995000000.0,1049000000.0
Capital Expenditure,-3652000000.0,-3347000000.0,-3498000000.0,-3670000000.0
Issuance Of Debt,2002000000.0,10822000000.0,42000000.0,85000000.0
Repayment Of Debt,-2992000000.0,-3727000000.0,-2923000000.0,-4034000000.0
Repurchase Of Capital Stock,-3456000000.0,-3221000000.0,-6746000000.0,-5868000000.0
Free Cash Flow,19758000000.0,20189000000.0,19918000000.0,18531000000.0
