,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,3312702000.0,2185026000.0,1778850000.0,1152632000.0
Cash Flow From Continuing Operating Activities,3312702000.0,2185026000.0,1778850000.0,1152632000.0
Net Income From Continuing Operations,3322060000.0,2077353000.0,1215025000.0,1175017000.0
Operating Gains Losses,46531000.0,-23863000.0,36398000.0,4051000.0
Gain Loss On Sale Of Business,0.0,-4422000.0,,
Net Foreign Currency Exchange Gain Loss,46531000.0,-19441000.0,13860000.0,4051000.0
Depreciation Amortization Depletion,363344000.0,333335000.0,348049000.0,233224000.0
Depreciation And Amortization,363344000.0,333335000.0,348049000.0,233224000.0
Deferred Tax,-329501000.0,-44445000.0,-93110000.0,-27511000.0
Deferred Income Tax,-329501000.0,-44445000.0,-93110000.0,-27511000.0
Asset Impairment Charge,5962000.0,842000.0,269990000.0,
Unrealized Gain Loss On Investment Securities,0.0,-26719000.0,,
Stock Based Compensation,126918000.0,111836000.0,111381000.0,94194000.0
Other Non Cash Items,82799000.0,,-21518000.0,
Change In Working Capital,-305411000.0,-243313000.0,-87365000.0,-326343000.0
Change In Receivables,-510326000.0,-203155000.0,-118362000.0,-146151000.0
Changes In Account Receivables,-510326000.0,-203155000.0,-118362000.0,-146151000.0
Change In Inventory,-567003000.0,-270100000.0,-74817000.0,-59561000.0
Change In Payables And Accrued Expense,101632000.0,79366000.0,61144000.0,-21627000.0
Change In Payable,101632000.0,79366000.0,61144000.0,-21627000.0
Change In Account Payable,101632000.0,79366000.0,61144000.0,-21627000.0
Change In Other Current Assets,-217070000.0,-96218000.0,-11147000.0,-47123000.0
Change In Other Current Liabilities,544270000.0,245623000.0,-24649000.0,-51271000.0
Change In Other Working Capital,343086000.0,1171000.0,80466000.0,-610000.0
Investing Cash Flow,-876458000.0,-500404000.0,-258874000.0,-1180982000.0
Cash Flow From Continuing Investing Activities,-876458000.0,-500404000.0,-258874000.0,-1180982000.0
Capital Expenditure Reported,-307320000.0,-231628000.0,-152675000.0,-130498000.0
Net Business Purchase And Sale,-479113000.0,16833000.0,-90143000.0,-1818283000.0
Purchase Of Business,-479113000.0,0.0,-90143000.0,-1818283000.0
Sale Of Business,0.0,16833000.0,,
Net Investment Purchase And Sale,-117683000.0,-287464000.0,-16056000.0,767799000.0
Purchase Of Investment,-1108914000.0,-1126611000.0,-908734000.0,-163185000.0
Sale Of Investment,991231000.0,839147000.0,892678000.0,930984000.0
Net Other Investing Changes,27658000.0,1855000.0,,
Financing Cash Flow,-2257005000.0,-1497881000.0,-1299635000.0,-360005000.0
Cash Flow From Continuing Financing Activities,-2257005000.0,-1497881000.0,-1299635000.0,-360005000.0
Net Issuance Payments Of Debt,3222409000.0,-29657000.0,20799000.0,1181311000.0
Net Long Term Debt Issuance,3222409000.0,-29657000.0,20799000.0,1181311000.0
Long Term Debt Issuance,3842409000.0,40343000.0,1191832000.0,2083785000.0
Long Term Debt Payments,-620000000.0,-70000000.0,-1171033000.0,-902474000.0
Net Short Term Debt Issuance,275000000.0,0.0,450000000.0,900000000.0
Short Term Debt Issuance,275000000.0,0.0,450000000.0,900000000.0
Net Common Stock Issuance,-3854792000.0,-852509000.0,-753450000.0,-1030374000.0
Common Stock Issuance,113014000.0,86098000.0,75634000.0,64828000.0
Common Stock Payments,-3967806000.0,-938607000.0,-829084000.0,-1095202000.0
Cash Dividends Paid,-638528000.0,-559353000.0,-522421000.0,-472263000.0
Common Stock Dividend Paid,-638528000.0,-559353000.0,-522421000.0,-472263000.0
Net Other Financing Charges,-986094000.0,-56362000.0,-44563000.0,-38679000.0
End Cash Position,1584908000.0,1434610000.0,1234409000.0,1015994000.0
Changes In Cash,179239000.0,186741000.0,220341000.0,-388355000.0
Effect Of Exchange Rate Changes,-28941000.0,13460000.0,-1926000.0,-33000.0
Beginning Cash Position,1434610000.0,1234409000.0,1015994000.0,1404382000.0
Income Tax Paid Supplemental Data,464526000.0,326002000.0,194583000.0,180470000.0
Interest Paid Supplemental Data,154673000.0,154196000.0,152651000.0,107073000.0
Capital Expenditure,-307320000.0,-231628000.0,-152675000.0,-130498000.0
Issuance Of Capital Stock,113014000.0,86098000.0,75634000.0,64828000.0
Issuance Of Debt,3842409000.0,40343000.0,1191832000.0,2083785000.0
Repayment Of Debt,-620000000.0,-70000000.0,-1171033000.0,-902474000.0
Repurchase Of Capital Stock,-3967806000.0,-938607000.0,-829084000.0,-1095202000.0
Free Cash Flow,3005382000.0,1953398000.0,1626175000.0,1022134000.0
