,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,5708000000.0,4550000000.0,4748000000.0,5043000000.0
Cash Flow From Continuing Operating Activities,5708000000.0,4550000000.0,4748000000.0,5043000000.0
Net Income From Continuing Operations,1850000000.0,180000000.0,2239000000.0,1919000000.0
Operating Gains Losses,-836000000.0,1057000000.0,-1065000000.0,-810000000.0
Gain Loss On Sale Of Business,-206000000.0,1932000000.0,-942000000.0,
Gain Loss On Investment Securities,,-5000000.0,-22000000.0,77000000.0
Earnings Losses From Equity Investments,-591000000.0,-780000000.0,-101000000.0,-887000000.0
Pension And Employee Benefit Expense,-39000000.0,-90000000.0,,
Depreciation Amortization Depletion,2135000000.0,2164000000.0,2411000000.0,2297000000.0
Deferred Tax,355000000.0,345000000.0,717000000.0,405000000.0
Deferred Income Tax,355000000.0,345000000.0,717000000.0,405000000.0
Amortization Of Securities,,140000000.0,83000000.0,95000000.0
Asset Impairment Charge,1624000000.0,,,437000000.0
Other Non Cash Items,-82000000.0,294000000.0,106000000.0,-103000000.0
Change In Working Capital,-58000000.0,-123000000.0,-250000000.0,399000000.0
Change In Receivables,-265000000.0,88000000.0,105000000.0,87000000.0
Changes In Account Receivables,-265000000.0,88000000.0,105000000.0,-50000000.0
Change In Inventory,-202000000.0,16000000.0,4000000.0,15000000.0
Change In Payables And Accrued Expense,372000000.0,-276000000.0,-452000000.0,313000000.0
Change In Payable,389000000.0,-112000000.0,-340000000.0,262000000.0
Change In Tax Payable,2000000.0,-93000000.0,-142000000.0,241000000.0
Change In Income Tax Payable,2000000.0,-93000000.0,-142000000.0,241000000.0
Change In Account Payable,387000000.0,-19000000.0,-198000000.0,21000000.0
Change In Accrued Expense,-17000000.0,-164000000.0,-112000000.0,51000000.0
Change In Interest Payable,-17000000.0,-51000000.0,-43000000.0,-22000000.0
Change In Other Current Assets,-109000000.0,49000000.0,93000000.0,-16000000.0
Change In Other Current Liabilities,146000000.0,-113000000.0,-69000000.0,73000000.0
Dividend Received Cfo,720000000.0,633000000.0,590000000.0,499000000.0
Investing Cash Flow,-2305000000.0,-911000000.0,-1714000000.0,-68000000.0
Cash Flow From Continuing Investing Activities,-2305000000.0,-911000000.0,-1714000000.0,-68000000.0
Capital Expenditure Reported,-1281000000.0,-1707000000.0,-2270000000.0,-2904000000.0
Net PPE Purchase And Sale,406000000.0,1069000000.0,110000000.0,-20000000.0
Purchase Of PPE,,,,-20000000.0
Sale Of PPE,406000000.0,1069000000.0,110000000.0,
Net Business Purchase And Sale,0.0,0.0,1499000000.0,3122000000.0
Purchase Of Business,,0.0,-28000000.0,
Sale Of Business,0.0,0.0,1527000000.0,3122000000.0
Net Investment Purchase And Sale,-38000000.0,-386000000.0,-1299000000.0,-433000000.0
Purchase Of Investment,-38000000.0,-386000000.0,-1299000000.0,-433000000.0
Sale Of Investment,,,1527000000.0,124000000.0
Dividends Received Cfi,163000000.0,154000000.0,333000000.0,237000000.0
Net Other Investing Changes,-1555000000.0,-41000000.0,-87000000.0,-70000000.0
Financing Cash Flow,-3465000000.0,-2638000000.0,-6185000000.0,-1824000000.0
Cash Flow From Continuing Financing Activities,-3465000000.0,-2638000000.0,-6185000000.0,-1824000000.0
Net Issuance Payments Of Debt,-872000000.0,-108000000.0,-3188000000.0,160000000.0
Net Long Term Debt Issuance,-872000000.0,-108000000.0,-3188000000.0,160000000.0
Long Term Debt Issuance,5959000000.0,3888000000.0,8036000000.0,14751000000.0
Long Term Debt Payments,-6831000000.0,-3996000000.0,-11224000000.0,-14591000000.0
Net Common Stock Issuance,0.0,-50000000.0,-2000000.0,-273000000.0
Common Stock Payments,0.0,-50000000.0,-2000000.0,-273000000.0
Cash Dividends Paid,-2525000000.0,-2441000000.0,-2174000000.0,-1774000000.0
Common Stock Dividend Paid,-2525000000.0,-2441000000.0,-2174000000.0,-1618000000.0
Preferred Stock Dividend Paid,,0.0,0.0,-156000000.0
Net Other Financing Charges,-68000000.0,-39000000.0,-821000000.0,63000000.0
End Cash Position,1147000000.0,1209000000.0,209000000.0,3331000000.0
Changes In Cash,-62000000.0,1001000000.0,-3151000000.0,3151000000.0
Effect Of Exchange Rate Changes,0.0,-1000000.0,29000000.0,-146000000.0
Beginning Cash Position,1209000000.0,209000000.0,3331000000.0,326000000.0
Income Tax Paid Supplemental Data,10000000.0,227000000.0,372000000.0,
Interest Paid Supplemental Data,1529000000.0,1661000000.0,1860000000.0,1879000000.0
Capital Expenditure,-1281000000.0,-1707000000.0,-2270000000.0,-2924000000.0
Issuance Of Debt,5959000000.0,3888000000.0,8036000000.0,14751000000.0
Repayment Of Debt,-6831000000.0,-3996000000.0,-11224000000.0,-14591000000.0
Repurchase Of Capital Stock,0.0,-50000000.0,-2000000.0,-273000000.0
Free Cash Flow,4427000000.0,2843000000.0,2478000000.0,2119000000.0
