,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,12625000000.0,9844000000.0,10471000000.0,7627000000.0
Cash Flow From Continuing Operating Activities,12625000000.0,9844000000.0,10471000000.0,7320000000.0
Net Income From Continuing Operations,9804000000.0,7768000000.0,8985000000.0,6727000000.0
Operating Gains Losses,-529000000.0,-599000000.0,-797000000.0,-306000000.0
Net Foreign Currency Exchange Gain Loss,86000000.0,-88000000.0,91000000.0,-38000000.0
Earnings Losses From Equity Investments,-615000000.0,-511000000.0,-421000000.0,-457000000.0
Depreciation Amortization Depletion,1452000000.0,1536000000.0,1365000000.0,1086000000.0
Depreciation And Amortization,1452000000.0,1536000000.0,1365000000.0,1086000000.0
Deferred Tax,894000000.0,-18000000.0,-280000000.0,-450000000.0
Deferred Income Tax,894000000.0,-18000000.0,-280000000.0,-450000000.0
Stock Based Compensation,337000000.0,126000000.0,201000000.0,225000000.0
Other Non Cash Items,-658000000.0,341000000.0,631000000.0,1240000000.0
Change In Working Capital,1325000000.0,690000000.0,366000000.0,-1202000000.0
Change In Receivables,-225000000.0,882000000.0,-158000000.0,66000000.0
Changes In Account Receivables,-225000000.0,882000000.0,-158000000.0,66000000.0
Change In Inventory,-135000000.0,99000000.0,-183000000.0,-171000000.0
Change In Prepaid Assets,-241000000.0,78000000.0,-87000000.0,-221000000.0
Change In Payables And Accrued Expense,2277000000.0,-876000000.0,1414000000.0,-301000000.0
Change In Payable,2277000000.0,-876000000.0,1414000000.0,-301000000.0
Change In Tax Payable,-566000000.0,-16000000.0,96000000.0,-12000000.0
Change In Income Tax Payable,-566000000.0,-16000000.0,96000000.0,-12000000.0
Change In Account Payable,2843000000.0,-860000000.0,1318000000.0,-289000000.0
Change In Other Current Liabilities,-351000000.0,507000000.0,-620000000.0,-575000000.0
Change In Other Working Capital,,507000000.0,-620000000.0,-575000000.0
Cash From Discontinued Operating Activities,,,,307000000.0
Investing Cash Flow,-2765000000.0,-1477000000.0,-3976000000.0,5927000000.0
Cash Flow From Continuing Investing Activities,-2765000000.0,-1477000000.0,-3976000000.0,6348000000.0
Net PPE Purchase And Sale,-1259000000.0,-988000000.0,-1076000000.0,-1102000000.0
Purchase Of PPE,-1367000000.0,-1177000000.0,-2054000000.0,-1347000000.0
Sale Of PPE,108000000.0,189000000.0,978000000.0,245000000.0
Net Business Purchase And Sale,-2586000000.0,-863000000.0,-5113000000.0,322000000.0
Purchase Of Business,-4766000000.0,-1052000000.0,-5542000000.0,-1040000000.0
Sale Of Business,2180000000.0,189000000.0,429000000.0,1362000000.0
Net Investment Purchase And Sale,1029000000.0,252000000.0,2269000000.0,7188000000.0
Purchase Of Investment,-6030000000.0,-13583000000.0,-4704000000.0,-7789000000.0
Sale Of Investment,7059000000.0,13835000000.0,6973000000.0,14977000000.0
Net Other Investing Changes,51000000.0,122000000.0,-56000000.0,-60000000.0
Cash From Discontinued Investing Activities,,,,-421000000.0
Financing Cash Flow,-6786000000.0,-8070000000.0,-9004000000.0,-10347000000.0
Cash Flow From Continuing Financing Activities,-6786000000.0,-8070000000.0,-9004000000.0,-10552000000.0
Net Issuance Payments Of Debt,228000000.0,-1862000000.0,-1841000000.0,-3229000000.0
Net Long Term Debt Issuance,228000000.0,-1862000000.0,-1841000000.0,-3229000000.0
Long Term Debt Issuance,13094000000.0,26934000000.0,23009000000.0,27339000000.0
Long Term Debt Payments,-12866000000.0,-28796000000.0,-24850000000.0,-30568000000.0
Net Common Stock Issuance,591000000.0,529000000.0,-91000000.0,-436000000.0
Common Stock Issuance,702000000.0,647000000.0,1012000000.0,1476000000.0
Common Stock Payments,-111000000.0,-118000000.0,-1103000000.0,-1912000000.0
Cash Dividends Paid,-7252000000.0,-7047000000.0,-6845000000.0,-6644000000.0
Common Stock Dividend Paid,,-7047000000.0,-6845000000.0,-6644000000.0
Net Other Financing Charges,-353000000.0,310000000.0,-227000000.0,-243000000.0
Cash From Discontinued Financing Activities,,,,205000000.0
End Cash Position,10025000000.0,7110000000.0,6737000000.0,9318000000.0
Changes In Cash,3074000000.0,297000000.0,-2509000000.0,3207000000.0
Effect Of Exchange Rate Changes,-159000000.0,76000000.0,-72000000.0,-262000000.0
Beginning Cash Position,7110000000.0,6737000000.0,9318000000.0,6373000000.0
Capital Expenditure,-1367000000.0,-1177000000.0,-2054000000.0,-1347000000.0
Issuance Of Capital Stock,702000000.0,647000000.0,1012000000.0,1476000000.0
Issuance Of Debt,13094000000.0,26934000000.0,23009000000.0,27339000000.0
Repayment Of Debt,-12866000000.0,-28796000000.0,-24850000000.0,-30568000000.0
Repurchase Of Capital Stock,-111000000.0,-118000000.0,-1103000000.0,-1912000000.0
Free Cash Flow,11258000000.0,8667000000.0,8417000000.0,6280000000.0
