,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,9725000000.0,7429000000.0,6188000000.0,3702000000.0
Cash Flow From Continuing Operating Activities,9725000000.0,7429000000.0,6119000000.0,3654000000.0
Net Income From Continuing Operations,3826000000.0,2501000000.0,2272000000.0,4288000000.0
Operating Gains Losses,,,-108000000.0,-2923000000.0
Gain Loss On Sale Of Business,0.0,0.0,-108000000.0,-2923000000.0
Depreciation Amortization Depletion,4635000000.0,4626000000.0,4675000000.0,1830000000.0
Depreciation And Amortization,4635000000.0,4626000000.0,4675000000.0,1830000000.0
Deferred Tax,-254000000.0,-369000000.0,-303000000.0,-248000000.0
Deferred Income Tax,-254000000.0,-369000000.0,-303000000.0,-248000000.0
Stock Based Compensation,128000000.0,133000000.0,95000000.0,62000000.0
Other Non Cash Items,242000000.0,174000000.0,-352000000.0,443000000.0
Change In Working Capital,1148000000.0,364000000.0,-160000000.0,202000000.0
Change In Receivables,-553000000.0,19000000.0,80000000.0,-124000000.0
Changes In Account Receivables,-553000000.0,19000000.0,80000000.0,-124000000.0
Change In Inventory,-129000000.0,18000000.0,-81000000.0,-4000000.0
Change In Prepaid Assets,76000000.0,128000000.0,-72000000.0,43000000.0
Change In Payables And Accrued Expense,447000000.0,109000000.0,-174000000.0,287000000.0
Change In Other Working Capital,1307000000.0,90000000.0,87000000.0,-53000000.0
Cash From Discontinued Operating Activities,0.0,0.0,69000000.0,48000000.0
Investing Cash Flow,-3007000000.0,-2986000000.0,1129000000.0,5340000000.0
Cash Flow From Continuing Investing Activities,-3007000000.0,-2986000000.0,1189000000.0,5363000000.0
Capital Expenditure Reported,-3086000000.0,-3400000000.0,-3682000000.0,-1883000000.0
Net Business Purchase And Sale,79000000.0,414000000.0,4871000000.0,7246000000.0
Purchase Of Business,-88000000.0,-68000000.0,-225000000.0,-25000000.0
Sale Of Business,167000000.0,482000000.0,5096000000.0,7271000000.0
Cash From Discontinued Investing Activities,0.0,0.0,-60000000.0,-23000000.0
Financing Cash Flow,-7588000000.0,-3345000000.0,-8992000000.0,-4996000000.0
Cash Flow From Continuing Financing Activities,-7588000000.0,-3345000000.0,-8997000000.0,-4998000000.0
Net Issuance Payments Of Debt,-514000000.0,1313000000.0,-1260000000.0,-2908000000.0
Net Long Term Debt Issuance,815000000.0,115000000.0,-1484000000.0,-3116000000.0
Long Term Debt Issuance,2283000000.0,2796000000.0,99000000.0,8000000.0
Long Term Debt Payments,-1468000000.0,-2681000000.0,-1583000000.0,-3124000000.0
Net Short Term Debt Issuance,-1329000000.0,1198000000.0,224000000.0,208000000.0
Net Common Stock Issuance,-4562000000.0,-2410000000.0,-2586000000.0,-522000000.0
Common Stock Issuance,50000000.0,47000000.0,72000000.0,77000000.0
Common Stock Payments,-4612000000.0,-2457000000.0,-2658000000.0,-599000000.0
Cash Dividends Paid,-2189000000.0,-2028000000.0,-1891000000.0,-1166000000.0
Common Stock Dividend Paid,-2189000000.0,-2028000000.0,-1891000000.0,-1166000000.0
Net Other Financing Charges,-323000000.0,-220000000.0,-3260000000.0,-402000000.0
Cash From Discontinued Financing Activities,0.0,0.0,5000000.0,2000000.0
Cash Flow From Discontinued Operation,0.0,0.0,-14000000.0,
End Cash Position,2823000000.0,3754000000.0,2700000000.0,4603000000.0
Changes In Cash,-870000000.0,1098000000.0,-1689000000.0,4046000000.0
Effect Of Exchange Rate Changes,-61000000.0,-44000000.0,-77000000.0,-60000000.0
Beginning Cash Position,3754000000.0,2700000000.0,4466000000.0,617000000.0
Income Tax Paid Supplemental Data,1710000000.0,1066000000.0,1357000000.0,757000000.0
Interest Paid Supplemental Data,233000000.0,322000000.0,275000000.0,214000000.0
Capital Expenditure,-3086000000.0,-3400000000.0,-3682000000.0,-1883000000.0
Issuance Of Capital Stock,50000000.0,47000000.0,72000000.0,77000000.0
Issuance Of Debt,2283000000.0,2796000000.0,99000000.0,8000000.0
Repayment Of Debt,-1468000000.0,-2681000000.0,-1583000000.0,-3124000000.0
Repurchase Of Capital Stock,-4612000000.0,-2457000000.0,-2658000000.0,-599000000.0
Free Cash Flow,6639000000.0,4029000000.0,2506000000.0,1819000000.0
