,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,7260700000.0,6499600000.0,4836600000.0,5524500000.0
Cash Flow From Continuing Operating Activities,7260700000.0,6499600000.0,4836600000.0,5524500000.0
Net Income From Continuing Operations,5581700000.0,6193700000.0,8318400000.0,3232000000.0
Operating Gains Losses,227200000.0,-1438500000.0,-3990300000.0,
Gain Loss On Sale Of Business,0.0,,-3990300000.0,
Depreciation Amortization Depletion,1547600000.0,1323900000.0,1232600000.0,1609000000.0
Depreciation And Amortization,1547600000.0,1323900000.0,1232600000.0,1609000000.0
Deferred Tax,-802300000.0,-134500000.0,62400000.0,326800000.0
Deferred Income Tax,-802300000.0,-134500000.0,62400000.0,326800000.0
Stock Based Compensation,342800000.0,308100000.0,312400000.0,279500000.0
Other Non Cash Items,1386300000.0,994300000.0,588300000.0,2455900000.0
Change In Working Capital,-1022600000.0,-747400000.0,-1687200000.0,-2378700000.0
Change In Receivables,-1278300000.0,-1350200000.0,-127200000.0,-996700000.0
Change In Inventory,-235900000.0,-533400000.0,-258700000.0,7800000.0
Change In Payables And Accrued Expense,-1023800000.0,1593300000.0,-699000000.0,-409800000.0
Change In Payable,-1023800000.0,1593300000.0,-699000000.0,-409800000.0
Change In Tax Payable,-359700000.0,322000000.0,-221300000.0,-125300000.0
Change In Income Tax Payable,-359700000.0,322000000.0,-221300000.0,-125300000.0
Change In Account Payable,-664100000.0,1271300000.0,-477700000.0,-284500000.0
Change In Other Current Assets,1515400000.0,-457100000.0,-602300000.0,-980000000.0
Investing Cash Flow,-2762300000.0,-2258900000.0,-8082900000.0,1906000000.0
Cash Flow From Continuing Investing Activities,-2762300000.0,-2258900000.0,-8082900000.0,1906000000.0
Net PPE Purchase And Sale,-1309800000.0,-1387900000.0,-1033900000.0,-1207000000.0
Purchase Of PPE,-1309800000.0,-1387900000.0,-1033900000.0,-1210600000.0
Sale Of PPE,,,,3600000.0
Net Intangibles Purchase And Sale,-563400000.0,-641200000.0,-319600000.0,-1807600000.0
Purchase Of Intangibles,-563400000.0,-641200000.0,-319600000.0,-1807600000.0
Net Business Purchase And Sale,-747400000.0,-849300000.0,-6936900000.0,0.0
Purchase Of Business,-747400000.0,-849300000.0,-7291700000.0,0.0
Sale Of Business,0.0,,354800000.0,
Net Investment Purchase And Sale,-166000000.0,516700000.0,456200000.0,5111900000.0
Purchase Of Investment,-1013400000.0,-370100000.0,-290200000.0,-950100000.0
Sale Of Investment,847400000.0,886800000.0,746400000.0,6062000000.0
Net Other Investing Changes,24300000.0,102800000.0,-248700000.0,-191300000.0
Financing Cash Flow,-4131300000.0,-3137100000.0,-2324500000.0,-5904900000.0
Cash Flow From Continuing Financing Activities,-4131300000.0,-3137100000.0,-2324500000.0,-5904900000.0
Net Issuance Payments Of Debt,501400000.0,291600000.0,4685400000.0,-729300000.0
Net Long Term Debt Issuance,505400000.0,1785800000.0,3690000000.0,1468600000.0
Long Term Debt Issuance,2410800000.0,2062300000.0,6556400000.0,2477700000.0
Long Term Debt Payments,-1905400000.0,-276500000.0,-2866400000.0,-1009100000.0
Net Short Term Debt Issuance,-4000000.0,-1494200000.0,995400000.0,-2197900000.0
Net Common Stock Issuance,-1250000000.0,-500000000.0,-4400000000.0,-2491000000.0
Common Stock Issuance,,,,1659700000.0
Common Stock Payments,-1250000000.0,-500000000.0,-4400000000.0,-4150700000.0
Cash Dividends Paid,-3086800000.0,-2687100000.0,-2409800000.0,-2311800000.0
Common Stock Dividend Paid,-3086800000.0,-2687100000.0,-2409800000.0,-2311800000.0
Net Other Financing Charges,-295900000.0,-241600000.0,-200100000.0,-372800000.0
End Cash Position,3818500000.0,3657100000.0,2337500000.0,7998200000.0
Changes In Cash,367100000.0,1103600000.0,-5570800000.0,1525600000.0
Effect Of Exchange Rate Changes,-205700000.0,216000000.0,-89900000.0,-63600000.0
Beginning Cash Position,3657100000.0,2337500000.0,7998200000.0,6536200000.0
Capital Expenditure,-1873200000.0,-2029100000.0,-1353500000.0,-3018200000.0
Issuance Of Capital Stock,,,,1659700000.0
Issuance Of Debt,2410800000.0,2062300000.0,6556400000.0,2477700000.0
Repayment Of Debt,-1905400000.0,-276500000.0,-2866400000.0,-1009100000.0
Repurchase Of Capital Stock,-1250000000.0,-500000000.0,-4400000000.0,-4150700000.0
Free Cash Flow,5387500000.0,4470500000.0,3483100000.0,2506300000.0
