,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,3099674000.0,3588163000.0,2126451000.0,3176013000.0
Cash Flow From Continuing Operating Activities,3099674000.0,3588163000.0,2126451000.0,3176013000.0
Net Income From Continuing Operations,4605286000.0,3908458000.0,2251753000.0,2191430000.0
Operating Gains Losses,,,,-118000.0
Depreciation Amortization Depletion,333739000.0,307151000.0,268525000.0,309281000.0
Depreciation And Amortization,333739000.0,307151000.0,268525000.0,309281000.0
Deferred Tax,-257438000.0,-151477000.0,-17777000.0,-4980000.0
Deferred Income Tax,-257438000.0,-151477000.0,-17777000.0,-4980000.0
Asset Impairment Charge,,,0.0,0.0
Stock Based Compensation,259064000.0,220164000.0,189197000.0,187234000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-44751000.0,-17392000.0,6628000.0,1642000.0
Change In Working Capital,-1796226000.0,-678741000.0,-571875000.0,491524000.0
Change In Receivables,-1287680000.0,-928928000.0,-641827000.0,732138000.0
Changes In Account Receivables,-1287680000.0,-928928000.0,-641827000.0,732138000.0
Change In Inventory,-1351344000.0,-792591000.0,-411608000.0,281355000.0
Change In Prepaid Assets,-53121000.0,-59189000.0,-14354000.0,-17864000.0
Change In Payables And Accrued Expense,291346000.0,593959000.0,419707000.0,-326031000.0
Change In Payable,167884000.0,184615000.0,208478000.0,-131472000.0
Change In Account Payable,167884000.0,184615000.0,208478000.0,-131472000.0
Change In Accrued Expense,123462000.0,409344000.0,211229000.0,-194559000.0
Change In Other Working Capital,604573000.0,508008000.0,76207000.0,-178074000.0
Investing Cash Flow,612275000.0,73271000.0,-244084000.0,-1637054000.0
Cash Flow From Continuing Investing Activities,612275000.0,73271000.0,-244084000.0,-1637054000.0
Capital Expenditure Reported,-546034000.0,-349096000.0,-203239000.0,-303491000.0
Net Business Purchase And Sale,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Net Investment Purchase And Sale,1165884000.0,464522000.0,-15000000.0,-1326208000.0
Purchase Of Investment,-567819000.0,-3389388000.0,-2897627000.0,-2930049000.0
Sale Of Investment,1733703000.0,3853910000.0,2882627000.0,1603841000.0
Net Other Investing Changes,-7575000.0,-42155000.0,-25845000.0,-7355000.0
Financing Cash Flow,-4578937000.0,-4166982000.0,-623930000.0,-2390080000.0
Cash Flow From Continuing Financing Activities,-4578937000.0,-4166982000.0,-623930000.0,-2390080000.0
Net Issuance Payments Of Debt,-11889000.0,-862060000.0,57114000.0,1997313000.0
Net Long Term Debt Issuance,-11889000.0,-862060000.0,57114000.0,2359067000.0
Long Term Debt Issuance,0.0,0.0,1974651000.0,2476720000.0
Long Term Debt Payments,-11889000.0,-862060000.0,-1917537000.0,-117653000.0
Net Short Term Debt Issuance,,0.0,0.0,-361754000.0
Short Term Debt Issuance,,0.0,0.0,
Short Term Debt Payments,,0.0,0.0,-361754000.0
Net Common Stock Issuance,-3859981000.0,-2673581000.0,-1361565000.0,-3695837000.0
Common Stock Issuance,5682000.0,24123000.0,8084000.0,84774000.0
Common Stock Payments,-3865663000.0,-2697704000.0,-1369649000.0,-3780611000.0
Cash Dividends Paid,-815290000.0,-726992000.0,-656838000.0,-678348000.0
Common Stock Dividend Paid,-815290000.0,-726992000.0,-656838000.0,-678348000.0
Proceeds From Stock Option Exercised,108178000.0,97764000.0,85439000.0,77961000.0
Net Other Financing Charges,45000.0,-2113000.0,1251920000.0,-13208000.0
End Cash Position,3773535000.0,4670750000.0,5169083000.0,3913396000.0
Changes In Cash,-866988000.0,-505548000.0,1258437000.0,-851121000.0
Effect Of Exchange Rate Changes,-30227000.0,7215000.0,-2750000.0,-4041000.0
Beginning Cash Position,4670750000.0,5169083000.0,3913396000.0,4768558000.0
Income Tax Paid Supplemental Data,807669000.0,518567000.0,222909000.0,300268000.0
Interest Paid Supplemental Data,175528000.0,203932000.0,171889000.0,76933000.0
Capital Expenditure,-546034000.0,-349096000.0,-203239000.0,-303491000.0
Issuance Of Capital Stock,5682000.0,24123000.0,8084000.0,84774000.0
Issuance Of Debt,0.0,0.0,1974651000.0,2476720000.0
Repayment Of Debt,-11889000.0,-862060000.0,-1917537000.0,-479407000.0
Repurchase Of Capital Stock,-3865663000.0,-2697704000.0,-1369649000.0,-3780611000.0
Free Cash Flow,2553640000.0,3239067000.0,1923212000.0,2872522000.0
