,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Operating Cash Flow,418100000.0,553200000.0,574000000.0,680900000.0
Cash Flow From Continuing Operating Activities,418100000.0,553200000.0,574000000.0,680900000.0
Net Income From Continuing Operations,200900000.0,317800000.0,365900000.0,487200000.0
Operating Gains Losses,83200000.0,-33000000.0,-400000.0,-8300000.0
Earnings Losses From Equity Investments,29900000.0,-33000000.0,-400000.0,-13800000.0
Pension And Employee Benefit Expense,,,,5500000.0
Depreciation Amortization Depletion,192100000.0,188800000.0,184000000.0,162400000.0
Depreciation And Amortization,192100000.0,188800000.0,184000000.0,162400000.0
Depreciation,192100000.0,188800000.0,184000000.0,162400000.0
Amortization Cash Flow,,,184000000.0,162400000.0
Amortization Of Intangibles,,,184000000.0,162400000.0
Deferred Tax,13500000.0,3800000.0,20000000.0,37500000.0
Deferred Income Tax,13500000.0,3800000.0,20000000.0,37500000.0
Stock Based Compensation,21300000.0,20600000.0,22800000.0,18800000.0
Other Non Cash Items,-7000000.0,10700000.0,15600000.0,7700000.0
Change In Working Capital,-85900000.0,44500000.0,-33900000.0,-24400000.0
Change In Receivables,-76300000.0,-21000000.0,1100000.0,-25100000.0
Change In Inventory,-63000000.0,-22000000.0,15300000.0,-15800000.0
Change In Prepaid Assets,-6800000.0,-4900000.0,-2000000.0,-1900000.0
Change In Payables And Accrued Expense,48600000.0,95700000.0,-51000000.0,34800000.0
Change In Payable,16500000.0,104700000.0,-34900000.0,32900000.0
Change In Account Payable,16500000.0,104700000.0,-34900000.0,32900000.0
Change In Accrued Expense,32100000.0,-9000000.0,-16100000.0,1900000.0
Change In Other Working Capital,11600000.0,-3300000.0,2700000.0,-16400000.0
Investing Cash Flow,-310500000.0,-162500000.0,-346000000.0,-423000000.0
Cash Flow From Continuing Investing Activities,-310500000.0,-162500000.0,-346000000.0,-423000000.0
Net PPE Purchase And Sale,-290100000.0,-147200000.0,-167700000.0,-334200000.0
Purchase Of PPE,-290100000.0,-147200000.0,-167700000.0,-334200000.0
Net Business Purchase And Sale,0.0,0.0,-139300000.0,-88600000.0
Purchase Of Business,0.0,0.0,-139300000.0,-88600000.0
Net Other Investing Changes,-20400000.0,-15300000.0,-39000000.0,-200000.0
Financing Cash Flow,-363400000.0,-974000000.0,1125000000.0,-299600000.0
Cash Flow From Continuing Financing Activities,-363400000.0,-974000000.0,1125000000.0,-299600000.0
Net Issuance Payments Of Debt,-61600000.0,-804300000.0,1277100000.0,-67700000.0
Net Long Term Debt Issuance,-61600000.0,-305500000.0,786600000.0,-66700000.0
Long Term Debt Issuance,1676100000.0,0.0,1122900000.0,0.0
Long Term Debt Payments,-1737700000.0,-305500000.0,-336300000.0,-66700000.0
Net Short Term Debt Issuance,0.0,-498800000.0,490500000.0,-1000000.0
Short Term Debt Payments,0.0,,,
Net Common Stock Issuance,-158400000.0,-36100000.0,-28900000.0,-36400000.0
Common Stock Payments,-158400000.0,-36100000.0,-28900000.0,-36400000.0
Cash Dividends Paid,-138400000.0,-135300000.0,-121300000.0,-113300000.0
Common Stock Dividend Paid,,-135300000.0,-121300000.0,-113300000.0
Net Other Financing Charges,-5000000.0,1700000.0,-1900000.0,-82200000.0
End Cash Position,525000000.0,783500000.0,1364000000.0,12200000.0
Changes In Cash,-255800000.0,-583300000.0,1353000000.0,-41700000.0
Effect Of Exchange Rate Changes,-2700000.0,2800000.0,-1200000.0,-1700000.0
Beginning Cash Position,783500000.0,1364000000.0,12200000.0,55600000.0
Capital Expenditure,-290100000.0,-147200000.0,-167700000.0,-334200000.0
Issuance Of Debt,1676100000.0,0.0,1122900000.0,0.0
Repayment Of Debt,-1737700000.0,-305500000.0,-336300000.0,-66700000.0
Repurchase Of Capital Stock,-158400000.0,-36100000.0,-28900000.0,-36400000.0
Free Cash Flow,128000000.0,406000000.0,406300000.0,346700000.0
