,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,12596000000.0,11639000000.0,13786000000.0,11738000000.0
Cash Flow From Continuing Operating Activities,12596000000.0,11639000000.0,13786000000.0,11738000000.0
Net Income From Continuing Operations,6575000000.0,5418000000.0,5909000000.0,5128000000.0
Operating Gains Losses,-4580000000.0,186000000.0,-190000000.0,549000000.0
Gain Loss On Investment Securities,-1529000000.0,110000000.0,-444000000.0,298000000.0
Earnings Losses From Equity Investments,-3051000000.0,76000000.0,254000000.0,251000000.0
Depreciation And Amortization,694000000.0,619000000.0,630000000.0,628000000.0
Amortization Of Securities,-855000000.0,-816000000.0,-999000000.0,-1013000000.0
Asset Impairment Charge,,,,0.0
Other Non Cash Items,-3500000000.0,-3313000000.0,-5318000000.0,-5564000000.0
Change In Working Capital,4582000000.0,4853000000.0,7425000000.0,8204000000.0
Change In Receivables,389000000.0,842000000.0,-514000000.0,-1809000000.0
Changes In Account Receivables,389000000.0,842000000.0,-514000000.0,-1809000000.0
Change In Payables And Accrued Expense,,-11000000.0,233000000.0,940000000.0
Change In Payable,,-11000000.0,233000000.0,940000000.0
Change In Tax Payable,,-11000000.0,233000000.0,940000000.0
Change In Income Tax Payable,,-11000000.0,233000000.0,940000000.0
Change In Other Current Assets,-912000000.0,-230000000.0,287000000.0,2472000000.0
Change In Other Current Liabilities,71000000.0,-1065000000.0,71000000.0,-483000000.0
Change In Other Working Capital,598000000.0,-11000000.0,233000000.0,940000000.0
Investing Cash Flow,-11187000000.0,-18569000000.0,-17586000000.0,-5634000000.0
Cash Flow From Continuing Investing Activities,-11187000000.0,-18569000000.0,-17586000000.0,-5634000000.0
Net Business Purchase And Sale,820000000.0,-3066000000.0,-1081000000.0,-731000000.0
Purchase Of Business,-3227000000.0,-3663000000.0,-1706000000.0,-1406000000.0
Sale Of Business,4047000000.0,597000000.0,625000000.0,675000000.0
Net Investment Properties Purchase And Sale,-90000000.0,-1167000000.0,-839000000.0,109000000.0
Purchase Of Investment Properties,-1375000000.0,-1287000000.0,-1962000000.0,-1118000000.0
Sale Of Investment Properties,1285000000.0,120000000.0,1123000000.0,1227000000.0
Net Investment Purchase And Sale,-16321000000.0,-11373000000.0,-10721000000.0,2198000000.0
Purchase Of Investment,-109321000000.0,-94566000000.0,-91901000000.0,-109809000000.0
Sale Of Investment,93000000000.0,83193000000.0,81180000000.0,112007000000.0
Net Other Investing Changes,-46000000.0,139000000.0,-131000000.0,-32000000.0
Financing Cash Flow,-1375000000.0,10729000000.0,4568000000.0,-2801000000.0
Cash Flow From Continuing Financing Activities,-1375000000.0,10729000000.0,4568000000.0,-2801000000.0
Net Issuance Payments Of Debt,-553000000.0,1025000000.0,476000000.0,-1847000000.0
Net Long Term Debt Issuance,-553000000.0,1025000000.0,476000000.0,-1847000000.0
Long Term Debt Issuance,29000000.0,1124000000.0,1382000000.0,24000000.0
Long Term Debt Payments,-582000000.0,-99000000.0,-906000000.0,-1871000000.0
Net Common Stock Issuance,-4303000000.0,-1151000000.0,-2285000000.0,-3992000000.0
Common Stock Payments,-4303000000.0,-1151000000.0,-2285000000.0,-3992000000.0
Net Preferred Stock Issuance,-500000000.0,958000000.0,0.0,1274000000.0
Preferred Stock Issuance,0.0,1961000000.0,0.0,1274000000.0
Preferred Stock Payments,-500000000.0,-1003000000.0,,
Cash Dividends Paid,-1842000000.0,-1859000000.0,-1821000000.0,-1819000000.0
Common Stock Dividend Paid,-1647000000.0,-1657000000.0,-1643000000.0,-1678000000.0
Preferred Stock Dividend Paid,-195000000.0,-202000000.0,-178000000.0,-141000000.0
Proceeds From Stock Option Exercised,,-46000000.0,-126000000.0,144000000.0
Net Other Financing Charges,3940000000.0,8218000000.0,6179000000.0,4404000000.0
End Cash Position,20047000000.0,19795000000.0,16598000000.0,15821000000.0
Changes In Cash,34000000.0,3799000000.0,768000000.0,3303000000.0
Effect Of Exchange Rate Changes,-478000000.0,163000000.0,9000000.0,-183000000.0
Beginning Cash Position,20560000000.0,16598000000.0,15821000000.0,12701000000.0
Other Cash Adjustment Outside Changein Cash,-69000000.0,-765000000.0,,
Income Tax Paid Supplemental Data,1102000000.0,787000000.0,1099000000.0,1935000000.0
Interest Paid Supplemental Data,914000000.0,891000000.0,964000000.0,1130000000.0
Issuance Of Capital Stock,0.0,1961000000.0,0.0,1274000000.0
Issuance Of Debt,29000000.0,1124000000.0,1382000000.0,24000000.0
Repayment Of Debt,-582000000.0,-99000000.0,-906000000.0,-1871000000.0
Repurchase Of Capital Stock,-4803000000.0,-2154000000.0,-2285000000.0,-3992000000.0
Free Cash Flow,12596000000.0,11639000000.0,13786000000.0,11738000000.0
