,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1309119000.0,1769839000.0,1418761000.0,1181344000.0
Cash Flow From Continuing Operating Activities,1309119000.0,1769839000.0,1418761000.0,1181344000.0
Net Income From Continuing Operations,1033548000.0,515727000.0,744571000.0,864855000.0
Operating Gains Losses,5462000.0,6296000.0,1608000.0,-205000.0
Gain Loss On Sale Of PPE,5462000.0,6296000.0,1608000.0,-205000.0
Depreciation Amortization Depletion,591711000.0,607507000.0,576452000.0,521765000.0
Depreciation And Amortization,591711000.0,607507000.0,576452000.0,521765000.0
Deferred Tax,-4929000.0,22324000.0,-107842000.0,88456000.0
Deferred Income Tax,-4929000.0,22324000.0,-107842000.0,88456000.0
Asset Impairment Charge,0.0,0.0,59906000.0,0.0
Stock Based Compensation,25651000.0,19697000.0,23620000.0,31382000.0
Other Non Cash Items,10783000.0,103695000.0,90341000.0,58991000.0
Change In Working Capital,-353107000.0,494593000.0,30105000.0,-383900000.0
Change In Receivables,-207047000.0,-54977000.0,81953000.0,13856000.0
Changes In Account Receivables,-207047000.0,,,13856000.0
Change In Inventory,-519229000.0,357516000.0,7212000.0,-255391000.0
Change In Payables And Accrued Expense,360791000.0,255466000.0,-52065000.0,-69847000.0
Change In Other Current Assets,-66844000.0,-55084000.0,3625000.0,-79482000.0
Change In Other Current Liabilities,79222000.0,-8328000.0,-10620000.0,6964000.0
Investing Cash Flow,-556754000.0,-954798000.0,-616044000.0,-1332203000.0
Cash Flow From Continuing Investing Activities,-556754000.0,-954798000.0,-616044000.0,-1332203000.0
Net PPE Purchase And Sale,-676120000.0,-425557000.0,-545462000.0,-794110000.0
Purchase Of PPE,-676120000.0,-425557000.0,-545462000.0,-794110000.0
Net Business Purchase And Sale,-123969000.0,0.0,-81082000.0,-568960000.0
Purchase Of Business,-123969000.0,0.0,-81082000.0,-568960000.0
Net Investment Purchase And Sale,243335000.0,-529241000.0,10500000.0,30867000.0
Purchase Of Investment,-1211239000.0,-1187891000.0,-581500000.0,-664133000.0
Sale Of Investment,1454574000.0,658650000.0,592000000.0,695000000.0
Financing Cash Flow,-1232225000.0,-188185000.0,-789877000.0,198029000.0
Cash Flow From Continuing Financing Activities,-1232225000.0,-188185000.0,-789877000.0,198029000.0
Net Issuance Payments Of Debt,-317594000.0,19648000.0,-673329000.0,512177000.0
Net Long Term Debt Issuance,-932252000.0,730537000.0,-4295000.0,284078000.0
Long Term Debt Issuance,0.0,1062240000.0,331325000.0,353649000.0
Long Term Debt Payments,-932252000.0,-331703000.0,-335620000.0,-69571000.0
Net Short Term Debt Issuance,614658000.0,-710889000.0,-669034000.0,228099000.0
Short Term Debt Issuance,1185020000.0,5313236000.0,14988764000.0,17797685000.0
Short Term Debt Payments,-570362000.0,-6024125000.0,-15657798000.0,-17569586000.0
Net Common Stock Issuance,-900334000.0,-192164000.0,-108857000.0,-284069000.0
Common Stock Payments,-900334000.0,-192164000.0,-108857000.0,-284069000.0
Net Other Financing Charges,-14297000.0,-15669000.0,-7691000.0,-30079000.0
End Cash Position,268895000.0,768625000.0,134785000.0,119050000.0
Changes In Cash,-479860000.0,626856000.0,12840000.0,47170000.0
Effect Of Exchange Rate Changes,-19870000.0,6984000.0,2895000.0,-13004000.0
Beginning Cash Position,768625000.0,134785000.0,119050000.0,84884000.0
Capital Expenditure,-676120000.0,-425557000.0,-545462000.0,-794110000.0
Issuance Of Debt,1185020000.0,6375476000.0,15320089000.0,18151334000.0
Repayment Of Debt,-1502614000.0,-6355828000.0,-15993418000.0,-17639157000.0
Repurchase Of Capital Stock,-900334000.0,-192164000.0,-108857000.0,-284069000.0
Free Cash Flow,632999000.0,1344282000.0,873299000.0,387234000.0
