,2021-11-30,2020-11-30,2019-11-30
Operating Cash Flow,828300000.0,1041300000.0,946800000.0
Cash Flow From Continuing Operating Activities,828300000.0,1041300000.0,946800000.0
Net Income From Continuing Operations,755300000.0,747400000.0,702700000.0
Operating Gains Losses,-52000000.0,-37800000.0,-42500000.0
Earnings Losses From Equity Investments,-52200000.0,-40800000.0,-40900000.0
Depreciation Amortization Depletion,186300000.0,165000000.0,158800000.0
Depreciation And Amortization,186300000.0,165000000.0,158800000.0
Deferred Tax,36000000.0,-11200000.0,20900000.0
Deferred Income Tax,36000000.0,-11200000.0,20900000.0
Asset Impairment Charge,17200000.0,,
Stock Based Compensation,66600000.0,46000000.0,37200000.0
Other Non Cash Items,6300000.0,,
Change In Working Capital,-222800000.0,102600000.0,38000000.0
Change In Receivables,-22600000.0,4800000.0,12200000.0
Changes In Account Receivables,-22600000.0,4800000.0,12200000.0
Change In Inventory,-153700000.0,-200200000.0,-20900000.0
Change In Payables And Accrued Expense,34900000.0,164200000.0,128200000.0
Change In Payable,34900000.0,164200000.0,128200000.0
Change In Account Payable,34900000.0,164200000.0,128200000.0
Change In Other Working Capital,-81400000.0,133800000.0,-81500000.0
Dividend Received Cfo,35400000.0,29300000.0,31700000.0
Investing Cash Flow,-908600000.0,-1025600000.0,-171000000.0
Cash Flow From Continuing Investing Activities,-908600000.0,-1025600000.0,-171000000.0
Capital Expenditure Reported,-278000000.0,-225300000.0,-173700000.0
Net Business Purchase And Sale,-641000000.0,-803000000.0,0.0
Purchase Of Business,-706400000.0,-803000000.0,0.0
Sale Of Business,65400000.0,,
Net Other Investing Changes,10400000.0,2700000.0,2700000.0
Financing Cash Flow,22000000.0,220900000.0,-725800000.0
Cash Flow From Continuing Financing Activities,22000000.0,220900000.0,-725800000.0
Net Issuance Payments Of Debt,397700000.0,555800000.0,-406700000.0
Net Long Term Debt Issuance,744400000.0,269300000.0,-447700000.0
Long Term Debt Issuance,1001500000.0,527000000.0,0.0
Long Term Debt Payments,-257100000.0,-257700000.0,-447700000.0
Net Short Term Debt Issuance,-346700000.0,286500000.0,41000000.0
Net Common Stock Issuance,-8600000.0,-47300000.0,-95100000.0
Common Stock Issuance,,,0.0
Common Stock Payments,-8600000.0,-47300000.0,-95100000.0
Cash Dividends Paid,-363300000.0,-330100000.0,-302200000.0
Common Stock Dividend Paid,-363300000.0,-330100000.0,-302200000.0
Proceeds From Stock Option Exercised,13500000.0,56600000.0,90900000.0
Net Other Financing Charges,-17300000.0,-14100000.0,-12700000.0
End Cash Position,351700000.0,423600000.0,155400000.0
Changes In Cash,-58300000.0,236600000.0,50000000.0
Effect Of Exchange Rate Changes,-13600000.0,31600000.0,8800000.0
Beginning Cash Position,423600000.0,155400000.0,96600000.0
Capital Expenditure,-278000000.0,-225300000.0,-173700000.0
Issuance Of Capital Stock,,,0.0
Issuance Of Debt,1001500000.0,527000000.0,0.0
Repayment Of Debt,-257100000.0,-257700000.0,-447700000.0
Repurchase Of Capital Stock,-8600000.0,-47300000.0,-95100000.0
Free Cash Flow,550300000.0,816000000.0,773100000.0
