,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3516000000.0,3382000000.0,2361000000.0,2428000000.0
Cash Flow From Continuing Operating Activities,3516000000.0,3382000000.0,2361000000.0,2428000000.0
Net Income From Continuing Operations,3174000000.0,2046000000.0,1773000000.0,1670000000.0
Operating Gains Losses,-399000000.0,78000000.0,-41000000.0,434000000.0
Gain Loss On Sale Of Business,-267000000.0,0.0,0.0,11000000.0
Net Foreign Currency Exchange Gain Loss,-38000000.0,32000000.0,-115000000.0,18000000.0
Gain Loss On Investment Securities,-61000000.0,22000000.0,-14000000.0,453000000.0
Depreciation Amortization Depletion,747000000.0,741000000.0,647000000.0,494000000.0
Depreciation And Amortization,747000000.0,741000000.0,647000000.0,494000000.0
Depreciation,382000000.0,390000000.0,333000000.0,311000000.0
Amortization Cash Flow,365000000.0,351000000.0,314000000.0,183000000.0
Amortization Of Intangibles,365000000.0,351000000.0,314000000.0,183000000.0
Deferred Tax,-63000000.0,40000000.0,84000000.0,-39000000.0
Deferred Income Tax,-63000000.0,40000000.0,84000000.0,-39000000.0
Stock Based Compensation,348000000.0,290000000.0,252000000.0,193000000.0
Other Non Cash Items,-18000000.0,-23000000.0,-27000000.0,-295000000.0
Change In Working Capital,-273000000.0,210000000.0,-327000000.0,-29000000.0
Change In Receivables,-252000000.0,-75000000.0,-130000000.0,-78000000.0
Change In Payables And Accrued Expense,180000000.0,301000000.0,162000000.0,-17000000.0
Change In Payable,180000000.0,301000000.0,162000000.0,-17000000.0
Change In Tax Payable,-45000000.0,60000000.0,42000000.0,-40000000.0
Change In Income Tax Payable,-45000000.0,60000000.0,42000000.0,-40000000.0
Change In Account Payable,225000000.0,241000000.0,120000000.0,23000000.0
Change In Other Current Assets,-381000000.0,20000000.0,-14000000.0,-11000000.0
Change In Other Current Liabilities,-347000000.0,-243000000.0,-499000000.0,9000000.0
Change In Other Working Capital,527000000.0,207000000.0,154000000.0,68000000.0
Investing Cash Flow,-1164000000.0,-814000000.0,-5671000000.0,-1089000000.0
Cash Flow From Continuing Investing Activities,-1164000000.0,-814000000.0,-5671000000.0,-1089000000.0
Capital Expenditure Reported,-406000000.0,-348000000.0,-421000000.0,-314000000.0
Net PPE Purchase And Sale,,6000000.0,10000000.0,3000000.0
Sale Of PPE,,6000000.0,10000000.0,3000000.0
Net Business Purchase And Sale,-780000000.0,-570000000.0,-5367000000.0,-774000000.0
Purchase Of Business,-864000000.0,-668000000.0,-5596000000.0,-884000000.0
Sale Of Business,84000000.0,98000000.0,229000000.0,110000000.0
Net Investment Purchase And Sale,18000000.0,107000000.0,183000000.0,4000000.0
Sale Of Investment,17000000.0,104000000.0,,
Net Other Investing Changes,4000000.0,-9000000.0,-76000000.0,-8000000.0
Financing Cash Flow,-1297000000.0,-1880000000.0,3306000000.0,-1310000000.0
Cash Flow From Continuing Financing Activities,-1297000000.0,-1880000000.0,3306000000.0,-1310000000.0
Net Issuance Payments Of Debt,-273000000.0,-778000000.0,5695000000.0,328000000.0
Net Long Term Debt Issuance,-273000000.0,-1778000000.0,5395000000.0,328000000.0
Long Term Debt Issuance,743000000.0,737000000.0,6459000000.0,591000000.0
Long Term Debt Payments,-1016000000.0,-2515000000.0,-1064000000.0,-263000000.0
Net Short Term Debt Issuance,,1000000000.0,300000000.0,0.0
Short Term Debt Issuance,,1000000000.0,300000000.0,0.0
Net Common Stock Issuance,-1099000000.0,0.0,-416000000.0,-649000000.0
Common Stock Issuance,161000000.0,132000000.0,158000000.0,93000000.0
Common Stock Payments,-1260000000.0,-132000000.0,-574000000.0,-742000000.0
Cash Dividends Paid,-1026000000.0,-943000000.0,-890000000.0,-807000000.0
Common Stock Dividend Paid,-1026000000.0,-943000000.0,-890000000.0,-807000000.0
Net Other Financing Charges,1101000000.0,-159000000.0,-1083000000.0,-182000000.0
End Cash Position,11374000000.0,2089000000.0,1155000000.0,1066000000.0
Changes In Cash,1055000000.0,688000000.0,-4000000.0,29000000.0
Effect Of Exchange Rate Changes,-355000000.0,246000000.0,93000000.0,-168000000.0
Beginning Cash Position,10674000000.0,1155000000.0,1066000000.0,1205000000.0
Capital Expenditure,-406000000.0,-348000000.0,-421000000.0,-314000000.0
Issuance Of Capital Stock,161000000.0,132000000.0,158000000.0,93000000.0
Issuance Of Debt,743000000.0,1737000000.0,6759000000.0,591000000.0
Repayment Of Debt,-1016000000.0,-2515000000.0,-1064000000.0,-263000000.0
Repurchase Of Capital Stock,-1260000000.0,-132000000.0,-574000000.0,-742000000.0
Free Cash Flow,3110000000.0,3034000000.0,1940000000.0,2114000000.0
