,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,7454000000.0,8113000000.0,7070000000.0,6439000000.0
Cash Flow From Continuing Operating Activities,7454000000.0,8113000000.0,7070000000.0,6439000000.0
Net Income From Continuing Operations,5929000000.0,5388000000.0,4582000000.0,5363000000.0
Operating Gains Losses,206000000.0,17000000.0,408000000.0,-135000000.0
Gain Loss On Sale Of Business,0.0,-389000000.0,51000000.0,-545000000.0
Pension And Employee Benefit Expense,206000000.0,406000000.0,357000000.0,410000000.0
Depreciation Amortization Depletion,1915000000.0,1911000000.0,1593000000.0,1488000000.0
Depreciation And Amortization,1915000000.0,1911000000.0,1593000000.0,1488000000.0
Deferred Tax,-166000000.0,-165000000.0,-273000000.0,-57000000.0
Deferred Income Tax,-166000000.0,-165000000.0,-273000000.0,-57000000.0
Stock Based Compensation,274000000.0,262000000.0,278000000.0,302000000.0
Other Non Cash Items,47000000.0,242000000.0,-321000000.0,-250000000.0
Change In Working Capital,-751000000.0,458000000.0,803000000.0,-272000000.0
Change In Receivables,-122000000.0,165000000.0,345000000.0,-305000000.0
Changes In Account Receivables,-122000000.0,165000000.0,345000000.0,-305000000.0
Change In Inventory,-903000000.0,-91000000.0,370000000.0,-509000000.0
Change In Payables And Accrued Expense,274000000.0,384000000.0,88000000.0,542000000.0
Change In Payable,274000000.0,384000000.0,88000000.0,542000000.0
Change In Tax Payable,-244000000.0,132000000.0,205000000.0,134000000.0
Change In Income Tax Payable,-244000000.0,132000000.0,205000000.0,134000000.0
Change In Account Payable,518000000.0,252000000.0,-117000000.0,408000000.0
Investing Cash Flow,-1317000000.0,-580000000.0,-6444000000.0,222000000.0
Cash Flow From Continuing Investing Activities,-1317000000.0,-580000000.0,-6444000000.0,222000000.0
Net PPE Purchase And Sale,-1552000000.0,-1373000000.0,-1576000000.0,-1315000000.0
Purchase Of PPE,-1603000000.0,-1501000000.0,-1699000000.0,-1577000000.0
Sale Of PPE,51000000.0,128000000.0,123000000.0,262000000.0
Net Business Purchase And Sale,0.0,551000000.0,-4748000000.0,859000000.0
Purchase Of Business,0.0,-25000000.0,-4984000000.0,
Sale Of Business,0.0,576000000.0,236000000.0,859000000.0
Net Investment Purchase And Sale,204000000.0,232000000.0,-192000000.0,669000000.0
Purchase Of Investment,-2202000000.0,-1579000000.0,-1635000000.0,-1828000000.0
Sale Of Investment,2406000000.0,1811000000.0,1443000000.0,2497000000.0
Net Other Investing Changes,31000000.0,10000000.0,72000000.0,9000000.0
Financing Cash Flow,-6145000000.0,-5300000000.0,-1124000000.0,-6701000000.0
Cash Flow From Continuing Financing Activities,-6145000000.0,-5300000000.0,-1124000000.0,-6701000000.0
Net Issuance Payments Of Debt,-1145000000.0,-1875000000.0,3249000000.0,933000000.0
Net Long Term Debt Issuance,-1143000000.0,-1732000000.0,3565000000.0,1217000000.0
Long Term Debt Issuance,1000000.0,1750000000.0,6281000000.0,2251000000.0
Long Term Debt Payments,-1144000000.0,-3482000000.0,-2716000000.0,-1034000000.0
Net Short Term Debt Issuance,-2000000.0,-143000000.0,-316000000.0,-284000000.0
Net Common Stock Issuance,-2199000000.0,-368000000.0,-1407000000.0,-4870000000.0
Common Stock Issuance,,,547000000.0,485000000.0
Common Stock Payments,-2199000000.0,-368000000.0,-1407000000.0,-4870000000.0
Cash Dividends Paid,-3420000000.0,-3388000000.0,-3316000000.0,-3193000000.0
Common Stock Dividend Paid,-3420000000.0,-3388000000.0,-3316000000.0,-3193000000.0
Proceeds From Stock Option Exercised,639000000.0,429000000.0,547000000.0,485000000.0
Net Other Financing Charges,-20000000.0,-98000000.0,-197000000.0,-56000000.0
End Cash Position,4564000000.0,4634000000.0,2353000000.0,2853000000.0
Changes In Cash,-8000000.0,2233000000.0,-498000000.0,-40000000.0
Effect Of Exchange Rate Changes,-62000000.0,48000000.0,-2000000.0,-160000000.0
Beginning Cash Position,4634000000.0,2353000000.0,2853000000.0,3053000000.0
Income Tax Paid Supplemental Data,,1351000000.0,1198000000.0,1560000000.0
Interest Paid Supplemental Data,,524000000.0,370000000.0,328000000.0
Capital Expenditure,-1603000000.0,-1501000000.0,-1699000000.0,-1577000000.0
Issuance Of Capital Stock,,,547000000.0,485000000.0
Issuance Of Debt,1000000.0,1750000000.0,6281000000.0,2251000000.0
Repayment Of Debt,-1144000000.0,-3482000000.0,-2716000000.0,-1034000000.0
Repurchase Of Capital Stock,-2199000000.0,-368000000.0,-1407000000.0,-4870000000.0
Free Cash Flow,5851000000.0,6612000000.0,5371000000.0,4862000000.0
