,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1155741000.0,1364163000.0,1113762000.0,1161881000.0
Cash Flow From Continuing Operating Activities,1155741000.0,1364163000.0,1113762000.0,1161881000.0
Net Income From Continuing Operations,1377475000.0,1409594000.0,1107835000.0,993004000.0
Operating Gains Losses,-1013000.0,-350000.0,-252000.0,-783000.0
Gain Loss On Sale Of PPE,-1013000.0,-350000.0,-252000.0,-783000.0
Depreciation Amortization Depletion,50155000.0,60973000.0,64814000.0,56979000.0
Depreciation And Amortization,50155000.0,60973000.0,64814000.0,56979000.0
Depreciation,,,,56979000.0
Deferred Tax,16429000.0,-156873000.0,1263000.0,-510000.0
Deferred Income Tax,16429000.0,-156873000.0,1263000.0,-510000.0
Asset Impairment Charge,0.0,8700000.0,,
Stock Based Compensation,70483000.0,70289000.0,63356000.0,57111000.0
Other Non Cash Items,4107000.0,,,
Change In Working Capital,-361895000.0,-28170000.0,-123254000.0,56080000.0
Change In Receivables,-254228000.0,-119672000.0,-59941000.0,-38412000.0
Changes In Account Receivables,-254228000.0,-119672000.0,-59941000.0,-38412000.0
Change In Inventory,-277793000.0,30304000.0,-85222000.0,-26146000.0
Change In Prepaid Assets,-40260000.0,6540000.0,-4293000.0,92034000.0
Change In Payables And Accrued Expense,193104000.0,55231000.0,22919000.0,29849000.0
Change In Payable,121518000.0,29118000.0,36937000.0,11795000.0
Change In Tax Payable,7221000.0,10422000.0,8105000.0,1943000.0
Change In Income Tax Payable,7221000.0,10422000.0,8105000.0,1943000.0
Change In Account Payable,114297000.0,18696000.0,28832000.0,9852000.0
Change In Accrued Expense,71586000.0,26113000.0,-14018000.0,18054000.0
Change In Other Current Liabilities,492000.0,-356000.0,-1030000.0,1526000.0
Change In Other Working Capital,16790000.0,-217000.0,4313000.0,-2771000.0
Investing Cash Flow,-992022000.0,-472487000.0,-326724000.0,272956000.0
Cash Flow From Continuing Investing Activities,-992022000.0,-472487000.0,-326724000.0,272956000.0
Net PPE Purchase And Sale,-42540000.0,-47729000.0,-100422000.0,-57646000.0
Purchase Of PPE,-43868000.0,-48722000.0,-101661000.0,-61941000.0
Sale Of PPE,1328000.0,993000.0,1239000.0,4295000.0
Net Intangibles Purchase And Sale,-13585000.0,-18550000.0,-8737000.0,-12984000.0
Purchase Of Intangibles,-13585000.0,-18550000.0,-8737000.0,-12984000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net Investment Purchase And Sale,-924544000.0,-379785000.0,-216300000.0,355400000.0
Purchase Of Investment,-2413143000.0,-1299981000.0,-1067736000.0,-826084000.0
Sale Of Investment,1488599000.0,920196000.0,851436000.0,1181484000.0
Net Other Investing Changes,-11353000.0,-26423000.0,-1265000.0,-11814000.0
Financing Cash Flow,34821000.0,-526068000.0,-628506000.0,-1316111000.0
Cash Flow From Continuing Financing Activities,34821000.0,-526068000.0,-628506000.0,-1316111000.0
Net Issuance Payments Of Debt,2928000.0,-3086000.0,-13569000.0,-1886000.0
Net Long Term Debt Issuance,2928000.0,-3086000.0,-13569000.0,-1886000.0
Long Term Debt Payments,,-3086000.0,-13569000.0,-1886000.0
Net Common Stock Issuance,31893000.0,-522982000.0,-614937000.0,-1314225000.0
Common Stock Issuance,45723000.0,72936000.0,92363000.0,27851000.0
Common Stock Payments,-13830000.0,-595918000.0,-707300000.0,-1342076000.0
End Cash Position,1326462000.0,1180413000.0,797957000.0,637513000.0
Changes In Cash,198540000.0,365608000.0,158532000.0,118726000.0
Effect Of Exchange Rate Changes,-52491000.0,16848000.0,1912000.0,-9835000.0
Beginning Cash Position,1180413000.0,797957000.0,637513000.0,528622000.0
Income Tax Paid Supplemental Data,420521000.0,355509000.0,293810000.0,200767000.0
Interest Paid Supplemental Data,134000.0,44000.0,320000.0,60000.0
Capital Expenditure,-57453000.0,-67272000.0,-110398000.0,-74925000.0
Issuance Of Capital Stock,45723000.0,72936000.0,92363000.0,27851000.0
Repayment Of Debt,,-3086000.0,-13569000.0,-1886000.0
Repurchase Of Capital Stock,-13830000.0,-595918000.0,-707300000.0,-1342076000.0
Free Cash Flow,1098288000.0,1296891000.0,1003364000.0,1086956000.0
