,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,936069000.0,811109000.0,709523000.0,612762000.0
Cash Flow From Continuing Operating Activities,936069000.0,811109000.0,709523000.0,612762000.0
Net Income From Continuing Operations,725983000.0,601822000.0,563648000.0,507885000.0
Operating Gains Losses,59103000.0,44930000.0,16794000.0,-61402000.0
Gain Loss On Sale Of Business,,0.0,,-61402000.0
Depreciation Amortization Depletion,134125000.0,110795000.0,79409000.0,85535000.0
Depreciation And Amortization,134125000.0,110795000.0,79409000.0,85535000.0
Depreciation,53533000.0,53854000.0,29999000.0,31346000.0
Amortization Cash Flow,80592000.0,56941000.0,49410000.0,54189000.0
Amortization Of Intangibles,80592000.0,56941000.0,49410000.0,54189000.0
Deferred Tax,-111369000.0,-55645000.0,-20767000.0,-780000.0
Deferred Income Tax,-111369000.0,-55645000.0,-20767000.0,-780000.0
Asset Impairment Charge,8385000.0,,,
Stock Based Compensation,54917000.0,51094000.0,41199000.0,38897000.0
Other Non Cash Items,4777000.0,6189000.0,27655000.0,3527000.0
Change In Working Capital,60148000.0,51924000.0,1585000.0,39100000.0
Change In Receivables,-99203000.0,-57606000.0,-25923000.0,-153942000.0
Changes In Account Receivables,-99203000.0,-57606000.0,-25923000.0,-153942000.0
Change In Prepaid Assets,11024000.0,11198000.0,-20898000.0,-6084000.0
Change In Payables And Accrued Expense,22459000.0,18732000.0,4008000.0,28506000.0
Change In Payable,31708000.0,17058000.0,344000.0,-590000.0
Change In Tax Payable,33903000.0,9576000.0,-2240000.0,-2890000.0
Change In Income Tax Payable,33903000.0,9576000.0,-2240000.0,-2890000.0
Change In Account Payable,-2195000.0,7482000.0,2584000.0,2300000.0
Change In Accrued Expense,-9249000.0,1674000.0,3664000.0,29096000.0
Change In Other Current Assets,-35445000.0,,,
Change In Other Current Liabilities,-542000.0,-22497000.0,-20244000.0,
Change In Other Working Capital,161855000.0,102097000.0,64642000.0,170620000.0
Investing Cash Flow,-1035713000.0,-241791000.0,-71937000.0,34874000.0
Cash Flow From Continuing Investing Activities,-1035713000.0,-241791000.0,-71937000.0,34874000.0
Capital Expenditure Reported,-52794000.0,-50975000.0,-53770000.0,-48961000.0
Net PPE Purchase And Sale,,0.0,10000.0,10000.0
Sale Of PPE,,0.0,10000.0,10000.0
Net Business Purchase And Sale,-975350000.0,-190816000.0,-18177000.0,83825000.0
Purchase Of Business,-975350000.0,-190816000.0,-18177000.0,0.0
Sale Of Business,,0.0,,83825000.0
Net Investment Purchase And Sale,,,,0.0
Sale Of Investment,,,,0.0
Net Other Investing Changes,-7569000.0,,,
Financing Cash Flow,229505000.0,-779038000.0,-36667000.0,-626483000.0
Cash Flow From Continuing Financing Activities,229505000.0,-779038000.0,-36667000.0,-626483000.0
Net Issuance Payments Of Debt,751940000.0,262618000.0,486875000.0,500000000.0
Net Long Term Debt Issuance,751940000.0,262618000.0,486875000.0,500000000.0
Long Term Debt Issuance,1803750000.0,1405000000.0,1000000000.0,500000000.0
Long Term Debt Payments,-1051810000.0,-1142382000.0,-513125000.0,
Net Common Stock Issuance,-198374000.0,-778519000.0,-292075000.0,-949888000.0
Common Stock Payments,-198374000.0,-778519000.0,-292075000.0,-949888000.0
Cash Dividends Paid,-302449000.0,-246444000.0,-222922000.0,-170938000.0
Common Stock Dividend Paid,-302449000.0,-246444000.0,-222922000.0,-170938000.0
Proceeds From Stock Option Exercised,0.0,0.0,3236000.0,605000.0
Net Other Financing Charges,-21612000.0,-16693000.0,-11781000.0,-6262000.0
End Cash Position,1421449000.0,1300521000.0,1506567000.0,904176000.0
Changes In Cash,129861000.0,-209720000.0,600919000.0,21153000.0
Effect Of Exchange Rate Changes,-8933000.0,3674000.0,1472000.0,-6479000.0
Beginning Cash Position,1300521000.0,1506567000.0,904176000.0,889502000.0
Income Tax Paid Supplemental Data,222620000.0,113646000.0,72935000.0,143215000.0
Interest Paid Supplemental Data,151335000.0,163391000.0,141484000.0,125986000.0
Capital Expenditure,-52794000.0,-50975000.0,-53770000.0,-48961000.0
Issuance Of Debt,1803750000.0,1405000000.0,1000000000.0,500000000.0
Repayment Of Debt,-1051810000.0,-1142382000.0,-513125000.0,
Repurchase Of Capital Stock,-198374000.0,-778519000.0,-292075000.0,-949888000.0
Free Cash Flow,883275000.0,760134000.0,655753000.0,563801000.0
