,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2714959000.0,789187000.0,2357555000.0,2089852000.0
Cash Flow From Continuing Operating Activities,2714959000.0,789187000.0,2357555000.0,2089852000.0
Net Income From Continuing Operations,1858746000.0,1353152000.0,1929149000.0,1918080000.0
Operating Gains Losses,-10308000.0,-19441000.0,31526000.0,-23503000.0
Depreciation Amortization Depletion,324208000.0,320288000.0,301315000.0,179005000.0
Depreciation And Amortization,324208000.0,320288000.0,301315000.0,179005000.0
Depreciation,224274000.0,220598000.0,209937000.0,104864000.0
Amortization Cash Flow,99934000.0,99690000.0,91378000.0,74141000.0
Amortization Of Intangibles,99934000.0,99690000.0,91378000.0,74141000.0
Deferred Tax,87159000.0,-31291000.0,57548000.0,15857000.0
Deferred Income Tax,87159000.0,-31291000.0,57548000.0,15857000.0
Asset Impairment Charge,8431000.0,21014000.0,7701000.0,24774000.0
Change In Working Capital,521723000.0,-1654535000.0,-145684000.0,-156361000.0
Change In Other Working Capital,685346000.0,-1112457000.0,-275914000.0,-5666000.0
Investing Cash Flow,-13631599000.0,-22020481000.0,727007000.0,-1410051000.0
Cash Flow From Continuing Investing Activities,-13631599000.0,-22020481000.0,727007000.0,-1410051000.0
Capital Expenditure Reported,-149213000.0,-172289000.0,-178049000.0,-97676000.0
Net Investment Purchase And Sale,-243119000.0,2544570000.0,3451275000.0,1834658000.0
Purchase Of Investment,-2309767000.0,-48578000.0,-1503131000.0,-1292053000.0
Sale Of Investment,2066648000.0,2593148000.0,4954406000.0,3126711000.0
Net Other Investing Changes,-510302000.0,67411000.0,-665999000.0,355156000.0
Financing Cash Flow,10701474000.0,21347732000.0,-3253696000.0,-495250000.0
Cash Flow From Continuing Financing Activities,10701474000.0,21347732000.0,-3253696000.0,-495250000.0
Net Issuance Payments Of Debt,-856027000.0,-2667904000.0,-5889508000.0,4537387000.0
Net Long Term Debt Issuance,-843591000.0,-2665023000.0,-1553493000.0,314108000.0
Long Term Debt Issuance,9500000.0,0.0,0.0,1773189000.0
Long Term Debt Payments,-853091000.0,-2665023000.0,-1553493000.0,-1459081000.0
Net Short Term Debt Issuance,-12436000.0,-2881000.0,-4336015000.0,4223279000.0
Net Common Stock Issuance,0.0,-373750000.0,-1349785000.0,-2194396000.0
Common Stock Payments,0.0,-373750000.0,-1349785000.0,-2194396000.0
Net Preferred Stock Issuance,495000000.0,0.0,14500000.0,0.0
Preferred Stock Issuance,495000000.0,0.0,396000000.0,0.0
Preferred Stock Payments,,0.0,-381500000.0,0.0
Cash Dividends Paid,-648460000.0,-636368000.0,-619592000.0,-582903000.0
Common Stock Dividend Paid,-580260000.0,-568112000.0,-552138000.0,-510382000.0
Preferred Stock Dividend Paid,-68200000.0,-68256000.0,-67454000.0,-72521000.0
Net Other Financing Charges,-26710000.0,-11413000.0,-25393000.0,17167000.0
End Cash Position,1337577000.0,1552743000.0,1436305000.0,1605439000.0
Changes In Cash,-215166000.0,116438000.0,-169134000.0,184551000.0
Beginning Cash Position,1552743000.0,1436305000.0,1605439000.0,1420888000.0
Income Tax Paid Supplemental Data,314295000.0,275558000.0,320513000.0,375116000.0
Interest Paid Supplemental Data,139164000.0,372291000.0,735787000.0,516230000.0
Capital Expenditure,-149213000.0,-172289000.0,-178049000.0,-97676000.0
Issuance Of Capital Stock,495000000.0,0.0,396000000.0,0.0
Issuance Of Debt,9500000.0,0.0,0.0,1773189000.0
Repayment Of Debt,-853091000.0,-2665023000.0,-1553493000.0,-1459081000.0
Repurchase Of Capital Stock,0.0,-373750000.0,-1731285000.0,-2194396000.0
Free Cash Flow,2565746000.0,616898000.0,2179506000.0,1992176000.0
