,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,908825000.0,724699000.0,603450000.0,565005000.0
Cash Flow From Continuing Operating Activities,908825000.0,724699000.0,603450000.0,565005000.0
Net Income From Continuing Operations,768985000.0,602739000.0,561109000.0,512611000.0
Gain Loss On Sale Of PPE,,,,0.0
Pension And Employee Benefit Expense,,,,0.0
Depreciation Amortization Depletion,108057000.0,98709000.0,88681000.0,84691000.0
Depreciation And Amortization,108057000.0,98709000.0,88681000.0,84691000.0
Depreciation,44982000.0,42044000.0,38991000.0,37167000.0
Amortization Cash Flow,63075000.0,56665000.0,49690000.0,47524000.0
Amortization Of Intangibles,63075000.0,56665000.0,49690000.0,47524000.0
Deferred Tax,563000.0,-12784000.0,-4630000.0,5899000.0
Deferred Income Tax,563000.0,-12784000.0,-4630000.0,5899000.0
Stock Based Compensation,19595000.0,18687000.0,18285000.0,17579000.0
Other Non Cash Items,7230000.0,-2399000.0,133000.0,-21233000.0
Change In Working Capital,4395000.0,19747000.0,-60128000.0,-34542000.0
Change In Receivables,-66468000.0,-4495000.0,-31408000.0,-19540000.0
Changes In Account Receivables,-66468000.0,-4495000.0,-31408000.0,-19540000.0
Change In Inventory,-118718000.0,-3836000.0,-4603000.0,-21195000.0
Change In Payables And Accrued Expense,194621000.0,32841000.0,-23782000.0,5571000.0
Change In Payable,113661000.0,-3754000.0,-18397000.0,32143000.0
Change In Tax Payable,19688000.0,14049000.0,-6176000.0,-1528000.0
Change In Income Tax Payable,19688000.0,14049000.0,-6176000.0,-1528000.0
Change In Account Payable,93973000.0,-17803000.0,-12221000.0,33671000.0
Change In Accrued Expense,80960000.0,36595000.0,-5385000.0,-26572000.0
Change In Other Current Assets,-5040000.0,-4763000.0,-335000.0,622000.0
Investing Cash Flow,-314108000.0,-100360000.0,-99083000.0,-138944000.0
Cash Flow From Continuing Investing Activities,-314108000.0,-100360000.0,-99083000.0,-138944000.0
Net PPE Purchase And Sale,-103928000.0,-89388000.0,-95919000.0,-134536000.0
Purchase Of PPE,-107580000.0,-92494000.0,-97341000.0,-142726000.0
Sale Of PPE,3652000.0,3106000.0,1422000.0,8190000.0
Net Business Purchase And Sale,-220862000.0,-6242000.0,-2004000.0,-5527000.0
Purchase Of Business,-220862000.0,-6242000.0,-2004000.0,-5527000.0
Net Other Investing Changes,10682000.0,-4730000.0,-1160000.0,1119000.0
Financing Cash Flow,-590549000.0,-743908000.0,-477368000.0,-388022000.0
Cash Flow From Continuing Financing Activities,-590549000.0,-743908000.0,-477368000.0,-388022000.0
Net Issuance Payments Of Debt,391973000.0,5171000.0,258297000.0,64291000.0
Net Long Term Debt Issuance,391973000.0,5171000.0,258297000.0,64291000.0
Long Term Debt Issuance,2427519000.0,1489040000.0,1435081000.0,940615000.0
Long Term Debt Payments,-2035546000.0,-1483869000.0,-1176784000.0,-876324000.0
Net Common Stock Issuance,-999998000.0,-774998000.0,-774999000.0,-474999000.0
Common Stock Payments,-999998000.0,-774998000.0,-774999000.0,-474999000.0
Proceeds From Stock Option Exercised,20463000.0,26719000.0,47581000.0,24600000.0
Net Other Financing Charges,-2987000.0,-800000.0,-8247000.0,-1914000.0
End Cash Position,98564000.0,94254000.0,207785000.0,178110000.0
Changes In Cash,4168000.0,-119569000.0,26999000.0,38039000.0
Effect Of Exchange Rate Changes,142000.0,6038000.0,2676000.0,-8616000.0
Beginning Cash Position,94254000.0,207785000.0,178110000.0,148687000.0
Income Tax Paid Supplemental Data,152657000.0,134674000.0,129347000.0,132410000.0
Interest Paid Supplemental Data,41338000.0,37772000.0,37499000.0,34451000.0
Capital Expenditure,-107580000.0,-92494000.0,-97341000.0,-142726000.0
Issuance Of Debt,2427519000.0,1489040000.0,1435081000.0,940615000.0
Repayment Of Debt,-2035546000.0,-1483869000.0,-1176784000.0,-876324000.0
Repurchase Of Capital Stock,-999998000.0,-774998000.0,-774999000.0,-474999000.0
Free Cash Flow,801245000.0,632205000.0,506109000.0,422279000.0
