,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Operating Cash Flow,5188000000.0,6657000000.0,2485000000.0,5903000000.0
Cash Flow From Continuing Operating Activities,5188000000.0,6657000000.0,2485000000.0,5903000000.0
Net Income From Continuing Operations,6046000000.0,5727000000.0,2539000000.0,4029000000.0
Operating Gains Losses,-26000000.0,-138000000.0,23000000.0,233000000.0
Net Foreign Currency Exchange Gain Loss,-26000000.0,-138000000.0,23000000.0,233000000.0
Depreciation Amortization Depletion,840000000.0,797000000.0,1119000000.0,720000000.0
Depreciation And Amortization,840000000.0,797000000.0,1119000000.0,720000000.0
Depreciation,717000000.0,744000000.0,721000000.0,705000000.0
Amortization Cash Flow,123000000.0,53000000.0,398000000.0,15000000.0
Amortization Of Intangibles,123000000.0,53000000.0,398000000.0,15000000.0
Deferred Tax,-650000000.0,-385000000.0,-380000000.0,34000000.0
Deferred Income Tax,-650000000.0,-385000000.0,-380000000.0,34000000.0
Stock Based Compensation,638000000.0,611000000.0,429000000.0,325000000.0
Change In Working Capital,-1660000000.0,45000000.0,-1245000000.0,562000000.0
Change In Receivables,-504000000.0,-1606000000.0,1239000000.0,-270000000.0
Changes In Account Receivables,-504000000.0,-1606000000.0,1239000000.0,-270000000.0
Change In Inventory,-1676000000.0,507000000.0,-1854000000.0,-490000000.0
Change In Prepaid Assets,-845000000.0,-182000000.0,-654000000.0,-203000000.0
Change In Payables And Accrued Expense,1365000000.0,1326000000.0,24000000.0,1525000000.0
Change In Payable,1365000000.0,1326000000.0,24000000.0,
Change In Account Payable,1365000000.0,1326000000.0,24000000.0,
Investing Cash Flow,-1524000000.0,-3800000000.0,-1028000000.0,-264000000.0
Cash Flow From Continuing Investing Activities,-1524000000.0,-3800000000.0,-1028000000.0,-264000000.0
Net PPE Purchase And Sale,-758000000.0,-695000000.0,-1086000000.0,-1114000000.0
Purchase Of PPE,-758000000.0,-695000000.0,-1086000000.0,-1119000000.0
Sale Of PPE,,,,5000000.0
Net Investment Purchase And Sale,-747000000.0,-3276000000.0,27000000.0,850000000.0
Purchase Of Investment,-12913000000.0,-9961000000.0,-2426000000.0,-2937000000.0
Sale Of Investment,12166000000.0,6685000000.0,2453000000.0,3787000000.0
Net Other Investing Changes,-19000000.0,171000000.0,31000000.0,
Financing Cash Flow,-4836000000.0,-1459000000.0,2491000000.0,-5293000000.0
Cash Flow From Continuing Financing Activities,-4836000000.0,-1459000000.0,2491000000.0,-5293000000.0
Net Issuance Payments Of Debt,15000000.0,-249000000.0,6183000000.0,-358000000.0
Net Long Term Debt Issuance,0.0,-197000000.0,6134000000.0,-33000000.0
Long Term Debt Issuance,0.0,0.0,6134000000.0,0.0
Long Term Debt Payments,0.0,-197000000.0,,-33000000.0
Net Short Term Debt Issuance,15000000.0,-52000000.0,49000000.0,-325000000.0
Net Common Stock Issuance,-4014000000.0,-608000000.0,-3067000000.0,-4286000000.0
Common Stock Payments,-4014000000.0,-608000000.0,-3067000000.0,-4286000000.0
Cash Dividends Paid,-1837000000.0,-1638000000.0,-1452000000.0,-1332000000.0
Common Stock Dividend Paid,,-1638000000.0,-1452000000.0,-1332000000.0
Proceeds From Stock Option Exercised,1151000000.0,1172000000.0,885000000.0,700000000.0
Net Other Financing Charges,-151000000.0,-136000000.0,-58000000.0,-17000000.0
End Cash Position,8574000000.0,9889000000.0,8348000000.0,4466000000.0
Changes In Cash,-1172000000.0,1398000000.0,3948000000.0,346000000.0
Effect Of Exchange Rate Changes,-143000000.0,143000000.0,-66000000.0,-129000000.0
Beginning Cash Position,9889000000.0,8348000000.0,4466000000.0,4249000000.0
Income Tax Paid Supplemental Data,1231000000.0,1177000000.0,1028000000.0,757000000.0
Interest Paid Supplemental Data,290000000.0,293000000.0,140000000.0,153000000.0
Capital Expenditure,-758000000.0,-695000000.0,-1086000000.0,-1119000000.0
Issuance Of Debt,0.0,0.0,6134000000.0,0.0
Repayment Of Debt,0.0,-197000000.0,,-33000000.0
Repurchase Of Capital Stock,-4014000000.0,-608000000.0,-3067000000.0,-4286000000.0
Free Cash Flow,4430000000.0,5962000000.0,1399000000.0,4784000000.0
