,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2191000000.0,1786599000.0,1235972000.0,811089000.0
Cash Flow From Continuing Operating Activities,2191000000.0,1786599000.0,1235972000.0,811089000.0
Net Income From Continuing Operations,230000000.0,118503000.0,626698000.0,-26704000.0
Operating Gains Losses,3000000.0,46611000.0,,-19257000.0
Gain Loss On Investment Securities,,,,-19257000.0
Depreciation Amortization Depletion,472000000.0,336381000.0,252114000.0,149604000.0
Depreciation And Amortization,472000000.0,336381000.0,252114000.0,149604000.0
Deferred Tax,-34000000.0,-24481000.0,-575765000.0,-34180000.0
Deferred Income Tax,-34000000.0,-24481000.0,-575765000.0,-34180000.0
Unrealized Gain Loss On Investment Securities,,,0.0,
Stock Based Compensation,1131000000.0,870453000.0,662195000.0,543953000.0
Other Non Cash Items,331000000.0,157658000.0,192376000.0,56919000.0
Change In Working Capital,58000000.0,281474000.0,78354000.0,140754000.0
Change In Receivables,-401000000.0,-151431000.0,-259835000.0,-146148000.0
Changes In Account Receivables,-401000000.0,-151431000.0,-259835000.0,-146148000.0
Change In Prepaid Assets,-93000000.0,-54203000.0,-29907000.0,-19886000.0
Change In Payables And Accrued Expense,157000000.0,141374000.0,86452000.0,77314000.0
Change In Payable,55000000.0,-33583000.0,21355000.0,-4757000.0
Change In Account Payable,55000000.0,-33583000.0,21355000.0,-4757000.0
Change In Accrued Expense,102000000.0,174957000.0,65097000.0,82071000.0
Change In Other Working Capital,395000000.0,345734000.0,281644000.0,229474000.0
Investing Cash Flow,-1607000000.0,-1506872000.0,-724477000.0,-347422000.0
Cash Flow From Continuing Investing Activities,-1607000000.0,-1506872000.0,-724477000.0,-347422000.0
Net PPE Purchase And Sale,-392000000.0,-419327000.0,-264892000.0,-224462000.0
Purchase Of PPE,-392000000.0,-419327000.0,-264892000.0,-224462000.0
Net Intangibles Purchase And Sale,-7000000.0,-13190000.0,-72689000.0,-24400000.0
Purchase Of Intangibles,-7000000.0,-13190000.0,-72689000.0,-24400000.0
Net Business Purchase And Sale,-785000000.0,-107236000.0,-7414000.0,-37440000.0
Purchase Of Business,-785000000.0,-107236000.0,-7414000.0,-37440000.0
Net Investment Purchase And Sale,-437000000.0,-967119000.0,-379482000.0,-61120000.0
Purchase Of Investment,-2556000000.0,-2933876000.0,-1595667000.0,-1295782000.0
Sale Of Investment,2119000000.0,1966757000.0,1216185000.0,1234662000.0
Net Other Investing Changes,14000000.0,,,
Financing Cash Flow,-506000000.0,596647000.0,-301856000.0,-607428000.0
Cash Flow From Continuing Financing Activities,-506000000.0,596647000.0,-301856000.0,-607428000.0
Net Issuance Payments Of Debt,-61000000.0,-146057000.0,-9000.0,-430578000.0
Net Long Term Debt Issuance,-61000000.0,-146057000.0,-9000.0,-430578000.0
Long Term Debt Issuance,0.0,1481633000.0,0.0,0.0
Long Term Debt Payments,-61000000.0,-1627690000.0,-9000.0,-430578000.0
Net Common Stock Issuance,,,0.0,0.0
Common Stock Payments,,,0.0,0.0
Proceeds From Stock Option Exercised,167000000.0,145766000.0,107868000.0,104160000.0
Net Other Financing Charges,-612000000.0,596938000.0,-409715000.0,-281010000.0
End Cash Position,1732000000.0,1679430000.0,777991000.0,568538000.0
Changes In Cash,78000000.0,876374000.0,209639000.0,-143761000.0
Effect Of Exchange Rate Changes,-25000000.0,25065000.0,-186000.0,-15530000.0
Beginning Cash Position,1679000000.0,777991000.0,568538000.0,727829000.0
Income Tax Paid Supplemental Data,36000000.0,39212000.0,20471000.0,17507000.0
Interest Paid Supplemental Data,41000000.0,,,
Capital Expenditure,-399000000.0,-432517000.0,-337581000.0,-248862000.0
Issuance Of Debt,0.0,1481633000.0,0.0,0.0
Repayment Of Debt,-61000000.0,-1627690000.0,-9000.0,-430578000.0
Repurchase Of Capital Stock,,,0.0,0.0
Free Cash Flow,1792000000.0,1354082000.0,898391000.0,562227000.0
