,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1945400000.0,1724600000.0,1856000000.0,1722300000.0
Cash Flow From Continuing Operating Activities,1945400000.0,1724600000.0,1856000000.0,1722300000.0
Net Income From Continuing Operations,1507600000.0,1020800000.0,1435900000.0,1440500000.0
Operating Gains Losses,-59300000.0,-8100000.0,-14800000.0,-178400000.0
Gain Loss On Sale Of Business,-50500000.0,,,-178400000.0
Gain Loss On Investment Securities,-8800000.0,-8100000.0,-14800000.0,
Depreciation Amortization Depletion,212100000.0,222600000.0,231500000.0,264000000.0
Depreciation And Amortization,212100000.0,222600000.0,231500000.0,264000000.0
Depreciation,132100000.0,139500000.0,147700000.0,161500000.0
Amortization Cash Flow,80000000.0,83100000.0,83800000.0,102500000.0
Amortization Of Intangibles,80000000.0,83100000.0,83800000.0,102500000.0
Amortization Of Securities,,,,-12900000.0
Stock Based Compensation,84700000.0,70800000.0,72500000.0,70500000.0
Other Non Cash Items,39800000.0,387600000.0,5800000.0,58100000.0
Change In Working Capital,160500000.0,30900000.0,125100000.0,80500000.0
Change In Receivables,-989100000.0,141200000.0,-156600000.0,88300000.0
Changes In Account Receivables,-989100000.0,141200000.0,-156600000.0,88300000.0
Change In Inventory,-281700000.0,293000000.0,-99800000.0,-269300000.0
Change In Payables And Accrued Expense,921300000.0,-428600000.0,276300000.0,242900000.0
Change In Payable,921300000.0,-428600000.0,276300000.0,242900000.0
Change In Account Payable,921300000.0,-428600000.0,276300000.0,242900000.0
Change In Other Working Capital,510000000.0,25300000.0,105200000.0,18600000.0
Investing Cash Flow,-709200000.0,-136100000.0,-30900000.0,-221800000.0
Cash Flow From Continuing Investing Activities,-709200000.0,-136100000.0,-30900000.0,-221800000.0
Capital Expenditure Reported,-665800000.0,-75400000.0,-102200000.0,-195700000.0
Net Business Purchase And Sale,-45900000.0,-63900000.0,69400000.0,-42000000.0
Purchase Of Business,-160000000.0,-67100000.0,-10000000.0,-350400000.0
Sale Of Business,114100000.0,3200000.0,79400000.0,308400000.0
Net Investment Purchase And Sale,2500000.0,3200000.0,1900000.0,15900000.0
Sale Of Investment,2500000.0,3200000.0,1900000.0,15900000.0
Financing Cash Flow,-1391000000.0,-408400000.0,-1222000000.0,-1441100000.0
Cash Flow From Continuing Financing Activities,-1391000000.0,-408400000.0,-1222000000.0,-1441100000.0
Net Issuance Payments Of Debt,-22300000.0,581000000.0,214400000.0,0.0
Net Long Term Debt Issuance,-28700000.0,586600000.0,212400000.0,0.0
Long Term Debt Issuance,1221300000.0,1186600000.0,1112400000.0,0.0
Long Term Debt Payments,-1250000000.0,-600000000.0,-900000000.0,0.0
Net Short Term Debt Issuance,6400000.0,-5600000.0,2000000.0,0.0
Net Common Stock Issuance,-527300000.0,-222000000.0,-610200000.0,-581300000.0
Common Stock Payments,-527300000.0,-222000000.0,-610200000.0,-581300000.0
Cash Dividends Paid,-592300000.0,-562700000.0,-564300000.0,-548500000.0
Common Stock Dividend Paid,-592300000.0,-562700000.0,-564300000.0,-548500000.0
Proceeds From Stock Option Exercised,9100000.0,4100000.0,6500000.0,13000000.0
Net Other Financing Charges,-258200000.0,-208800000.0,-268400000.0,-324300000.0
End Cash Position,5316800000.0,5600500000.0,4305700000.0,3652400000.0
Changes In Cash,-154800000.0,1180100000.0,603100000.0,59400000.0
Effect Of Exchange Rate Changes,-128900000.0,114700000.0,50200000.0,-203000000.0
Beginning Cash Position,5600500000.0,4305700000.0,3652400000.0,3796000000.0
Income Tax Paid Supplemental Data,454400000.0,376500000.0,361000000.0,590900000.0
Interest Paid Supplemental Data,219300000.0,205500000.0,246300000.0,243200000.0
Capital Expenditure,-665800000.0,-75400000.0,-102200000.0,-195700000.0
Issuance Of Debt,1221300000.0,1186600000.0,1112400000.0,0.0
Repayment Of Debt,-1250000000.0,-600000000.0,-900000000.0,0.0
Repurchase Of Capital Stock,-527300000.0,-222000000.0,-610200000.0,-581300000.0
Free Cash Flow,1279600000.0,1649200000.0,1753800000.0,1526600000.0
