,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1782000000.0,884300000.0,694700000.0,1274200000.0
Cash Flow From Continuing Operating Activities,1782000000.0,884300000.0,694700000.0,1274200000.0
Net Income From Continuing Operations,1011200000.0,236400000.0,213900000.0,629900000.0
Operating Gains Losses,18800000.0,-3200000.0,8100000.0,900000.0
Gain Loss On Sale Of Business,-10200000.0,0.0,0.0,-5000000.0
Gain Loss On Sale Of PPE,,-3200000.0,1900000.0,2400000.0
Pension And Employee Benefit Expense,,4000000.0,,
Depreciation Amortization Depletion,596700000.0,625100000.0,593100000.0,508700000.0
Depreciation And Amortization,596700000.0,625100000.0,593100000.0,508700000.0
Deferred Tax,62400000.0,-122600000.0,11200000.0,69200000.0
Deferred Income Tax,62400000.0,-122600000.0,11200000.0,69200000.0
Asset Impairment Charge,10800000.0,18800000.0,5000000.0,64900000.0
Stock Based Compensation,101300000.0,67700000.0,79400000.0,78300000.0
Other Non Cash Items,39700000.0,60800000.0,50700000.0,47700000.0
Change In Working Capital,-58900000.0,1300000.0,-266700000.0,-125400000.0
Change In Receivables,-136300000.0,31400000.0,4700000.0,-2700000.0
Changes In Account Receivables,,,4700000.0,-2700000.0
Change In Inventory,-122800000.0,-26300000.0,34600000.0,-185200000.0
Change In Payables And Accrued Expense,194600000.0,15700000.0,-281600000.0,101300000.0
Change In Payable,70700000.0,34200000.0,-79900000.0,44800000.0
Change In Account Payable,70700000.0,34200000.0,-79900000.0,44800000.0
Change In Accrued Expense,123900000.0,-18500000.0,-201700000.0,56500000.0
Change In Other Current Assets,-22900000.0,-60000000.0,-34600000.0,-37400000.0
Change In Other Current Liabilities,28500000.0,40500000.0,10200000.0,-1400000.0
Change In Other Working Capital,,40500000.0,10200000.0,-1400000.0
Interest Paid Cfo,,-168400000.0,,
Interest Received Cfo,,4900000.0,,
Taxes Refund Paid,,59800000.0,,
Investing Cash Flow,-915100000.0,-453600000.0,-1510900000.0,-548900000.0
Cash Flow From Continuing Investing Activities,-915100000.0,-453600000.0,-1510900000.0,-548900000.0
Net PPE Purchase And Sale,-478000000.0,-375100000.0,-528100000.0,-474200000.0
Purchase Of PPE,-492000000.0,-383600000.0,-534600000.0,-514800000.0
Sale Of PPE,14000000.0,8500000.0,6500000.0,40600000.0
Net Intangibles Purchase And Sale,0.0,-100000000.0,-100000000.0,
Purchase Of Intangibles,0.0,-100000000.0,-100000000.0,
Net Business Purchase And Sale,-392400000.0,21500000.0,-882800000.0,-87100000.0
Purchase Of Business,-399400000.0,-4500000.0,-888000000.0,-95500000.0
Sale Of Business,7000000.0,26000000.0,5200000.0,8400000.0
Net Investment Purchase And Sale,-44700000.0,,,
Purchase Of Investment,-48900000.0,,,
Sale Of Investment,4200000.0,,,
Net Other Investing Changes,,,,12400000.0
Financing Cash Flow,-569400000.0,-244000000.0,623100000.0,-605100000.0
Cash Flow From Continuing Financing Activities,-569400000.0,-244000000.0,623100000.0,-605100000.0
Net Issuance Payments Of Debt,-483200000.0,-165900000.0,809600000.0,-286700000.0
Net Long Term Debt Issuance,-483200000.0,-165900000.0,809600000.0,-286700000.0
Long Term Debt Issuance,787300000.0,1858000000.0,1404800000.0,15300000.0
Long Term Debt Payments,-1270500000.0,-2023900000.0,-595200000.0,-302000000.0
Net Common Stock Issuance,0.0,-65400000.0,-139000000.0,-315300000.0
Common Stock Payments,0.0,-65400000.0,-139000000.0,-315300000.0
Proceeds From Stock Option Exercised,117300000.0,23600000.0,27900000.0,30700000.0
Net Other Financing Charges,-203500000.0,-36300000.0,-75400000.0,-33800000.0
End Cash Position,1377700000.0,1081500000.0,894200000.0,1087100000.0
Changes In Cash,297500000.0,186700000.0,-193100000.0,120200000.0
Effect Of Exchange Rate Changes,-1300000.0,600000.0,200000.0,300000.0
Beginning Cash Position,1081500000.0,894200000.0,1087100000.0,966600000.0
Income Tax Paid Supplemental Data,,,,53200000.0
Interest Paid Supplemental Data,,,,80000000.0
Capital Expenditure,-492000000.0,-483600000.0,-634600000.0,-514800000.0
Issuance Of Debt,787300000.0,1858000000.0,1404800000.0,15300000.0
Repayment Of Debt,-1270500000.0,-2023900000.0,-595200000.0,-302000000.0
Repurchase Of Capital Stock,0.0,-65400000.0,-139000000.0,-315300000.0
Free Cash Flow,1290000000.0,400700000.0,60100000.0,759400000.0
