,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3207310000.0,2836603000.0,1708479000.0,1727555000.0
Cash Flow From Continuing Operating Activities,3207310000.0,2836603000.0,1708479000.0,1727555000.0
Net Income From Continuing Operations,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Depreciation Amortization Depletion,328217000.0,314635000.0,270875000.0,258937000.0
Depreciation And Amortization,328217000.0,314635000.0,270875000.0,258937000.0
Deferred Tax,20383000.0,12381000.0,21158000.0,20160000.0
Deferred Income Tax,20383000.0,12381000.0,21158000.0,20160000.0
Stock Based Compensation,24656000.0,22747000.0,21921000.0,20176000.0
Other Non Cash Items,6516000.0,9266000.0,11445000.0,13365000.0
Change In Working Capital,662853000.0,725272000.0,-7962000.0,90430000.0
Change In Receivables,-47427000.0,-20515000.0,-15577000.0,18138000.0
Changes In Account Receivables,-47427000.0,-20515000.0,-15577000.0,18138000.0
Change In Inventory,-32634000.0,-198864000.0,-239912000.0,-163367000.0
Change In Payables And Accrued Expense,681964000.0,766406000.0,207580000.0,209952000.0
Change In Payable,663250000.0,778347000.0,193284000.0,200579000.0
Change In Tax Payable,152339000.0,197739000.0,-20139000.0,22903000.0
Change In Income Tax Payable,152339000.0,197739000.0,-20139000.0,22903000.0
Change In Account Payable,510911000.0,580608000.0,213423000.0,177676000.0
Change In Accrued Expense,18714000.0,-11941000.0,14296000.0,9373000.0
Change In Other Working Capital,60950000.0,178245000.0,39947000.0,25707000.0
Investing Cash Flow,-615620000.0,-614895000.0,-796746000.0,-534302000.0
Cash Flow From Continuing Investing Activities,-615620000.0,-614895000.0,-796746000.0,-534302000.0
Net PPE Purchase And Sale,-433359000.0,-449809000.0,-620939000.0,-499484000.0
Purchase Of PPE,-442853000.0,-465579000.0,-628057000.0,-504268000.0
Sale Of PPE,9494000.0,15770000.0,7118000.0,4784000.0
Net Business Purchase And Sale,-180333000.0,-164111000.0,-33781000.0,
Purchase Of Business,-180333000.0,-164111000.0,-33781000.0,
Net Investment Purchase And Sale,-180333000.0,-164111000.0,-33781000.0,
Purchase Of Investment,-180333000.0,-164111000.0,-33781000.0,
Net Other Investing Changes,-1928000.0,-975000.0,-142026000.0,-34818000.0
Financing Cash Flow,-2694858000.0,-1796577000.0,-902811000.0,-1208286000.0
Cash Flow From Continuing Financing Activities,-2694858000.0,-1796577000.0,-902811000.0,-1208286000.0
Net Issuance Payments Of Debt,-300000000.0,236515000.0,473955000.0,439660000.0
Net Long Term Debt Issuance,-300000000.0,497515000.0,499955000.0,498660000.0
Long Term Debt Issuance,0.0,997515000.0,499955000.0,498660000.0
Long Term Debt Payments,-300000000.0,-500000000.0,-2734000000.0,-2473000000.0
Net Short Term Debt Issuance,0.0,-261000000.0,-26000000.0,-59000000.0
Short Term Debt Issuance,0.0,1162000000.0,2708000000.0,2414000000.0
Short Term Debt Payments,0.0,-1423000000.0,-2734000000.0,-2473000000.0
Net Common Stock Issuance,-2391133000.0,-2024910000.0,-1372585000.0,-1641867000.0
Common Stock Issuance,84915000.0,62284000.0,60206000.0,72146000.0
Common Stock Payments,-2476048000.0,-2087194000.0,-1432791000.0,-1714013000.0
Net Other Financing Charges,-3725000.0,-8182000.0,-4181000.0,-6079000.0
End Cash Position,362113000.0,465640000.0,40406000.0,31315000.0
Changes In Cash,-103168000.0,425131000.0,8922000.0,-15033000.0
Effect Of Exchange Rate Changes,-359000.0,103000.0,169000.0,
Beginning Cash Position,465640000.0,40406000.0,31315000.0,46348000.0
Income Tax Paid Supplemental Data,450935000.0,305087000.0,394931000.0,311376000.0
Interest Paid Supplemental Data,144293000.0,159717000.0,134634000.0,117938000.0
Capital Expenditure,-442853000.0,-465579000.0,-628057000.0,-504268000.0
Issuance Of Capital Stock,84915000.0,62284000.0,60206000.0,72146000.0
Issuance Of Debt,0.0,2159515000.0,3207955000.0,2912660000.0
Repayment Of Debt,-300000000.0,-1923000000.0,-2734000000.0,-2473000000.0
Repurchase Of Capital Stock,-2476048000.0,-2087194000.0,-1432791000.0,-1714013000.0
Free Cash Flow,2764457000.0,2371024000.0,1080422000.0,1223287000.0
