,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,953000000.0,2294000000.0,1230000000.0,1426000000.0
Cash Flow From Continuing Operating Activities,835000000.0,2215000000.0,1230000000.0,1425000000.0
Net Income From Continuing Operations,4631000000.0,2584000000.0,3301000000.0,1960000000.0
Operating Gains Losses,-2166000000.0,-260000000.0,-553000000.0,59000000.0
Gain Loss On Sale Of PPE,-2343000000.0,-214000000.0,-498000000.0,1000000.0
Gain Loss On Investment Securities,-47000000.0,-206000000.0,-113000000.0,
Earnings Losses From Equity Investments,96000000.0,34000000.0,58000000.0,58000000.0
Depreciation Amortization Depletion,390000000.0,430000000.0,443000000.0,223000000.0
Depreciation And Amortization,390000000.0,430000000.0,443000000.0,223000000.0
Deferred Tax,90000000.0,122000000.0,-769000000.0,44000000.0
Deferred Income Tax,90000000.0,122000000.0,-769000000.0,44000000.0
Stock Based Compensation,192000000.0,274000000.0,291000000.0,146000000.0
Other Non Cash Items,13190000000.0,11045000000.0,12554000000.0,
Change In Working Capital,-15492000000.0,-11980000000.0,-14037000000.0,-1007000000.0
Change In Receivables,179000000.0,-68000000.0,-256000000.0,-254000000.0
Changes In Account Receivables,,,,-254000000.0
Change In Payables And Accrued Expense,760000000.0,188000000.0,297000000.0,-94000000.0
Change In Payable,760000000.0,188000000.0,297000000.0,
Change In Account Payable,760000000.0,188000000.0,297000000.0,
Change In Other Current Assets,,,,15000000.0
Change In Other Working Capital,-16431000000.0,-12100000000.0,-14078000000.0,-674000000.0
Cash From Discontinued Operating Activities,118000000.0,79000000.0,0.0,1000000.0
Investing Cash Flow,2395000000.0,56000000.0,-155000000.0,-348000000.0
Cash Flow From Continuing Investing Activities,2402000000.0,63000000.0,-153000000.0,-325000000.0
Capital Expenditure Reported,-354000000.0,-324000000.0,-353000000.0,-165000000.0
Net Intangibles Purchase And Sale,3028000000.0,593000000.0,756000000.0,0.0
Sale Of Intangibles,3028000000.0,593000000.0,756000000.0,0.0
Net Business Purchase And Sale,-54000000.0,-147000000.0,-399000000.0,-155000000.0
Purchase Of Business,-54000000.0,-147000000.0,-399000000.0,-155000000.0
Sale Of Business,3028000000.0,593000000.0,756000000.0,0.0
Net Investment Purchase And Sale,-193000000.0,-59000000.0,-171000000.0,0.0
Sale Of Investment,,,,0.0
Net Other Investing Changes,-25000000.0,,14000000.0,-5000000.0
Cash From Discontinued Investing Activities,-7000000.0,-7000000.0,-2000000.0,-23000000.0
Financing Cash Flow,-152000000.0,-90000000.0,-1216000000.0,-921000000.0
Cash Flow From Continuing Financing Activities,-152000000.0,-90000000.0,-1216000000.0,-921000000.0
Net Issuance Payments Of Debt,-2230000000.0,768000000.0,-393000000.0,-21000000.0
Net Long Term Debt Issuance,-2230000000.0,1474000000.0,-418000000.0,-16000000.0
Long Term Debt Issuance,0.0,4375000000.0,492000000.0,0.0
Long Term Debt Payments,-2230000000.0,-2901000000.0,-910000000.0,-16000000.0
Net Short Term Debt Issuance,0.0,-706000000.0,25000000.0,-5000000.0
Net Common Stock Issuance,1672000000.0,-58000000.0,-57000000.0,-586000000.0
Common Stock Issuance,1672000000.0,,,
Common Stock Payments,0.0,-58000000.0,-57000000.0,-586000000.0
Net Preferred Stock Issuance,983000000.0,,,
Preferred Stock Issuance,983000000.0,,,
Cash Dividends Paid,-647000000.0,-600000000.0,-595000000.0,-276000000.0
Common Stock Dividend Paid,-617000000.0,-600000000.0,-595000000.0,-276000000.0
Preferred Stock Dividend Paid,-30000000.0,,,
Proceeds From Stock Option Exercised,408000000.0,5000000.0,15000000.0,27000000.0
Net Other Financing Charges,-338000000.0,-205000000.0,-186000000.0,-65000000.0
End Cash Position,6267000000.0,3119000000.0,834000000.0,442000000.0
Changes In Cash,3196000000.0,2260000000.0,-141000000.0,157000000.0
Effect Of Exchange Rate Changes,-48000000.0,25000000.0,-1000000.0,
Beginning Cash Position,3119000000.0,834000000.0,976000000.0,285000000.0
Income Tax Paid Supplemental Data,,,,12000000.0
Interest Paid Supplemental Data,,,,457000000.0
Capital Expenditure,-354000000.0,-324000000.0,-353000000.0,-165000000.0
Issuance Of Capital Stock,2655000000.0,,,
Issuance Of Debt,0.0,4375000000.0,492000000.0,0.0
Repayment Of Debt,-2230000000.0,-2901000000.0,-910000000.0,-16000000.0
Repurchase Of Capital Stock,0.0,-58000000.0,-57000000.0,-586000000.0
Free Cash Flow,599000000.0,1970000000.0,877000000.0,1261000000.0
