,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2186700000.0,2987200000.0,2860300000.0,2992300000.0
Cash Flow From Continuing Operating Activities,2186700000.0,2987200000.0,2860300000.0,2992300000.0
Net Income From Continuing Operations,1852100000.0,1298400000.0,2387900000.0,2195100000.0
Operating Gains Losses,,,-35700000.0,-88900000.0
Pension And Employee Benefit Expense,,,-35700000.0,-88900000.0
Depreciation Amortization Depletion,903300000.0,1049000000.0,1077300000.0,1054100000.0
Depreciation And Amortization,903300000.0,1049000000.0,1077300000.0,1054100000.0
Depreciation,903300000.0,1049000000.0,1077300000.0,1054100000.0
Deferred Tax,-212900000.0,-500000.0,70800000.0,17500000.0
Deferred Income Tax,-212900000.0,-500000.0,70800000.0,17500000.0
Provisionand Write Offof Assets,500000.0,28800000.0,15400000.0,16500000.0
Other Non Cash Items,-4800000.0,-164500000.0,-9100000.0,-53800000.0
Change In Working Capital,-351500000.0,776000000.0,-682000000.0,-237100000.0
Change In Receivables,-322100000.0,993000000.0,-592500000.0,-781300000.0
Changes In Account Receivables,-322100000.0,993000000.0,-592500000.0,-781300000.0
Change In Inventory,-610300000.0,-48200000.0,24600000.0,-332700000.0
Change In Payables And Accrued Expense,693400000.0,-53600000.0,-27600000.0,528900000.0
Change In Payable,,-53600000.0,-27600000.0,528900000.0
Change In Account Payable,,-53600000.0,-27600000.0,528900000.0
Change In Other Current Assets,-129800000.0,-133800000.0,-365400000.0,-217100000.0
Change In Other Current Liabilities,17300000.0,18600000.0,278900000.0,565100000.0
Change In Other Working Capital,-82400000.0,-127800000.0,-179700000.0,275000000.0
Investing Cash Flow,-1362700000.0,-1875800000.0,-2207400000.0,-1930700000.0
Cash Flow From Continuing Investing Activities,-1362700000.0,-1875800000.0,-2207400000.0,-1930700000.0
Net PPE Purchase And Sale,-1632800000.0,-1638400000.0,-1970800000.0,-1298600000.0
Purchase Of PPE,-1632800000.0,-1638400000.0,-1970800000.0,-1952300000.0
Sale Of PPE,904100000.0,601900000.0,638100000.0,653700000.0
Net Investment Purchase And Sale,-176100000.0,-244600000.0,-135100000.0,315600000.0
Purchase Of Investment,-903100000.0,-842400000.0,-850600000.0,-615900000.0
Sale Of Investment,727000000.0,597800000.0,715500000.0,931500000.0
Net Other Investing Changes,446200000.0,7200000.0,-101500000.0,-947700000.0
Financing Cash Flow,-882900000.0,-1808500000.0,83400000.0,71100000.0
Cash Flow From Continuing Financing Activities,-882900000.0,-1808500000.0,83400000.0,71100000.0
Net Issuance Payments Of Debt,-210900000.0,-580300000.0,1271400000.0,1210500000.0
Net Long Term Debt Issuance,-235600000.0,251600000.0,714300000.0,584600000.0
Long Term Debt Issuance,2101100000.0,2150100000.0,2504300000.0,2339900000.0
Long Term Debt Payments,-2336700000.0,-1898500000.0,-1790000000.0,-1755300000.0
Net Short Term Debt Issuance,24700000.0,-831900000.0,557100000.0,625900000.0
Net Common Stock Issuance,-1500000.0,-42100000.0,-110200000.0,-354400000.0
Common Stock Payments,-1500000.0,-42100000.0,-110200000.0,-354400000.0
Cash Dividends Paid,-708000000.0,-1239800000.0,-1138600000.0,-804300000.0
Common Stock Dividend Paid,-708000000.0,-1239800000.0,-1138600000.0,-804300000.0
Proceeds From Stock Option Exercised,37500000.0,53700000.0,60800000.0,19300000.0
End Cash Position,3428300000.0,3539600000.0,4175100000.0,3435900000.0
Changes In Cash,-58900000.0,-697100000.0,736300000.0,1132700000.0
Effect Of Exchange Rate Changes,-52400000.0,61600000.0,2900000.0,-61500000.0
Beginning Cash Position,3539600000.0,4175100000.0,3435900000.0,2364700000.0
Capital Expenditure,-1632800000.0,-1638400000.0,-1970800000.0,-1952300000.0
Issuance Of Debt,2101100000.0,2150100000.0,2504300000.0,2339900000.0
Repayment Of Debt,-2336700000.0,-1898500000.0,-1790000000.0,-1755300000.0
Repurchase Of Capital Stock,-1500000.0,-42100000.0,-110200000.0,-354400000.0
Free Cash Flow,553900000.0,1348800000.0,889500000.0,1040000000.0
