,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3218800000.0,3738600000.0,5493200000.0,5156500000.0
Cash Flow From Continuing Operating Activities,3218800000.0,3738600000.0,5493200000.0,5156500000.0
Net Income From Continuing Operations,1757400000.0,1428500000.0,1444100000.0,1553700000.0
Operating Gains Losses,-168800000.0,-313200000.0,-59100000.0,-600000.0
Gain Loss On Investment Securities,-2500000.0,-302600000.0,52800000.0,75400000.0
Earnings Losses From Equity Investments,-166300000.0,-10600000.0,-111900000.0,-76000000.0
Depreciation And Amortization,275300000.0,251900000.0,226800000.0,205100000.0
Other Non Cash Items,-605900000.0,-210400000.0,-433000000.0,-434700000.0
Amortization Of Securities,317800000.0,412900000.0,371400000.0,277300000.0
Stock Based Compensation,96100000.0,87600000.0,82600000.0,77400000.0
Change In Working Capital,1546900000.0,2081300000.0,3860400000.0,3478300000.0
Change In Receivables,-100900000.0,16400000.0,-247600000.0,37800000.0
Changes In Account Receivables,-100900000.0,16400000.0,-247600000.0,37800000.0
Change In Payables And Accrued Expense,,442500000.0,211200000.0,274700000.0
Change In Payable,,442500000.0,211200000.0,274700000.0
Change In Tax Payable,,442500000.0,211200000.0,274700000.0
Change In Income Tax Payable,,442500000.0,211200000.0,274700000.0
Change In Accrued Investment Income,13800000.0,-24000000.0,-50400000.0,-28700000.0
Change In Funds Withheld,1363500000.0,1591200000.0,3599900000.0,3610200000.0
Change In Trading Account Securities,99900000.0,144200000.0,-53800000.0,-133700000.0
Change In Other Working Capital,170600000.0,353500000.0,612300000.0,-7300000.0
Investing Cash Flow,-5658100000.0,-5025800000.0,-7688500000.0,-5702500000.0
Cash Flow From Continuing Investing Activities,-5658100000.0,-5025800000.0,-7688500000.0,-5702500000.0
Net Investment Purchase And Sale,-3037200000.0,-3916400000.0,-5164600000.0,-4181800000.0
Purchase Of Investment,-16732500000.0,-15779800000.0,-14626200000.0,-14212500000.0
Sale Of Investment,13695300000.0,11863400000.0,9461600000.0,10030700000.0
Net Proceeds Payment For Loan,-2370300000.0,-772300000.0,-1151800000.0,-1219100000.0
Proceeds From Loans,2853200000.0,2477200000.0,2335900000.0,2228400000.0
Payment For Loans,-5223500000.0,-3249500000.0,-3487700000.0,-3447500000.0
Net PPE Purchase And Sale,-129900000.0,-108800000.0,-132400000.0,-92300000.0
Purchase Of PPE,-129900000.0,-108800000.0,-132400000.0,-92300000.0
Net Investment Properties Purchase And Sale,-147700000.0,-228300000.0,-31200000.0,-24600000.0
Purchase Of Investment Properties,-281400000.0,-230600000.0,-127500000.0,-88100000.0
Sale Of Investment Properties,133700000.0,2300000.0,96300000.0,63500000.0
Net Business Purchase And Sale,27000000.0,0.0,-1208500000.0,-184700000.0
Purchase Of Business,0.0,0.0,-1208500000.0,-184700000.0
Sale Of Business,27000000.0,,,
Financing Cash Flow,1921500000.0,1621100000.0,1733700000.0,1052700000.0
Cash Flow From Continuing Financing Activities,1921500000.0,1621100000.0,1733700000.0,1052700000.0
Net Issuance Payments Of Debt,8400000.0,530500000.0,530200000.0,88000000.0
Net Long Term Debt Issuance,-1800000.0,543100000.0,472700000.0,79500000.0
Long Term Debt Issuance,0.0,608900000.0,504900000.0,80800000.0
Long Term Debt Payments,-1800000.0,-65800000.0,-32200000.0,-1300000.0
Net Short Term Debt Issuance,10200000.0,-12600000.0,57500000.0,8500000.0
Short Term Debt Issuance,10200000.0,,57500000.0,8500000.0
Short Term Debt Payments,,-12600000.0,,
Net Common Stock Issuance,-850500000.0,-264200000.0,-243300000.0,-607600000.0
Common Stock Issuance,86700000.0,42800000.0,37700000.0,64000000.0
Common Stock Payments,-937200000.0,-307000000.0,-281000000.0,-671600000.0
Cash Dividends Paid,-654100000.0,-614500000.0,-606000000.0,-598600000.0
Common Stock Dividend Paid,-654100000.0,-614500000.0,-606000000.0,-598600000.0
Net Other Financing Charges,3417700000.0,1969300000.0,2052800000.0,2170900000.0
End Cash Position,2332000000.0,2849800000.0,2515900000.0,2977500000.0
Changes In Cash,-517800000.0,333900000.0,-461600000.0,506700000.0
Beginning Cash Position,2849800000.0,2515900000.0,2977500000.0,2470800000.0
Income Tax Paid Supplemental Data,109900000.0,,8500000.0,96200000.0
Interest Paid Supplemental Data,166100000.0,162800000.0,157700000.0,150200000.0
Capital Expenditure,-129900000.0,-108800000.0,-132400000.0,-92300000.0
Issuance Of Capital Stock,86700000.0,42800000.0,37700000.0,64000000.0
Issuance Of Debt,10200000.0,608900000.0,562400000.0,89300000.0
Repayment Of Debt,-1800000.0,-78400000.0,-32200000.0,-1300000.0
Repurchase Of Capital Stock,-937200000.0,-307000000.0,-281000000.0,-671600000.0
Free Cash Flow,3088900000.0,3629800000.0,5360800000.0,5064200000.0
