,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,7214000000.0,4659000000.0,7363000000.0,7840000000.0
Cash Flow From Continuing Operating Activities,7214000000.0,4659000000.0,7363000000.0,7840000000.0
Net Income From Continuing Operations,5725000000.0,7558000000.0,5418000000.0,5346000000.0
Operating Gains Losses,-64000000.0,-6219000000.0,-531000000.0,-525000000.0
Gain Loss On Sale Of Business,,-5740000000.0,,
Gain Loss On Investment Securities,-64000000.0,-305000000.0,,
Earnings Losses From Equity Investments,,-174000000.0,-531000000.0,-525000000.0
Depreciation Amortization Depletion,1773000000.0,1497000000.0,1315000000.0,1129000000.0
Depreciation And Amortization,1773000000.0,1497000000.0,1315000000.0,1129000000.0
Deferred Tax,178000000.0,-2239000000.0,303000000.0,133000000.0
Deferred Income Tax,178000000.0,-2239000000.0,303000000.0,133000000.0
Other Non Cash Items,-194000000.0,684000000.0,-341000000.0,32000000.0
Change In Working Capital,575000000.0,203000000.0,426000000.0,1317000000.0
Change In Payables And Accrued Expense,753000000.0,-254000000.0,132000000.0,295000000.0
Change In Accrued Expense,753000000.0,-254000000.0,132000000.0,295000000.0
Change In Other Current Assets,-369000000.0,-128000000.0,-143000000.0,280000000.0
Change In Other Working Capital,671000000.0,957000000.0,560000000.0,-893000000.0
Investing Cash Flow,-2795000000.0,-51122000000.0,-24990000000.0,-3969000000.0
Cash Flow From Continuing Investing Activities,-2795000000.0,-51122000000.0,-24990000000.0,-3969000000.0
Net Business Purchase And Sale,-10511000000.0,14225000000.0,75000000.0,
Purchase Of Business,-10511000000.0,,,
Sale Of Business,,14225000000.0,75000000.0,
Net Investment Purchase And Sale,-28432000000.0,-597000000.0,-2413000000.0,-7448000000.0
Purchase Of Investment,-85583000000.0,-45409000000.0,-25490000000.0,-26788000000.0
Sale Of Investment,57151000000.0,44812000000.0,23077000000.0,19340000000.0
Net Other Investing Changes,-3632000000.0,-1264000000.0,-705000000.0,-1684000000.0
Financing Cash Flow,-3432000000.0,48419000000.0,17080000000.0,-3512000000.0
Cash Flow From Continuing Financing Activities,-3432000000.0,48419000000.0,17080000000.0,-3512000000.0
Net Issuance Payments Of Debt,-7945000000.0,-18270000000.0,-2277000000.0,-1933000000.0
Net Long Term Debt Issuance,-7945000000.0,-11970000000.0,-2277000000.0,-1833000000.0
Long Term Debt Issuance,2558000000.0,13317000000.0,27692000000.0,16001000000.0
Long Term Debt Payments,-10503000000.0,-25287000000.0,-29969000000.0,-17834000000.0
Net Short Term Debt Issuance,,-6300000000.0,-538000000.0,-100000000.0
Short Term Debt Issuance,,,1131000000.0,420000000.0
Short Term Debt Payments,,-6300000000.0,-1669000000.0,-100000000.0
Net Common Stock Issuance,-1013000000.0,-1559000000.0,-3488000000.0,-2808000000.0
Common Stock Issuance,66000000.0,65000000.0,90000000.0,69000000.0
Common Stock Payments,-1079000000.0,-1624000000.0,-3578000000.0,-2877000000.0
Net Preferred Stock Issuance,1484000000.0,-480000000.0,,
Preferred Stock Issuance,1484000000.0,,,
Preferred Stock Payments,,-480000000.0,,
Cash Dividends Paid,-2289000000.0,-2209000000.0,-2131000000.0,-1837000000.0
Common Stock Dividend Paid,-2056000000.0,-1980000000.0,-1895000000.0,-1601000000.0
Preferred Stock Dividend Paid,-233000000.0,-229000000.0,-236000000.0,-236000000.0
End Cash Position,8004000000.0,7017000000.0,5061000000.0,5608000000.0
Changes In Cash,987000000.0,1956000000.0,-547000000.0,359000000.0
Beginning Cash Position,7017000000.0,5061000000.0,5608000000.0,5249000000.0
Income Tax Paid Supplemental Data,675000000.0,3410000000.0,430000000.0,372000000.0
Interest Paid Supplemental Data,582000000.0,1292000000.0,3742000000.0,2835000000.0
Issuance Of Capital Stock,1550000000.0,65000000.0,90000000.0,69000000.0
Issuance Of Debt,2558000000.0,13317000000.0,27692000000.0,16001000000.0
Repayment Of Debt,-10503000000.0,-31587000000.0,-29969000000.0,-17934000000.0
Repurchase Of Capital Stock,-1079000000.0,-2104000000.0,-3578000000.0,-2877000000.0
Free Cash Flow,7214000000.0,4659000000.0,7363000000.0,7840000000.0
