,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,860014000.0,966365000.0,956726000.0,1277144000.0
Cash Flow From Continuing Operating Activities,860014000.0,966365000.0,956726000.0,1277144000.0
Net Income From Continuing Operations,635944000.0,570052000.0,557813000.0,530540000.0
Depreciation Amortization Depletion,719141000.0,686253000.0,664140000.0,650955000.0
Depreciation And Amortization,719141000.0,686253000.0,664140000.0,650955000.0
Deferred Tax,112669000.0,64373000.0,-5417000.0,112185000.0
Deferred Income Tax,112669000.0,64373000.0,-5417000.0,112185000.0
Amortization Of Securities,,,49508000.0,116750000.0
Stock Based Compensation,18460000.0,18292000.0,18376000.0,19547000.0
Other Non Cash Items,-254051000.0,-139474000.0,-64404000.0,-13846000.0
Change In Working Capital,-372149000.0,-233131000.0,-213782000.0,-22237000.0
Change In Receivables,-75064000.0,-7288000.0,-25511000.0,12794000.0
Changes In Account Receivables,-72559000.0,-18191000.0,-12789000.0,37530000.0
Change In Inventory,-32870000.0,11623000.0,-51826000.0,-6103000.0
Change In Payables And Accrued Expense,29361000.0,-6059000.0,50641000.0,-14602000.0
Change In Payable,29361000.0,-6059000.0,50641000.0,-14602000.0
Change In Tax Payable,9094000.0,14652000.0,-9920000.0,6597000.0
Change In Income Tax Payable,9094000.0,14652000.0,-9920000.0,6597000.0
Change In Account Payable,20267000.0,-6059000.0,50641000.0,-14602000.0
Change In Other Current Assets,-269193000.0,-98093000.0,-86402000.0,112448000.0
Change In Other Current Liabilities,-24115000.0,-150690000.0,-93096000.0,-130068000.0
Change In Other Working Capital,-268000.0,17376000.0,-7588000.0,3294000.0
Investing Cash Flow,-1386929000.0,-1277818000.0,-1130977000.0,-1192824000.0
Cash Flow From Continuing Investing Activities,-1386929000.0,-1277818000.0,-1130977000.0,-1192824000.0
Capital Expenditure Reported,-1473475000.0,-1326584000.0,-1191447000.0,-1178169000.0
Net Investment Purchase And Sale,-4514000.0,-3090000.0,-3147000.0,-19132000.0
Purchase Of Investment,-1725480000.0,-822608000.0,-722181000.0,-672165000.0
Sale Of Investment,1720966000.0,819518000.0,719034000.0,653033000.0
Net Other Investing Changes,91060000.0,51856000.0,63617000.0,4477000.0
Financing Cash Flow,476916000.0,361138000.0,178768000.0,-92446000.0
Cash Flow From Continuing Financing Activities,476916000.0,361138000.0,178768000.0,-92446000.0
Net Issuance Payments Of Debt,869999000.0,735847000.0,530463000.0,244245000.0
Net Long Term Debt Issuance,746999000.0,681522000.0,492188000.0,263245000.0
Long Term Debt Issuance,746999000.0,1596672000.0,1092188000.0,445245000.0
Long Term Debt Payments,0.0,-915150000.0,-600000000.0,-182000000.0
Net Short Term Debt Issuance,123000000.0,54325000.0,38275000.0,-19000000.0
Short Term Debt Issuance,142000000.0,825015000.0,103275000.0,45000000.0
Short Term Debt Payments,-19000000.0,-770690000.0,-65000000.0,-64000000.0
Net Common Stock Issuance,-2350000.0,-1389000.0,692000.0,-5055000.0
Cash Dividends Paid,-369478000.0,-350577000.0,-329643000.0,-308892000.0
Common Stock Dividend Paid,-369478000.0,-350577000.0,-329643000.0,-308892000.0
Net Other Financing Charges,-21255000.0,-22743000.0,-22744000.0,-22744000.0
End Cash Position,9969000.0,59968000.0,10283000.0,5766000.0
Changes In Cash,-49999000.0,49685000.0,4517000.0,-8126000.0
Beginning Cash Position,59968000.0,10283000.0,5766000.0,13892000.0
Income Tax Paid Supplemental Data,,,12535000.0,21173000.0
Interest Paid Supplemental Data,,216951000.0,218664000.0,208479000.0
Capital Expenditure,-1473475000.0,-1326584000.0,-1191447000.0,-1178169000.0
Issuance Of Debt,888999000.0,2421687000.0,1195463000.0,490245000.0
Repayment Of Debt,-19000000.0,-1685840000.0,-665000000.0,-246000000.0
Free Cash Flow,-613461000.0,-360219000.0,-234721000.0,98975000.0
