,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Operating Cash Flow,1049243000.0,1301853000.0,945646000.0,810364000.0
Cash Flow From Continuing Operating Activities,1049243000.0,1301853000.0,945646000.0,810364000.0
Net Income From Continuing Operations,1033353000.0,733611000.0,334325000.0,133125000.0
Operating Gains Losses,744000.0,61991000.0,-44308000.0,87825000.0
Net Foreign Currency Exchange Gain Loss,,,-1300000.0,-2376000.0
Earnings Losses From Equity Investments,0.0,0.0,-43008000.0,
Depreciation Amortization Depletion,361415000.0,456104000.0,468931000.0,663097000.0
Depreciation And Amortization,361415000.0,456104000.0,468931000.0,663097000.0
Depreciation,210949000.0,203206000.0,221632000.0,208646000.0
Amortization Cash Flow,150466000.0,252898000.0,247299000.0,454451000.0
Amortization Of Intangibles,150466000.0,252898000.0,247299000.0,454451000.0
Deferred Tax,31875000.0,-18136000.0,-11099000.0,-70169000.0
Deferred Income Tax,31875000.0,-18136000.0,-11099000.0,-70169000.0
Asset Impairment Charge,48000000.0,2775000.0,19396000.0,15901000.0
Stock Based Compensation,83507000.0,89322000.0,75978000.0,71580000.0
Other Non Cash Items,14150000.0,-2151000.0,10178000.0,5087000.0
Change In Working Capital,-523801000.0,-21663000.0,92245000.0,-96082000.0
Change In Receivables,-107896000.0,-91275000.0,21029000.0,-32119000.0
Changes In Account Receivables,-107896000.0,-91275000.0,21029000.0,-32119000.0
Change In Inventory,-236196000.0,9390000.0,10252000.0,-39590000.0
Change In Prepaid Assets,-176742000.0,-18490000.0,-14513000.0,13343000.0
Change In Payables And Accrued Expense,22135000.0,64872000.0,64095000.0,11268000.0
Change In Payable,33950000.0,34201000.0,15425000.0,15167000.0
Change In Account Payable,33950000.0,34201000.0,15425000.0,15167000.0
Change In Accrued Expense,-11815000.0,30671000.0,48670000.0,-3899000.0
Change In Other Current Liabilities,-21963000.0,-20778000.0,-1553000.0,-10778000.0
Change In Other Working Capital,-3139000.0,34618000.0,12935000.0,-38206000.0
Investing Cash Flow,-595956000.0,-218658000.0,-1105742000.0,-247554000.0
Cash Flow From Continuing Investing Activities,-595956000.0,-218658000.0,-1105742000.0,-247554000.0
Net PPE Purchase And Sale,-213466000.0,-186960000.0,-164104000.0,-220937000.0
Purchase Of PPE,-213466000.0,-186960000.0,-164104000.0,-220937000.0
Net Business Purchase And Sale,-389136000.0,-47069000.0,-946043000.0,0.0
Purchase Of Business,-389136000.0,-47069000.0,-946043000.0,0.0
Net Investment Purchase And Sale,,0.0,1950000.0,400000.0
Purchase Of Investment,,0.0,,-132732000.0
Sale Of Investment,,0.0,1950000.0,133132000.0
Net Other Investing Changes,6646000.0,15371000.0,2455000.0,-27017000.0
Financing Cash Flow,-875510000.0,-401923000.0,165559000.0,-776664000.0
Cash Flow From Continuing Financing Activities,-875510000.0,-401923000.0,165559000.0,-776664000.0
Net Issuance Payments Of Debt,301570000.0,118756000.0,659000000.0,-145330000.0
Net Long Term Debt Issuance,301570000.0,118756000.0,659000000.0,-145330000.0
Long Term Debt Issuance,499070000.0,1206750000.0,659000000.0,905350000.0
Long Term Debt Payments,-197500000.0,-1087994000.0,,-1050680000.0
Net Common Stock Issuance,-1113984000.0,-472486000.0,-464933000.0,-596785000.0
Common Stock Issuance,38303000.0,42598000.0,50198000.0,41289000.0
Common Stock Payments,-1152287000.0,-515084000.0,-515131000.0,-638074000.0
Net Other Financing Charges,-63096000.0,-48193000.0,-28508000.0,-34549000.0
End Cash Position,972805000.0,1398309000.0,715612000.0,711382000.0
Changes In Cash,-422223000.0,681272000.0,5463000.0,-213854000.0
Effect Of Exchange Rate Changes,-3281000.0,1425000.0,-1233000.0,-1166000.0
Beginning Cash Position,1398309000.0,715612000.0,711382000.0,926402000.0
Income Tax Paid Supplemental Data,125322000.0,53236000.0,55513000.0,69453000.0
Interest Paid Supplemental Data,59393000.0,81232000.0,54445000.0,64853000.0
Capital Expenditure,-213466000.0,-186960000.0,-164104000.0,-220937000.0
Issuance Of Capital Stock,38303000.0,42598000.0,50198000.0,41289000.0
Issuance Of Debt,499070000.0,1206750000.0,659000000.0,905350000.0
Repayment Of Debt,-197500000.0,-1087994000.0,,-1050680000.0
Repurchase Of Capital Stock,-1152287000.0,-515084000.0,-515131000.0,-638074000.0
Free Cash Flow,835777000.0,1114893000.0,781542000.0,589427000.0
