,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,-1877815000.0,-3731653000.0,3716366000.0,3479139000.0
Cash Flow From Continuing Operating Activities,-1877815000.0,-3731653000.0,3716366000.0,3479139000.0
Net Income From Continuing Operations,-5260499000.0,-5775130000.0,1907600000.0,1815792000.0
Operating Gains Losses,272736000.0,372755000.0,-226085000.0,-163288000.0
Gain Loss On Sale Of PPE,,,0.0,0.0
Net Foreign Currency Exchange Gain Loss,0.0,69044000.0,,
Gain Loss On Investment Securities,-1492000.0,49316000.0,-1431000.0,61148000.0
Earnings Losses From Equity Investments,135469000.0,213286000.0,-230980000.0,-224436000.0
Depreciation Amortization Depletion,1292878000.0,1279254000.0,1245942000.0,1033697000.0
Depreciation And Amortization,1292878000.0,1279254000.0,1245942000.0,1033697000.0
Deferred Tax,-42979000.0,-8791000.0,7745000.0,-2679000.0
Deferred Income Tax,-42979000.0,-8791000.0,7745000.0,-2679000.0
Asset Impairment Charge,82001000.0,1566380000.0,0.0,33651000.0
Stock Based Compensation,63638000.0,39779000.0,75930000.0,46061000.0
Other Non Cash Items,232798000.0,123153000.0,110369000.0,38559000.0
Change In Working Capital,1481612000.0,-1331268000.0,444688000.0,434245000.0
Change In Receivables,-181707000.0,121055000.0,-9898000.0,-9573000.0
Change In Inventory,-34527000.0,27077000.0,-8533000.0,-23849000.0
Change In Prepaid Assets,-152071000.0,295876000.0,15669000.0,-71770000.0
Change In Payables And Accrued Expense,423270000.0,-131716000.0,167311000.0,153447000.0
Change In Payable,188518000.0,-133815000.0,75281000.0,91737000.0
Change In Account Payable,188518000.0,-133815000.0,75281000.0,91737000.0
Change In Accrued Expense,234752000.0,2099000.0,92030000.0,61710000.0
Change In Interest Payable,-694000.0,182578000.0,-4460000.0,18773000.0
Change In Other Working Capital,1426647000.0,-1643560000.0,280139000.0,385990000.0
Dividend Received Cfo,0.0,2215000.0,150177000.0,243101000.0
Investing Cash Flow,-2144739000.0,-2178566000.0,-3091406000.0,-4489158000.0
Cash Flow From Continuing Investing Activities,-2144739000.0,-2178566000.0,-3091406000.0,-4489158000.0
Net PPE Purchase And Sale,-2053665000.0,-1937335000.0,-3024663000.0,-3660028000.0
Purchase Of PPE,-2229704000.0,-1965131000.0,-3024663000.0,-3660028000.0
Sale Of PPE,176039000.0,27796000.0,0.0,0.0
Net Business Purchase And Sale,-70228000.0,-100609000.0,-25569000.0,-930092000.0
Purchase Of Business,-70228000.0,-100609000.0,-25569000.0,-943307000.0
Sale Of Business,,,0.0,13215000.0
Net Investment Purchase And Sale,-29757000.0,-145461000.0,-61215000.0,-21545000.0
Purchase Of Investment,-74249000.0,-161335000.0,-68836000.0,-98074000.0
Sale Of Investment,44492000.0,15874000.0,7621000.0,76529000.0
Net Other Investing Changes,8911000.0,4839000.0,20041000.0,122507000.0
Financing Cash Flow,3040577000.0,9349788000.0,-670371000.0,1198073000.0
Cash Flow From Continuing Financing Activities,3040577000.0,9349788000.0,-670371000.0,1198073000.0
Net Issuance Payments Of Debt,1620857000.0,8630237000.0,92749000.0,2392065000.0
Net Long Term Debt Issuance,2035427000.0,9702056000.0,-534680000.0,1627229000.0
Long Term Debt Issuance,4467789000.0,13547189000.0,3525564000.0,8590740000.0
Long Term Debt Payments,-2432362000.0,-3845133000.0,-4060244000.0,-6963511000.0
Net Short Term Debt Issuance,-414570000.0,-1071819000.0,627429000.0,764836000.0
Short Term Debt Issuance,0.0,6765816000.0,26240540000.0,4730286000.0
Short Term Debt Payments,-414570000.0,-7837635000.0,-25613111000.0,-3965450000.0
Net Common Stock Issuance,1621860000.0,1431375000.0,-99582000.0,-575039000.0
Common Stock Issuance,1621860000.0,1431375000.0,,
Common Stock Payments,0.0,0.0,-99582000.0,-575039000.0
Cash Dividends Paid,0.0,-326421000.0,-602674000.0,-527494000.0
Common Stock Dividend Paid,,-326421000.0,-602674000.0,-527494000.0
Proceeds From Stock Option Exercised,,,1742000.0,4264000.0
Net Other Financing Charges,-202140000.0,-385403000.0,-62606000.0,-95723000.0
End Cash Position,2701770000.0,3684474000.0,243738000.0,287852000.0
Changes In Cash,-981977000.0,3439569000.0,-45411000.0,188054000.0
Effect Of Exchange Rate Changes,-727000.0,1167000.0,1297000.0,-20314000.0
Beginning Cash Position,3684474000.0,243738000.0,287852000.0,120112000.0
Interest Paid Supplemental Data,834245000.0,418164000.0,246312000.0,252466000.0
Capital Expenditure,-2229704000.0,-1965131000.0,-3024663000.0,-3660028000.0
Issuance Of Capital Stock,1621860000.0,1431375000.0,,
Issuance Of Debt,4467789000.0,20313005000.0,29766104000.0,13321026000.0
Repayment Of Debt,-2846932000.0,-11682768000.0,-29673355000.0,-10928961000.0
Repurchase Of Capital Stock,0.0,0.0,-99582000.0,-575039000.0
Free Cash Flow,-4107519000.0,-5696784000.0,691703000.0,-180889000.0
