,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3833342000.0,2873579000.0,1852002000.0,610069000.0
Cash Flow From Continuing Operating Activities,3833342000.0,2873579000.0,1852002000.0,610069000.0
Net Income From Continuing Operations,1379083000.0,514151000.0,1009461000.0,103552000.0
Operating Gains Losses,-257943000.0,-267649000.0,-185004000.0,127136000.0
Gain Loss On Investment Securities,-257943000.0,-267649000.0,-185004000.0,127136000.0
Amortization Of Securities,75777000.0,49673000.0,30936000.0,29272000.0
Stock Based Compensation,43406000.0,39209000.0,34018000.0,32369000.0
Change In Working Capital,2381652000.0,2415869000.0,881291000.0,233117000.0
Change In Receivables,-773531000.0,-537876000.0,5426000.0,-904573000.0
Changes In Account Receivables,-773531000.0,-537876000.0,5426000.0,-904573000.0
Change In Prepaid Assets,-278820000.0,-163987000.0,-151929000.0,-225269000.0
Change In Payables And Accrued Expense,185764000.0,-24163000.0,66477000.0,12276000.0
Change In Payable,185764000.0,-24163000.0,66477000.0,12276000.0
Change In Account Payable,185764000.0,-24163000.0,66477000.0,12276000.0
Change In Other Current Assets,-612569000.0,-103772000.0,-108332000.0,-102052000.0
Change In Other Working Capital,-833983000.0,40143000.0,74971000.0,-688024000.0
Dividend Received Cfo,211367000.0,122326000.0,81300000.0,84623000.0
Investing Cash Flow,-3868964000.0,-3683371000.0,-1412492000.0,-279621000.0
Cash Flow From Continuing Investing Activities,-3868964000.0,-3683371000.0,-1412492000.0,-279621000.0
Net Business Purchase And Sale,,,,0.0
Sale Of Business,,,,0.0
Net Investment Purchase And Sale,-3923181000.0,-4187857000.0,-1670887000.0,-3427687000.0
Purchase Of Investment,-10722391000.0,-9101383000.0,-7540305000.0,-10593797000.0
Sale Of Investment,6799210000.0,4913526000.0,5869418000.0,7166110000.0
Dividends Received Cfi,257233000.0,309912000.0,284558000.0,3102018000.0
Net Other Investing Changes,-203016000.0,194574000.0,-26163000.0,46048000.0
Financing Cash Flow,674193000.0,800220000.0,-275687000.0,-316594000.0
Cash Flow From Continuing Financing Activities,674193000.0,800179000.0,-275687000.0,-316594000.0
Net Issuance Payments Of Debt,1177357000.0,1289417000.0,,
Net Long Term Debt Issuance,1177357000.0,1289417000.0,,
Long Term Debt Issuance,1177357000.0,1289417000.0,,
Net Common Stock Issuance,-225136000.0,-200020000.0,-24604000.0,-75304000.0
Common Stock Payments,-225136000.0,-200020000.0,-24604000.0,-75304000.0
Cash Dividends Paid,-246699000.0,-249097000.0,-234322000.0,-216221000.0
Common Stock Dividend Paid,-246699000.0,-249097000.0,-234322000.0,-216221000.0
Proceeds From Stock Option Exercised,-14275000.0,-13566000.0,-3134000.0,-8157000.0
Net Other Financing Charges,-17054000.0,-26514000.0,-13627000.0,-16912000.0
End Cash Position,1440861000.0,801651000.0,808036000.0,656095000.0
Changes In Cash,638571000.0,-9572000.0,163823000.0,13854000.0
Effect Of Exchange Rate Changes,639000.0,3187000.0,-11882000.0,7174000.0
Beginning Cash Position,801651000.0,808036000.0,656095000.0,635067000.0
Income Tax Paid Supplemental Data,98030000.0,169748000.0,,
Interest Paid Supplemental Data,62369000.0,28415000.0,31689000.0,30447000.0
Issuance Of Debt,1177357000.0,1289417000.0,,
Repurchase Of Capital Stock,-225136000.0,-200020000.0,-24604000.0,-75304000.0
Free Cash Flow,3833342000.0,2873579000.0,1852002000.0,610069000.0
