,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,659388000.0,499118000.0,621271000.0,610327000.0
Cash Flow From Continuing Operating Activities,659388000.0,499118000.0,621271000.0,610327000.0
Net Income From Continuing Operations,366288000.0,47317000.0,243258000.0,252325000.0
Operating Gains Losses,-138981000.0,-80648000.0,-73480000.0,-60053000.0
Gain Loss On Investment Securities,-96467000.0,-72984000.0,-29675000.0,-27166000.0
Earnings Losses From Equity Investments,-47086000.0,-34169000.0,-60956000.0,-42974000.0
Pension And Employee Benefit Expense,4572000.0,4668000.0,5169000.0,-1085000.0
Depreciation Amortization Depletion,280395000.0,305360000.0,330416000.0,326358000.0
Depreciation And Amortization,280395000.0,305360000.0,330416000.0,326358000.0
Depreciation,303331000.0,345900000.0,374283000.0,359688000.0
Amortization Cash Flow,-22936000.0,-40540000.0,-43867000.0,-33330000.0
Amortization Of Intangibles,-22936000.0,-40540000.0,-43867000.0,-33330000.0
Deferred Tax,,,0.0,0.0
Deferred Income Tax,,,0.0,0.0
Asset Impairment Charge,84389000.0,150664000.0,54174000.0,38437000.0
Stock Based Compensation,12515000.0,13581000.0,14339000.0,13635000.0
Other Non Cash Items,3531000.0,9023000.0,4300000.0,10476000.0
Change In Working Capital,-20683000.0,6118000.0,-8033000.0,-25117000.0
Change In Receivables,-24869000.0,16944000.0,-4690000.0,-26374000.0
Changes In Account Receivables,,,,-26374000.0
Change In Payables And Accrued Expense,6677000.0,997000.0,4175000.0,-760000.0
Change In Payable,6677000.0,997000.0,4175000.0,-760000.0
Change In Account Payable,6677000.0,997000.0,4175000.0,-760000.0
Change In Other Current Assets,-1226000.0,-1200000.0,-1570000.0,-1410000.0
Change In Other Current Liabilities,5701000.0,-3650000.0,829000.0,11793000.0
Change In Other Working Capital,-6966000.0,-6973000.0,-6777000.0,-8366000.0
Dividend Received Cfo,71934000.0,47703000.0,56297000.0,54266000.0
Investing Cash Flow,-286352000.0,-25641000.0,-282693000.0,-106024000.0
Cash Flow From Continuing Investing Activities,-286352000.0,-25641000.0,-282693000.0,-106024000.0
Net Business Purchase And Sale,-23476000.0,-51440000.0,-66921000.0,-74238000.0
Purchase Of Business,-23476000.0,-51440000.0,-66921000.0,-74238000.0
Net Investment Properties Purchase And Sale,-363489000.0,-8127000.0,-285009000.0,-61035000.0
Purchase Of Investment Properties,-569682000.0,-197671000.0,-422581000.0,-311480000.0
Sale Of Investment Properties,206193000.0,189544000.0,137572000.0,250445000.0
Net Investment Purchase And Sale,-125000.0,-5169000.0,-3919000.0,-1577000.0
Purchase Of Investment,-23971000.0,-25155000.0,-23458000.0,-23164000.0
Sale Of Investment,23846000.0,19986000.0,19539000.0,21587000.0
Dividends Received Cfi,100758000.0,32478000.0,64353000.0,15178000.0
Net Other Investing Changes,-20000.0,6617000.0,8803000.0,15648000.0
Financing Cash Flow,-656459000.0,-210589000.0,-268206000.0,-508494000.0
Cash Flow From Continuing Financing Activities,-656459000.0,-210589000.0,-268206000.0,-508494000.0
Net Issuance Payments Of Debt,-318269000.0,537000.0,183449000.0,113250000.0
Net Long Term Debt Issuance,-53269000.0,220537000.0,408449000.0,28250000.0
Long Term Debt Issuance,0.0,598830000.0,723571000.0,301251000.0
Long Term Debt Payments,-53269000.0,-378293000.0,-315122000.0,-273001000.0
Net Short Term Debt Issuance,-265000000.0,-220000000.0,-225000000.0,85000000.0
Short Term Debt Issuance,0.0,610000000.0,560000000.0,575000000.0
Short Term Debt Payments,-265000000.0,-830000000.0,-785000000.0,-490000000.0
Net Common Stock Issuance,78523000.0,120365000.0,-38973000.0,-220524000.0
Common Stock Issuance,82606000.0,125877000.0,9000.0,99000.0
Common Stock Payments,-4083000.0,-5512000.0,-38982000.0,-220623000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Cash Dividends Paid,-403085000.0,-300537000.0,-390598000.0,-375978000.0
Common Stock Dividend Paid,-403085000.0,-300537000.0,-390598000.0,-375978000.0
Preferred Stock Dividend Paid,,,0.0,0.0
Proceeds From Stock Option Exercised,-4083000.0,-5512000.0,-6204000.0,-6772000.0
Net Other Financing Charges,-13628000.0,-30954000.0,-22084000.0,-25242000.0
End Cash Position,95027000.0,378450000.0,115562000.0,45190000.0
Changes In Cash,-283423000.0,262888000.0,70372000.0,-4191000.0
Beginning Cash Position,378450000.0,115562000.0,45190000.0,49381000.0
Income Tax Paid Supplemental Data,378000.0,1870000.0,1225000.0,5455000.0
Interest Paid Supplemental Data,140084000.0,151338000.0,136139000.0,136645000.0
Issuance Of Capital Stock,82606000.0,125877000.0,9000.0,99000.0
Issuance Of Debt,0.0,1208830000.0,1283571000.0,876251000.0
Repayment Of Debt,-318269000.0,-1208293000.0,-1100122000.0,-763001000.0
Repurchase Of Capital Stock,-4083000.0,-5512000.0,-38982000.0,-220623000.0
Free Cash Flow,659388000.0,499118000.0,621271000.0,610327000.0
