,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3030000000.0,2324000000.0,2581000000.0,2275000000.0
Cash Flow From Continuing Operating Activities,3030000000.0,2324000000.0,2581000000.0,2275000000.0
Net Income From Continuing Operations,2521000000.0,1094000000.0,1582000000.0,1759000000.0
Operating Gains Losses,-256000000.0,-223000000.0,-80000000.0,-355000000.0
Gain Loss On Sale Of Business,,0.0,0.0,-281000000.0
Gain Loss On Investment Securities,-3000000.0,-4000000.0,28000000.0,-1000000.0
Depreciation Amortization Depletion,371000000.0,421000000.0,426000000.0,462000000.0
Depreciation And Amortization,371000000.0,421000000.0,426000000.0,462000000.0
Deferred Tax,165000000.0,-158000000.0,62000000.0,226000000.0
Deferred Income Tax,165000000.0,-158000000.0,62000000.0,226000000.0
Other Non Cash Items,1047000000.0,-666000000.0,-60000000.0,137000000.0
Change In Working Capital,-294000000.0,526000000.0,264000000.0,-183000000.0
Change In Receivables,-231000000.0,-246000000.0,-347000000.0,171000000.0
Changes In Account Receivables,-231000000.0,-246000000.0,-347000000.0,171000000.0
Change In Other Current Assets,13000000.0,313000000.0,158000000.0,116000000.0
Change In Other Current Liabilities,-76000000.0,459000000.0,453000000.0,-470000000.0
Investing Cash Flow,-2865000000.0,-4853000000.0,509000000.0,-3045000000.0
Cash Flow From Continuing Investing Activities,-2865000000.0,-4853000000.0,509000000.0,-3045000000.0
Net Intangibles Purchase And Sale,-72000000.0,-59000000.0,-24000000.0,-71000000.0
Purchase Of Intangibles,-72000000.0,-59000000.0,-24000000.0,-71000000.0
Net Business Purchase And Sale,-1182000000.0,-381000000.0,0.0,357000000.0
Purchase Of Business,-1182000000.0,-381000000.0,,
Sale Of Business,,0.0,0.0,357000000.0
Net Investment Purchase And Sale,-2207000000.0,-3522000000.0,950000000.0,401000000.0
Purchase Of Investment,-8360000000.0,-8956000000.0,-8102000000.0,-3410000000.0
Sale Of Investment,6153000000.0,5434000000.0,9052000000.0,3811000000.0
Net Other Investing Changes,-93000000.0,-135000000.0,-186000000.0,-155000000.0
Financing Cash Flow,11290000000.0,16371000000.0,-2514000000.0,327000000.0
Cash Flow From Continuing Financing Activities,11290000000.0,16371000000.0,-2514000000.0,327000000.0
Net Issuance Payments Of Debt,-1234000000.0,-8270000000.0,-4202000000.0,5399000000.0
Net Long Term Debt Issuance,-1132000000.0,-6220000000.0,-4652000000.0,4299000000.0
Long Term Debt Issuance,647000000.0,4698000000.0,21274000000.0,21750000000.0
Long Term Debt Payments,-1779000000.0,-10918000000.0,-25926000000.0,-17451000000.0
Net Short Term Debt Issuance,-102000000.0,-2050000000.0,450000000.0,1100000000.0
Net Common Stock Issuance,-467000000.0,0.0,-1101000000.0,-2122000000.0
Common Stock Payments,-467000000.0,0.0,-1101000000.0,-2122000000.0
Net Preferred Stock Issuance,-110000000.0,346000000.0,490000000.0,
Preferred Stock Issuance,390000000.0,346000000.0,490000000.0,
Preferred Stock Payments,-500000000.0,,,
Cash Dividends Paid,-716000000.0,-698000000.0,-656000000.0,-516000000.0
Common Stock Dividend Paid,-608000000.0,-595000000.0,-577000000.0,-452000000.0
Preferred Stock Dividend Paid,-108000000.0,-103000000.0,-79000000.0,-64000000.0
Net Other Financing Charges,-19000000.0,-11000000.0,-29000000.0,-36000000.0
End Cash Position,29411000000.0,17956000000.0,4114000000.0,3538000000.0
Changes In Cash,11455000000.0,13842000000.0,576000000.0,-443000000.0
Beginning Cash Position,17956000000.0,4114000000.0,3538000000.0,3981000000.0
Capital Expenditure,-72000000.0,-59000000.0,-24000000.0,-71000000.0
Issuance Of Capital Stock,390000000.0,346000000.0,490000000.0,
Issuance Of Debt,647000000.0,4698000000.0,21274000000.0,21750000000.0
Repayment Of Debt,-1779000000.0,-10918000000.0,-25926000000.0,-17451000000.0
Repurchase Of Capital Stock,-967000000.0,0.0,-1101000000.0,-2122000000.0
Free Cash Flow,2958000000.0,2265000000.0,2557000000.0,2204000000.0
