,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Operating Cash Flow,72000000.0,6625000000.0,4054000000.0,577000000.0
Cash Flow From Continuing Operating Activities,72000000.0,6625000000.0,4054000000.0,577000000.0
Net Income From Continuing Operations,1509000000.0,1403000000.0,818000000.0,1034000000.0
Operating Gains Losses,,98000000.0,,
Depreciation Amortization Depletion,145000000.0,134000000.0,119000000.0,112000000.0
Depreciation And Amortization,145000000.0,134000000.0,119000000.0,112000000.0
Deferred Tax,-16000000.0,-37000000.0,-39000000.0,-23000000.0
Deferred Income Tax,-16000000.0,-37000000.0,-39000000.0,-23000000.0
Amortization Of Securities,,,,14000000.0
Asset Impairment Charge,,0.0,0.0,19000000.0
Stock Based Compensation,192000000.0,132000000.0,120000000.0,112000000.0
Other Non Cash Items,256000000.0,-89000000.0,57000000.0,73000000.0
Change In Working Capital,-2148000000.0,4989000000.0,2665000000.0,-823000000.0
Change In Receivables,-203000000.0,-420000000.0,127000000.0,696000000.0
Changes In Account Receivables,,,127000000.0,696000000.0
Change In Payables And Accrued Expense,-4213000000.0,7284000000.0,2486000000.0,-1231000000.0
Change In Payable,-4213000000.0,7284000000.0,2486000000.0,-1231000000.0
Change In Account Payable,,,2486000000.0,-1231000000.0
Change In Other Current Assets,1974000000.0,-2084000000.0,-13000000.0,-85000000.0
Change In Other Current Liabilities,-76000000.0,416000000.0,70000000.0,80000000.0
Change In Other Working Capital,527000000.0,-88000000.0,99000000.0,-204000000.0
Investing Cash Flow,-7151000000.0,-5140000000.0,-4985000000.0,-1897000000.0
Cash Flow From Continuing Investing Activities,-7151000000.0,-5140000000.0,-4985000000.0,-1897000000.0
Net PPE Purchase And Sale,-91000000.0,-74000000.0,-124000000.0,-138000000.0
Purchase Of PPE,-91000000.0,-74000000.0,-124000000.0,-138000000.0
Net Business Purchase And Sale,1461000000.0,-266000000.0,-5000000.0,-5000000.0
Purchase Of Business,,-266000000.0,-5000000.0,-5000000.0
Sale Of Business,1461000000.0,,,
Net Investment Purchase And Sale,-1281000000.0,-1068000000.0,-4300000000.0,-383000000.0
Purchase Of Investment,-3069000000.0,-4218000000.0,-5710000000.0,-1027000000.0
Sale Of Investment,1788000000.0,3150000000.0,1410000000.0,644000000.0
Net Other Investing Changes,-218000000.0,8000000.0,-54000000.0,-1000000.0
Financing Cash Flow,5879000000.0,5254000000.0,4593000000.0,1373000000.0
Cash Flow From Continuing Financing Activities,5879000000.0,5254000000.0,4593000000.0,1373000000.0
Net Issuance Payments Of Debt,58000000.0,-138000000.0,489000000.0,-5000000.0
Net Long Term Debt Issuance,58000000.0,-138000000.0,489000000.0,-5000000.0
Long Term Debt Issuance,1025000000.0,737000000.0,1344000000.0,1150000000.0
Long Term Debt Payments,-967000000.0,-875000000.0,-855000000.0,-1155000000.0
Net Short Term Debt Issuance,,0.0,0.0,0.0
Short Term Debt Issuance,,0.0,,
Short Term Debt Payments,,0.0,0.0,
Net Common Stock Issuance,-216000000.0,-128000000.0,-272000000.0,-778000000.0
Common Stock Payments,-216000000.0,-128000000.0,-272000000.0,-778000000.0
Cash Dividends Paid,-277000000.0,-218000000.0,-205000000.0,-191000000.0
Common Stock Dividend Paid,,-218000000.0,-205000000.0,-191000000.0
Proceeds From Stock Option Exercised,52000000.0,53000000.0,62000000.0,65000000.0
Net Other Financing Charges,-7000000.0,-9000000.0,-1000000.0,-57000000.0
End Cash Position,14659000000.0,16449000000.0,9634000000.0,5971000000.0
Changes In Cash,-1200000000.0,6739000000.0,3662000000.0,53000000.0
Effect Of Exchange Rate Changes,-590000000.0,76000000.0,1000000.0,-23000000.0
Beginning Cash Position,16449000000.0,9634000000.0,5971000000.0,5941000000.0
Income Tax Paid Supplemental Data,524000000.0,437000000.0,246000000.0,390000000.0
Interest Paid Supplemental Data,323000000.0,145000000.0,164000000.0,283000000.0
Capital Expenditure,-91000000.0,-74000000.0,-124000000.0,-138000000.0
Issuance Of Debt,1025000000.0,737000000.0,1344000000.0,1150000000.0
Repayment Of Debt,-967000000.0,-875000000.0,-855000000.0,-1155000000.0
Repurchase Of Capital Stock,-216000000.0,-128000000.0,-272000000.0,-778000000.0
Free Cash Flow,-19000000.0,6551000000.0,3930000000.0,439000000.0
