,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Operating Cash Flow,823100000.0,1261000000.0,1120500000.0,1182000000.0
Cash Flow From Continuing Operating Activities,823100000.0,1261000000.0,1120500000.0,1182000000.0
Net Income From Continuing Operations,919100000.0,1344300000.0,1023200000.0,695800000.0
Operating Gains Losses,77000000.0,155600000.0,117100000.0,72500000.0
Gain Loss On Sale Of Business,,,,0.0
Gain Loss On Sale Of PPE,600000.0,500000.0,-12400000.0,1800000.0
Gain Loss On Investment Securities,,-28000000.0,22000000.0,368500000.0
Pension And Employee Benefit Expense,76400000.0,155100000.0,129500000.0,70700000.0
Depreciation Amortization Depletion,238900000.0,189800000.0,172700000.0,152200000.0
Depreciation And Amortization,238900000.0,189800000.0,172700000.0,152200000.0
Depreciation,126600000.0,123900000.0,122500000.0,126200000.0
Amortization Cash Flow,112300000.0,65900000.0,50200000.0,26000000.0
Amortization Of Intangibles,112300000.0,65900000.0,50200000.0,26000000.0
Deferred Tax,-33600000.0,-184100000.0,-65700000.0,-29000000.0
Deferred Income Tax,-33600000.0,-184100000.0,-65700000.0,-29000000.0
Unrealized Gain Loss On Investment Securities,136900000.0,-397400000.0,-153900000.0,368500000.0
Stock Based Compensation,68100000.0,51700000.0,46100000.0,43100000.0
Other Non Cash Items,-53600000.0,-63800000.0,-18800000.0,-54500000.0
Change In Working Capital,-529700000.0,164900000.0,-200000.0,-66600000.0
Change In Receivables,-415600000.0,-138100000.0,-9000000.0,-10400000.0
Change In Inventory,-292800000.0,-202800000.0,30400000.0,-4900000.0
Change In Payables And Accrued Expense,172000000.0,184800000.0,-5000000.0,14500000.0
Change In Payable,172000000.0,184800000.0,-5000000.0,14500000.0
Change In Account Payable,172000000.0,184800000.0,-5000000.0,14500000.0
Change In Other Working Capital,6700000.0,321000000.0,-16600000.0,-65800000.0
Investing Cash Flow,-7800000.0,-2626600000.0,-618000000.0,225000000.0
Cash Flow From Continuing Investing Activities,-7800000.0,-2626600000.0,-618000000.0,225000000.0
Capital Expenditure Reported,-141100000.0,-120300000.0,-113900000.0,-132800000.0
Net PPE Purchase And Sale,600000.0,400000.0,14900000.0,4500000.0
Sale Of PPE,600000.0,400000.0,14900000.0,4500000.0
Net Business Purchase And Sale,-16600000.0,-2488500000.0,-550900000.0,-20700000.0
Purchase Of Business,-16600000.0,-2488500000.0,-550900000.0,-20700000.0
Sale Of Business,,,,0.0
Net Investment Purchase And Sale,150400000.0,-13000000.0,33200000.0,374000000.0
Purchase Of Investment,-59800000.0,-13600000.0,-10700000.0,-5100000.0
Sale Of Investment,210200000.0,600000.0,43900000.0,379100000.0
Net Other Investing Changes,-1100000.0,-5200000.0,-1300000.0,
Financing Cash Flow,-934200000.0,1297800000.0,-798900000.0,-985900000.0
Cash Flow From Continuing Financing Activities,-934200000.0,1297800000.0,-798900000.0,-985900000.0
Net Issuance Payments Of Debt,-150400000.0,1970400000.0,-277100000.0,436600000.0
Net Long Term Debt Issuance,0.0,1485600000.0,-300700000.0,987600000.0
Long Term Debt Issuance,0.0,1485600000.0,0.0,987600000.0
Long Term Debt Payments,0.0,0.0,-300700000.0,0.0
Net Short Term Debt Issuance,-150400000.0,484800000.0,23600000.0,-551000000.0
Short Term Debt Issuance,59600000.0,487300000.0,423600000.0,
Short Term Debt Payments,-210000000.0,-2500000.0,-400000000.0,
Net Common Stock Issuance,-301300000.0,-299700000.0,-264200000.0,-1009000000.0
Common Stock Payments,-301300000.0,-299700000.0,-264200000.0,-1009000000.0
Cash Dividends Paid,-519400000.0,-497100000.0,-472800000.0,-459800000.0
Common Stock Dividend Paid,,-497100000.0,-472800000.0,-459800000.0
Proceeds From Stock Option Exercised,57900000.0,154600000.0,214400000.0,47400000.0
Net Other Financing Charges,-21000000.0,-30400000.0,800000.0,-1100000.0
End Cash Position,507900000.0,679400000.0,730400000.0,1018400000.0
Changes In Cash,-118900000.0,-67800000.0,-296400000.0,421100000.0
Effect Of Exchange Rate Changes,-52600000.0,16800000.0,8400000.0,-21500000.0
Beginning Cash Position,679400000.0,730400000.0,1018400000.0,618800000.0
Capital Expenditure,-141100000.0,-120300000.0,-113900000.0,-132800000.0
Issuance Of Debt,59600000.0,1972900000.0,423600000.0,987600000.0
Repayment Of Debt,-210000000.0,-2500000.0,-700700000.0,0.0
Repurchase Of Capital Stock,-301300000.0,-299700000.0,-264200000.0,-1009000000.0
Free Cash Flow,682000000.0,1140700000.0,1006600000.0,1049200000.0
