,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2011900000.0,1525100000.0,1461800000.0,1430100000.0
Cash Flow From Continuing Operating Activities,1866200000.0,1525100000.0,1461800000.0,1430100000.0
Net Income From Continuing Operations,982600000.0,949700000.0,1767900000.0,944400000.0
Operating Gains Losses,-21600000.0,,-687300000.0,15900000.0
Gain Loss On Sale Of Business,,0.0,-687300000.0,
Gain Loss On Sale Of PPE,,,0.0,0.0
Depreciation Amortization Depletion,634100000.0,520800000.0,416000000.0,367000000.0
Depreciation And Amortization,634100000.0,520800000.0,416000000.0,367000000.0
Depreciation,49700000.0,53400000.0,49200000.0,49500000.0
Amortization Cash Flow,584400000.0,467400000.0,366800000.0,317500000.0
Amortization Of Intangibles,584400000.0,467400000.0,366800000.0,317500000.0
Deferred Tax,282900000.0,259600000.0,,
Deferred Income Tax,282900000.0,259600000.0,,
Asset Impairment Charge,99500000.0,,,
Stock Based Compensation,136100000.0,121700000.0,104500000.0,133800000.0
Other Non Cash Items,-24000000.0,-8700000.0,-15100000.0,500000.0
Change In Working Capital,97300000.0,197100000.0,-84800000.0,-31500000.0
Change In Receivables,-119600000.0,14000000.0,-58700000.0,-97500000.0
Changes In Account Receivables,-100200000.0,53300000.0,-46700000.0,-83500000.0
Change In Inventory,-13900000.0,4600000.0,-17300000.0,-21800000.0
Change In Payables And Accrued Expense,66300000.0,121600000.0,-12200000.0,68800000.0
Change In Other Working Capital,164500000.0,56900000.0,3400000.0,19000000.0
Taxes Refund Paid,-320700000.0,-515100000.0,-39400000.0,
Cash From Discontinued Operating Activities,145700000.0,,,
Investing Cash Flow,-142900000.0,-6073900000.0,-1296000000.0,-1335100000.0
Cash Flow From Continuing Investing Activities,-253200000.0,-6073900000.0,-1296000000.0,-1335100000.0
Capital Expenditure Reported,-62600000.0,-48900000.0,-62900000.0,-58600000.0
Net Intangibles Purchase And Sale,,-17700000.0,-10200000.0,-9500000.0
Purchase Of Intangibles,,-17700000.0,-10200000.0,-9500000.0
Net Business Purchase And Sale,-217000000.0,-6022400000.0,-1230500000.0,-1275800000.0
Purchase Of Business,-217000000.0,-6022400000.0,-2387300000.0,-1275800000.0
Sale Of Business,0.0,,1156800000.0,
Net Other Investing Changes,26400000.0,-2600000.0,-2600000.0,-700000.0
Cash From Discontinued Investing Activities,110300000.0,,,
Financing Cash Flow,-1813500000.0,4136900000.0,177000000.0,-388100000.0
Cash Flow From Continuing Financing Activities,-1807100000.0,4136900000.0,177000000.0,-388100000.0
Net Issuance Payments Of Debt,-1650000000.0,4320000000.0,335000000.0,-205000000.0
Net Long Term Debt Issuance,-500000000.0,4320000000.0,335000000.0,-205000000.0
Long Term Debt Issuance,0.0,4920000000.0,1200000000.0,1500000000.0
Long Term Debt Payments,-500000000.0,-600000000.0,-865000000.0,-1705000000.0
Net Short Term Debt Issuance,-1150000000.0,,,
Net Common Stock Issuance,15100000.0,10500000.0,6800000.0,5400000.0
Common Stock Issuance,15100000.0,10500000.0,6800000.0,5400000.0
Cash Dividends Paid,-236400000.0,-214100000.0,-191700000.0,-170100000.0
Common Stock Dividend Paid,-236400000.0,-214100000.0,-191700000.0,-170100000.0
Proceeds From Stock Option Exercised,64300000.0,64400000.0,34900000.0,10600000.0
Net Other Financing Charges,-100000.0,-43900000.0,-8000000.0,-29000000.0
Cash From Discontinued Financing Activities,-6400000.0,,,
End Cash Position,351500000.0,308300000.0,709700000.0,364400000.0
Changes In Cash,55500000.0,-411900000.0,342800000.0,-293100000.0
Effect Of Exchange Rate Changes,-12300000.0,10500000.0,2500000.0,-13800000.0
Beginning Cash Position,308300000.0,709700000.0,364400000.0,671300000.0
Income Tax Paid Supplemental Data,,515100000.0,370900000.0,321600000.0
Interest Paid Supplemental Data,222200000.0,198100000.0,171700000.0,169000000.0
Capital Expenditure,-62600000.0,-48900000.0,-62900000.0,-58600000.0
Issuance Of Capital Stock,15100000.0,10500000.0,6800000.0,5400000.0
Issuance Of Debt,0.0,4920000000.0,1200000000.0,1500000000.0
Repayment Of Debt,-500000000.0,-600000000.0,-865000000.0,-1705000000.0
Free Cash Flow,1949300000.0,1476200000.0,1398900000.0,1371500000.0
