,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Operating Cash Flow,1738849000.0,2245933000.0,2171546000.0,2066677000.0
Cash Flow From Continuing Operating Activities,1738849000.0,2245933000.0,2171546000.0,2066677000.0
Net Income From Continuing Operations,1722589000.0,85382000.0,1660928000.0,1587457000.0
Operating Gains Losses,,239953000.0,,
Depreciation Amortization Depletion,360664000.0,364245000.0,350892000.0,330357000.0
Depreciation And Amortization,360664000.0,364245000.0,350892000.0,330357000.0
Deferred Tax,15775000.0,-27812000.0,32009000.0,31777000.0
Deferred Income Tax,15775000.0,-27812000.0,32009000.0,31777000.0
Stock Based Compensation,134217000.0,101568000.0,95438000.0,95585000.0
Change In Working Capital,-494396000.0,1482597000.0,32279000.0,21501000.0
Change In Inventory,-753291000.0,323357000.0,-81897000.0,-108707000.0
Change In Payables And Accrued Expense,90732000.0,978643000.0,78914000.0,110483000.0
Change In Payable,90732000.0,978643000.0,78914000.0,110483000.0
Change In Tax Payable,-44579000.0,39806000.0,-35239000.0,
Change In Income Tax Payable,-44579000.0,39806000.0,-35239000.0,
Change In Account Payable,135311000.0,938837000.0,114153000.0,110483000.0
Change In Other Current Assets,1420000.0,-39406000.0,-10315000.0,-22044000.0
Change In Other Current Liabilities,198595000.0,171444000.0,30513000.0,74829000.0
Change In Other Working Capital,-31852000.0,48559000.0,15064000.0,-33060000.0
Investing Cash Flow,-557840000.0,-405433000.0,-554966000.0,-410409000.0
Cash Flow From Continuing Investing Activities,-557840000.0,-405433000.0,-554966000.0,-410409000.0
Net PPE Purchase And Sale,-557840000.0,-405433000.0,-555483000.0,-413898000.0
Purchase Of PPE,-557840000.0,-405433000.0,-555483000.0,-413898000.0
Sale Of PPE,,,,0.0
Net Investment Purchase And Sale,0.0,0.0,517000.0,3489000.0
Sale Of Investment,0.0,0.0,517000.0,3489000.0
Financing Cash Flow,-1152396000.0,1701859000.0,-1683249000.0,-1531461000.0
Cash Flow From Continuing Financing Activities,-1152396000.0,1701859000.0,-1683249000.0,-1531461000.0
Net Issuance Payments Of Debt,-65000000.0,2190106000.0,,-85000000.0
Net Long Term Debt Issuance,-65000000.0,2190106000.0,,-85000000.0
Long Term Debt Issuance,0.0,2965115000.0,,
Long Term Debt Payments,-65000000.0,-775009000.0,,-85000000.0
Net Short Term Debt Issuance,0.0,0.0,,
Short Term Debt Issuance,0.0,805601000.0,,
Short Term Debt Payments,0.0,-805601000.0,,
Net Common Stock Issuance,-707342000.0,-177689000.0,-1335665000.0,-1129384000.0
Common Stock Payments,-707342000.0,-177689000.0,-1335665000.0,-1129384000.0
Cash Dividends Paid,-405123000.0,-101404000.0,-369793000.0,-337189000.0
Common Stock Dividend Paid,-405123000.0,-101404000.0,-369793000.0,-337189000.0
Proceeds From Stock Option Exercised,25069000.0,23534000.0,22209000.0,20112000.0
Net Other Financing Charges,,-232688000.0,,
End Cash Position,4982382000.0,4953769000.0,1411410000.0,1478079000.0
Changes In Cash,28613000.0,3542359000.0,-66669000.0,124807000.0
Beginning Cash Position,4953769000.0,1411410000.0,1478079000.0,1353272000.0
Income Tax Paid Supplemental Data,564755000.0,8921000.0,506591000.0,427930000.0
Interest Paid Supplemental Data,84331000.0,72471000.0,12682000.0,18105000.0
Capital Expenditure,-557840000.0,-405433000.0,-555483000.0,-413898000.0
Issuance Of Debt,0.0,3770716000.0,,
Repayment Of Debt,-65000000.0,-1580610000.0,,-85000000.0
Repurchase Of Capital Stock,-707342000.0,-177689000.0,-1335665000.0,-1129384000.0
Free Cash Flow,1181009000.0,1840500000.0,1616063000.0,1652779000.0
