,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,879642000.0,904363000.0,778424000.0,651563000.0
Cash Flow From Continuing Operating Activities,879642000.0,904363000.0,778424000.0,651563000.0
Net Income From Continuing Operations,918441000.0,528359000.0,588926000.0,505342000.0
Operating Gains Losses,-19170000.0,-16257000.0,-11870000.0,-7711000.0
Gain Loss On Investment Securities,-19170000.0,-16257000.0,-11870000.0,-7727000.0
Depreciation Amortization Depletion,21005000.0,20684000.0,20147000.0,14007000.0
Depreciation And Amortization,21005000.0,20684000.0,20147000.0,14007000.0
Deferred Tax,24412000.0,-117128000.0,691000.0,1379000.0
Deferred Income Tax,24412000.0,-117128000.0,691000.0,1379000.0
Amortization Of Securities,,,110862000.0,117952000.0
Stock Based Compensation,49589000.0,54994000.0,55358000.0,52566000.0
Other Non Cash Items,-600155000.0,6251000.0,110411000.0,-202318000.0
Change In Working Capital,107505000.0,16816000.0,-118737000.0,7822000.0
Change In Receivables,-29026000.0,-130274000.0,-5698000.0,-24759000.0
Changes In Account Receivables,,,,-24759000.0
Change In Payables And Accrued Expense,222954000.0,217935000.0,202129000.0,147669000.0
Change In Accrued Expense,222954000.0,217935000.0,202129000.0,147669000.0
Change In Other Current Assets,-86423000.0,-70845000.0,-315168000.0,-115088000.0
Investing Cash Flow,-27121197000.0,-11878559000.0,-2634356000.0,-4289134000.0
Cash Flow From Continuing Investing Activities,-27121197000.0,-11878559000.0,-2634356000.0,-4289134000.0
Net PPE Purchase And Sale,-32196000.0,-35042000.0,-32937000.0,-11487000.0
Purchase Of PPE,-32196000.0,-35042000.0,-32937000.0,-11487000.0
Net Investment Purchase And Sale,-10876290000.0,-2124022000.0,50512000.0,-297913000.0
Purchase Of Investment,-15782323000.0,-5432732000.0,-1632935000.0,-1571835000.0
Sale Of Investment,4906033000.0,3308710000.0,1683447000.0,1273922000.0
Net Other Investing Changes,4981000.0,59661000.0,33538000.0,-36957000.0
Financing Cash Flow,43513895000.0,22532698000.0,2328509000.0,3619360000.0
Cash Flow From Continuing Financing Activities,43513895000.0,22532698000.0,2328509000.0,3619360000.0
Net Issuance Payments Of Debt,-460000000.0,-927898000.0,-1297856000.0,805000000.0
Net Long Term Debt Issuance,-460000000.0,-927898000.0,-1297856000.0,805000000.0
Long Term Debt Issuance,1750000000.0,2492102000.0,3147144000.0,4415000000.0
Long Term Debt Payments,-2210000000.0,-3420000000.0,-4445000000.0,-3610000000.0
Net Common Stock Issuance,1363289000.0,-50008000.0,-237333000.0,-41808000.0
Net Preferred Stock Issuance,0.0,708018000.0,,
Preferred Stock Issuance,0.0,708018000.0,,
Cash Dividends Paid,-168170000.0,-120078000.0,-122777000.0,-62005000.0
Common Stock Dividend Paid,-130283000.0,-120078000.0,-122777000.0,-62005000.0
Preferred Stock Dividend Paid,-37887000.0,,,
Net Other Financing Charges,-38695000.0,-9452000.0,-17959000.0,-20773000.0
End Cash Position,29620671000.0,12348331000.0,789832000.0,317255000.0
Changes In Cash,17272340000.0,11558502000.0,472577000.0,-18211000.0
Beginning Cash Position,12348331000.0,789832000.0,317255000.0,335466000.0
Income Tax Paid Supplemental Data,353348000.0,237668000.0,206965000.0,107527000.0
Interest Paid Supplemental Data,324761000.0,425604000.0,601534000.0,402717000.0
Capital Expenditure,-32196000.0,-35042000.0,-32937000.0,-11487000.0
Issuance Of Capital Stock,0.0,708018000.0,,
Issuance Of Debt,1750000000.0,2492102000.0,3147144000.0,4415000000.0
Repayment Of Debt,-2210000000.0,-3420000000.0,-4445000000.0,-3610000000.0
Free Cash Flow,847446000.0,869321000.0,745487000.0,640076000.0
