,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1812000000.0,1445487000.0,1164129000.0,933562000.0
Cash Flow From Continuing Operating Activities,1812000000.0,1445487000.0,1164129000.0,933562000.0
Net Income From Continuing Operations,2073000000.0,1294294000.0,1184717000.0,1011348000.0
Operating Gains Losses,-791000000.0,-471112000.0,-150936000.0,-123554000.0
Gain Loss On Investment Securities,-761000000.0,-420752000.0,-134670000.0,-88094000.0
Depreciation Amortization Depletion,151000000.0,100840000.0,82717000.0,57906000.0
Depreciation And Amortization,151000000.0,100840000.0,82717000.0,57906000.0
Deferred Tax,-8000000.0,6911000.0,-3072000.0,-21061000.0
Deferred Income Tax,-8000000.0,6911000.0,-3072000.0,-21061000.0
Amortization Of Securities,,,15513000.0,-28000.0
Asset Impairment Charge,39000000.0,30170000.0,5219000.0,7278000.0
Stock Based Compensation,136000000.0,83986000.0,66815000.0,45675000.0
Excess Tax Benefit From Stock Based Compensation,-40000000.0,-5857000.0,-9588000.0,-17989000.0
Other Non Cash Items,,227500000.0,8959000.0,
Change In Working Capital,-254000000.0,-27545000.0,-82333000.0,-57821000.0
Change In Other Current Liabilities,,190983000.0,-15253000.0,56874000.0
Change In Other Working Capital,-254000000.0,-27545000.0,-82333000.0,-57821000.0
Dividend Received Cfo,201000000.0,85587000.0,95131000.0,72015000.0
Investing Cash Flow,-90336000000.0,-31205721000.0,-9371882000.0,-4800375000.0
Cash Flow From Continuing Investing Activities,-90336000000.0,-31205721000.0,-9371882000.0,-4800375000.0
Net PPE Purchase And Sale,-113000000.0,-87407000.0,-65479000.0,-45865000.0
Purchase Of PPE,-113000000.0,-87407000.0,-65479000.0,-45865000.0
Net Business Purchase And Sale,1081000000.0,-26700000.0,-102328000.0,0.0
Purchase Of Business,,-26700000.0,-102328000.0,
Sale Of Business,1081000000.0,,0.0,0.0
Net Investment Purchase And Sale,-77578000000.0,-19165178000.0,-4430300000.0,420899000.0
Purchase Of Investment,-98031000000.0,-30187454000.0,-10500783000.0,-5476433000.0
Sale Of Investment,20453000000.0,11022276000.0,6070483000.0,5897332000.0
Financing Cash Flow,85468000000.0,40653214000.0,11417997000.0,4515277000.0
Cash Flow From Continuing Financing Activities,85468000000.0,40653214000.0,11417997000.0,4515277000.0
Net Issuance Payments Of Debt,1693000000.0,498147000.0,-972377000.0,-402318000.0
Net Long Term Debt Issuance,1636000000.0,495024000.0,-358395000.0,0.0
Long Term Debt Issuance,1636000000.0,495024000.0,,
Long Term Debt Payments,0.0,0.0,-358395000.0,0.0
Net Short Term Debt Issuance,57000000.0,3123000.0,-613982000.0,-402318000.0
Net Common Stock Issuance,2374000000.0,-28874000.0,-327693000.0,-128736000.0
Common Stock Issuance,2374000000.0,31146000.0,24818000.0,18387000.0
Common Stock Payments,0.0,-60020000.0,-352511000.0,-147123000.0
Net Preferred Stock Issuance,3306000000.0,0.0,340138000.0,
Preferred Stock Issuance,3306000000.0,0.0,340138000.0,
Cash Dividends Paid,-63000000.0,-17151000.0,,
Preferred Stock Dividend Paid,-63000000.0,-17151000.0,,
Net Other Financing Charges,-80000000.0,-22908000.0,-50978000.0,-28494000.0
End Cash Position,14619000000.0,17674763000.0,6781783000.0,3571539000.0
Changes In Cash,-3056000000.0,10892980000.0,3210244000.0,648464000.0
Beginning Cash Position,17675000000.0,6781783000.0,3571539000.0,2923075000.0
Income Tax Paid Supplemental Data,739000000.0,299175000.0,422346000.0,376425000.0
Interest Paid Supplemental Data,93000000.0,83746000.0,217961000.0,75601000.0
Capital Expenditure,-113000000.0,-87407000.0,-65479000.0,-45865000.0
Issuance Of Capital Stock,5680000000.0,31146000.0,364956000.0,18387000.0
Issuance Of Debt,1636000000.0,495024000.0,,
Repayment Of Debt,0.0,0.0,-358395000.0,0.0
Repurchase Of Capital Stock,0.0,-60020000.0,-352511000.0,-147123000.0
Free Cash Flow,1699000000.0,1358080000.0,1098650000.0,887697000.0
