,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,4651000000.0,2944000000.0,5431000000.0,5713000000.0
Cash Flow From Continuing Operating Activities,4651000000.0,2944000000.0,5431000000.0,5713000000.0
Net Income From Continuing Operations,1928000000.0,-10486000000.0,-10107000000.0,2177000000.0
Operating Gains Losses,10000000.0,-44000000.0,-266000000.0,-316000000.0
Gain Loss On Sale Of Business,,,-247000000.0,-215000000.0
Earnings Losses From Equity Investments,10000000.0,-28000000.0,6000000.0,-48000000.0
Pension And Employee Benefit Expense,,-16000000.0,-25000000.0,-53000000.0
Depreciation Amortization Depletion,2120000000.0,2566000000.0,3589000000.0,3556000000.0
Depreciation And Amortization,2120000000.0,2566000000.0,3589000000.0,3556000000.0
Deferred Tax,-31000000.0,-1248000000.0,-1011000000.0,
Deferred Income Tax,-31000000.0,-1248000000.0,-1011000000.0,
Asset Impairment Charge,-65000000.0,12515000000.0,13148000000.0,356000000.0
Stock Based Compensation,324000000.0,397000000.0,405000000.0,345000000.0
Other Non Cash Items,-39000000.0,83000000.0,,
Change In Working Capital,404000000.0,-839000000.0,-327000000.0,-405000000.0
Change In Receivables,-36000000.0,2345000000.0,142000000.0,430000000.0
Change In Inventory,75000000.0,86000000.0,-314000000.0,-10000000.0
Change In Payables And Accrued Expense,6000000.0,-3531000000.0,-155000000.0,-983000000.0
Change In Payable,6000000.0,-3531000000.0,-155000000.0,-983000000.0
Change In Tax Payable,-154000000.0,-201000000.0,6000000.0,-159000000.0
Change In Income Tax Payable,-154000000.0,-201000000.0,6000000.0,-159000000.0
Change In Account Payable,160000000.0,-3330000000.0,-161000000.0,-824000000.0
Change In Other Current Assets,385000000.0,242000000.0,-46000000.0,63000000.0
Change In Other Current Liabilities,-26000000.0,19000000.0,-52000000.0,69000000.0
Change In Other Working Capital,,-6000000.0,98000000.0,26000000.0
Investing Cash Flow,-919000000.0,-2353000000.0,-2011000000.0,-1040000000.0
Cash Flow From Continuing Investing Activities,-919000000.0,-2353000000.0,-2011000000.0,-1040000000.0
Capital Expenditure Reported,-1180000000.0,-1217000000.0,-1955000000.0,-2260000000.0
Net Business Purchase And Sale,6000000.0,401000000.0,563000000.0,287000000.0
Purchase Of Business,-103000000.0,-33000000.0,-23000000.0,-292000000.0
Sale Of Business,109000000.0,434000000.0,586000000.0,579000000.0
Net Investment Purchase And Sale,313000000.0,-1444000000.0,-464000000.0,962000000.0
Purchase Of Investment,-474000000.0,-1444000000.0,-781000000.0,-981000000.0
Sale Of Investment,787000000.0,,317000000.0,1943000000.0
Net Other Investing Changes,-58000000.0,-93000000.0,-155000000.0,-29000000.0
Financing Cash Flow,-2824000000.0,-873000000.0,-3718000000.0,-5020000000.0
Cash Flow From Continuing Financing Activities,-2824000000.0,-873000000.0,-3718000000.0,-5020000000.0
Net Issuance Payments Of Debt,-2147000000.0,830000000.0,-839000000.0,-2048000000.0
Net Long Term Debt Issuance,-2042000000.0,674000000.0,-795000000.0,-1963000000.0
Long Term Debt Issuance,34000000.0,5837000000.0,4004000000.0,898000000.0
Long Term Debt Payments,-2076000000.0,-5163000000.0,-4799000000.0,-2861000000.0
Net Short Term Debt Issuance,-105000000.0,156000000.0,-44000000.0,-85000000.0
Net Common Stock Issuance,0.0,-26000000.0,-278000000.0,-400000000.0
Common Stock Payments,0.0,-26000000.0,-278000000.0,-400000000.0
Cash Dividends Paid,-699000000.0,-1734000000.0,-2769000000.0,-2770000000.0
Common Stock Dividend Paid,-699000000.0,-1734000000.0,-2769000000.0,-2770000000.0
Proceeds From Stock Option Exercised,137000000.0,146000000.0,219000000.0,261000000.0
Net Other Financing Charges,-115000000.0,-89000000.0,-51000000.0,-63000000.0
End Cash Position,1757000000.0,844000000.0,1137000000.0,1433000000.0
Changes In Cash,908000000.0,-282000000.0,-298000000.0,-347000000.0
Effect Of Exchange Rate Changes,5000000.0,-11000000.0,2000000.0,-19000000.0
Beginning Cash Position,844000000.0,1137000000.0,1433000000.0,1799000000.0
Income Tax Paid Supplemental Data,,582000000.0,,628000000.0
Interest Paid Supplemental Data,,598000000.0,,592000000.0
Capital Expenditure,-1180000000.0,-1217000000.0,-1955000000.0,-2260000000.0
Issuance Of Debt,34000000.0,5837000000.0,4004000000.0,898000000.0
Repayment Of Debt,-2076000000.0,-5163000000.0,-4799000000.0,-2861000000.0
Repurchase Of Capital Stock,0.0,-26000000.0,-278000000.0,-400000000.0
Free Cash Flow,3471000000.0,1727000000.0,3476000000.0,3453000000.0
