,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,-6710000000.0,3532000000.0,5690000000.0,10457000000.0
Cash Flow From Continuing Operating Activities,-6710000000.0,3532000000.0,5690000000.0,10457000000.0
Net Income From Continuing Operations,2693000000.0,2420000000.0,2242000000.0,2599000000.0
Operating Gains Losses,-57000000.0,-4000000.0,1000000.0,-6000000.0
Gain Loss On Investment Securities,-57000000.0,-4000000.0,1000000.0,-6000000.0
Depreciation Amortization Depletion,1557000000.0,1510000000.0,1337000000.0,1203000000.0
Depreciation And Amortization,1557000000.0,1510000000.0,1337000000.0,1203000000.0
Depreciation,1312000000.0,1276000000.0,1101000000.0,977000000.0
Amortization Cash Flow,245000000.0,234000000.0,236000000.0,226000000.0
Amortization Of Intangibles,245000000.0,234000000.0,236000000.0,226000000.0
Deferred Tax,-162000000.0,-194000000.0,-130000000.0,-145000000.0
Deferred Income Tax,-162000000.0,-194000000.0,-130000000.0,-145000000.0
Other Non Cash Items,401000000.0,361000000.0,420000000.0,400000000.0
Change In Working Capital,-11109000000.0,-649000000.0,1820000000.0,6406000000.0
Change In Receivables,-173000000.0,127000000.0,-28000000.0,26000000.0
Change In Payables And Accrued Expense,-574000000.0,-170000000.0,294000000.0,397000000.0
Change In Accrued Expense,-574000000.0,-170000000.0,294000000.0,397000000.0
Change In Other Current Assets,691000000.0,-1406000000.0,-713000000.0,260000000.0
Change In Other Working Capital,-11053000000.0,800000000.0,2267000000.0,5723000000.0
Investing Cash Flow,-2172000000.0,-65534000000.0,-2626000000.0,-4496000000.0
Cash Flow From Continuing Investing Activities,-2172000000.0,-65534000000.0,-2626000000.0,-4496000000.0
Net PPE Purchase And Sale,-811000000.0,-560000000.0,-730000000.0,-609000000.0
Purchase Of PPE,-811000000.0,-560000000.0,-730000000.0,-609000000.0
Net Business Purchase And Sale,-333000000.0,0.0,-54000000.0,-2595000000.0
Purchase Of Business,-346000000.0,0.0,-54000000.0,-2595000000.0
Sale Of Business,13000000.0,,,
Net Investment Purchase And Sale,-7358000000.0,-15080000000.0,-9310000000.0,8344000000.0
Purchase Of Investment,-62549000000.0,-82532000000.0,-45749000000.0,-38679000000.0
Sale Of Investment,55191000000.0,67452000000.0,36439000000.0,47023000000.0
Net Other Investing Changes,241000000.0,1335000000.0,720000000.0,76000000.0
Financing Cash Flow,9046000000.0,62167000000.0,-2974000000.0,-4471000000.0
Cash Flow From Continuing Financing Activities,9046000000.0,62167000000.0,-2974000000.0,-4471000000.0
Net Issuance Payments Of Debt,-3959000000.0,3913000000.0,-1140000000.0,-278000000.0
Net Long Term Debt Issuance,-100000000.0,765000000.0,1093000000.0,-466000000.0
Long Term Debt Issuance,1343000000.0,2489000000.0,1495000000.0,995000000.0
Long Term Debt Payments,-1443000000.0,-1724000000.0,-402000000.0,-1461000000.0
Net Short Term Debt Issuance,-3859000000.0,3148000000.0,-2233000000.0,188000000.0
Short Term Debt Issuance,,3302000000.0,,
Short Term Debt Payments,-3859000000.0,-154000000.0,,
Net Common Stock Issuance,961000000.0,-593000000.0,-1666000000.0,676000000.0
Common Stock Issuance,1900000000.0,0.0,0.0,1150000000.0
Common Stock Payments,-939000000.0,-593000000.0,-1666000000.0,-474000000.0
Net Preferred Stock Issuance,-500000000.0,-500000000.0,-750000000.0,495000000.0
Preferred Stock Issuance,,0.0,0.0,495000000.0
Preferred Stock Payments,-500000000.0,-500000000.0,-750000000.0,
Cash Dividends Paid,-866000000.0,-889000000.0,-930000000.0,-828000000.0
Common Stock Dividend Paid,,-889000000.0,-930000000.0,-828000000.0
End Cash Position,3631000000.0,3467000000.0,3302000000.0,3597000000.0
Changes In Cash,164000000.0,165000000.0,90000000.0,1490000000.0
Beginning Cash Position,3467000000.0,3302000000.0,3212000000.0,2107000000.0
Income Tax Paid Supplemental Data,559000000.0,403000000.0,510000000.0,549000000.0
Interest Paid Supplemental Data,37000000.0,375000000.0,1382000000.0,981000000.0
Capital Expenditure,-811000000.0,-560000000.0,-730000000.0,-609000000.0
Issuance Of Capital Stock,1900000000.0,0.0,0.0,1645000000.0
Issuance Of Debt,1343000000.0,5791000000.0,1495000000.0,995000000.0
Repayment Of Debt,-5302000000.0,-1878000000.0,-402000000.0,-1461000000.0
Repurchase Of Capital Stock,-1439000000.0,-1093000000.0,-2416000000.0,-474000000.0
Free Cash Flow,-7521000000.0,2972000000.0,4960000000.0,9848000000.0
