,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Operating Cash Flow,1424600000.0,1772000000.0,1204500000.0,1367400000.0
Cash Flow From Continuing Operating Activities,1424600000.0,1772000000.0,1204500000.0,1367400000.0
Net Income From Continuing Operations,1275200000.0,1498300000.0,814800000.0,853600000.0
Depreciation Amortization Depletion,690100000.0,436700000.0,364300000.0,371600000.0
Depreciation And Amortization,690100000.0,436700000.0,364300000.0,371600000.0
Depreciation,394400000.0,332200000.0,318300000.0,314900000.0
Amortization Cash Flow,295700000.0,104500000.0,46000000.0,56700000.0
Amortization Of Intangibles,295700000.0,104500000.0,46000000.0,56700000.0
Deferred Tax,68400000.0,-59500000.0,-13400000.0,-6100000.0
Deferred Income Tax,68400000.0,-59500000.0,-13400000.0,-6100000.0
Asset Impairment Charge,20700000.0,7100000.0,11800000.0,
Stock Based Compensation,195200000.0,191900000.0,156600000.0,80100000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,2500000.0,1300000.0,3800000.0,13700000.0
Change In Working Capital,-827500000.0,-303800000.0,-133400000.0,54500000.0
Change In Receivables,-337800000.0,-397700000.0,71700000.0,190500000.0
Change In Inventory,-337300000.0,-41200000.0,-190400000.0,-119600000.0
Change In Payables And Accrued Expense,31300000.0,59600000.0,61100000.0,-33000000.0
Change In Payable,31300000.0,59600000.0,61100000.0,-33000000.0
Change In Account Payable,31300000.0,59600000.0,61100000.0,-33000000.0
Change In Other Current Assets,,,,-16700000.0
Change In Other Current Liabilities,,,,33300000.0
Change In Other Working Capital,-183700000.0,75500000.0,-75800000.0,
Investing Cash Flow,-378900000.0,-3133200000.0,-581400000.0,-336900000.0
Cash Flow From Continuing Investing Activities,-378900000.0,-3133200000.0,-581400000.0,-336900000.0
Capital Expenditure Reported,-489400000.0,-637800000.0,-389400000.0,-398400000.0
Net PPE Purchase And Sale,7700000.0,,,
Sale Of PPE,7700000.0,,,
Net Intangibles Purchase And Sale,-20300000.0,-14300000.0,-9100000.0,-25000000.0
Purchase Of Intangibles,-20300000.0,-14300000.0,-9100000.0,-25000000.0
Net Business Purchase And Sale,0.0,-2751000000.0,0.0,0.0
Purchase Of Business,0.0,-2751000000.0,0.0,0.0
Net Investment Purchase And Sale,123100000.0,269900000.0,-182900000.0,86500000.0
Purchase Of Investment,-97200000.0,-500800000.0,-790500000.0,-360500000.0
Sale Of Investment,220300000.0,770700000.0,607600000.0,447000000.0
Financing Cash Flow,-1362600000.0,1677400000.0,-907700000.0,-912500000.0
Cash Flow From Continuing Financing Activities,-1362600000.0,1677400000.0,-907700000.0,-912500000.0
Net Issuance Payments Of Debt,-50000000.0,2238200000.0,,
Net Long Term Debt Issuance,-50000000.0,2238200000.0,,
Long Term Debt Issuance,0.0,2488200000.0,,
Long Term Debt Payments,-50000000.0,-250000000.0,,
Net Common Stock Issuance,-975300000.0,-250800000.0,-680600000.0,-680400000.0
Common Stock Payments,-975300000.0,-250800000.0,-680600000.0,-680400000.0
Cash Dividends Paid,-373100000.0,-340600000.0,-307000000.0,-273900000.0
Common Stock Dividend Paid,-373100000.0,-340600000.0,-307000000.0,-273900000.0
Proceeds From Stock Option Exercised,35800000.0,36400000.0,79900000.0,41800000.0
Net Other Financing Charges,,-5800000.0,,
End Cash Position,566000000.0,882900000.0,566700000.0,851300000.0
Changes In Cash,-316900000.0,316200000.0,-284600000.0,118000000.0
Beginning Cash Position,882900000.0,566700000.0,851300000.0,733300000.0
Income Tax Paid Supplemental Data,230000000.0,184000000.0,110800000.0,124400000.0
Interest Paid Supplemental Data,44400000.0,2200000.0,,
Capital Expenditure,-509700000.0,-652100000.0,-398500000.0,-423400000.0
Issuance Of Debt,0.0,2488200000.0,,
Repayment Of Debt,-50000000.0,-250000000.0,,
Repurchase Of Capital Stock,-975300000.0,-250800000.0,-680600000.0,-680400000.0
Free Cash Flow,914900000.0,1119900000.0,806000000.0,944000000.0
