,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3263000000.0,3277000000.0,2191000000.0,2610000000.0
Cash Flow From Continuing Operating Activities,3263000000.0,3277000000.0,2191000000.0,2610000000.0
Net Income From Continuing Operations,1994000000.0,1599000000.0,2083000000.0,3553000000.0
Operating Gains Losses,,48000000.0,67000000.0,16000000.0
Depreciation Amortization Depletion,990000000.0,812000000.0,778000000.0,723000000.0
Depreciation And Amortization,990000000.0,812000000.0,778000000.0,723000000.0
Depreciation,371000000.0,340000000.0,314000000.0,306000000.0
Amortization Cash Flow,619000000.0,472000000.0,464000000.0,417000000.0
Amortization Of Intangibles,619000000.0,472000000.0,464000000.0,417000000.0
Deferred Tax,-237000000.0,48000000.0,126000000.0,-1582000000.0
Deferred Income Tax,-237000000.0,48000000.0,126000000.0,-1582000000.0
Asset Impairment Charge,264000000.0,215000000.0,,
Stock Based Compensation,171000000.0,142000000.0,127000000.0,119000000.0
Other Non Cash Items,148000000.0,48000000.0,82000000.0,-51000000.0
Change In Working Capital,-67000000.0,413000000.0,-1005000000.0,-152000000.0
Change In Receivables,-377000000.0,354000000.0,-563000000.0,-60000000.0
Changes In Account Receivables,-377000000.0,354000000.0,-563000000.0,-60000000.0
Change In Inventory,-189000000.0,27000000.0,-400000000.0,-385000000.0
Change In Payables And Accrued Expense,546000000.0,30000000.0,71000000.0,249000000.0
Change In Payable,231000000.0,84000000.0,-42000000.0,-40000000.0
Change In Tax Payable,-98000000.0,-16000000.0,-105000000.0,-156000000.0
Change In Income Tax Payable,-98000000.0,-16000000.0,-105000000.0,-156000000.0
Change In Account Payable,329000000.0,100000000.0,63000000.0,116000000.0
Change In Accrued Expense,315000000.0,-54000000.0,113000000.0,289000000.0
Change In Other Working Capital,-47000000.0,2000000.0,-113000000.0,44000000.0
Investing Cash Flow,-859000000.0,-4701000000.0,-1455000000.0,-2857000000.0
Cash Flow From Continuing Investing Activities,-859000000.0,-4701000000.0,-1455000000.0,-2857000000.0
Net PPE Purchase And Sale,-525000000.0,-487000000.0,-649000000.0,-572000000.0
Purchase Of PPE,-525000000.0,-487000000.0,-649000000.0,-572000000.0
Net Business Purchase And Sale,-339000000.0,-4222000000.0,-802000000.0,-2451000000.0
Purchase Of Business,-339000000.0,-4222000000.0,-802000000.0,-2451000000.0
Net Investment Purchase And Sale,6000000.0,7000000.0,-5000000.0,168000000.0
Purchase Of Investment,-49000000.0,-54000000.0,-74000000.0,-226000000.0
Sale Of Investment,55000000.0,61000000.0,69000000.0,394000000.0
Net Other Investing Changes,-1000000.0,1000000.0,1000000.0,-2000000.0
Financing Cash Flow,-2365000000.0,-11000000.0,3000000.0,1329000000.0
Cash Flow From Continuing Financing Activities,-2365000000.0,-11000000.0,3000000.0,1329000000.0
Net Issuance Payments Of Debt,-1153000000.0,989000000.0,1293000000.0,2456000000.0
Net Long Term Debt Issuance,-1146000000.0,995000000.0,1300000000.0,2457000000.0
Long Term Debt Issuance,5000000.0,3292000000.0,2642000000.0,3126000000.0
Long Term Debt Payments,-1151000000.0,-2297000000.0,-1342000000.0,-669000000.0
Net Short Term Debt Issuance,-7000000.0,-6000000.0,-7000000.0,-1000000.0
Net Common Stock Issuance,0.0,0.0,-307000000.0,-300000000.0
Common Stock Payments,0.0,0.0,-307000000.0,-300000000.0
Cash Dividends Paid,-950000000.0,-863000000.0,-778000000.0,-703000000.0
Common Stock Dividend Paid,-950000000.0,-863000000.0,-778000000.0,-703000000.0
Net Other Financing Charges,-262000000.0,-137000000.0,-205000000.0,-124000000.0
End Cash Position,2944000000.0,2943000000.0,4337000000.0,3616000000.0
Changes In Cash,39000000.0,-1435000000.0,739000000.0,1082000000.0
Effect Of Exchange Rate Changes,-38000000.0,41000000.0,-18000000.0,-8000000.0
Beginning Cash Position,2943000000.0,4337000000.0,3616000000.0,2542000000.0
Income Tax Paid Supplemental Data,622000000.0,323000000.0,457000000.0,539000000.0
Interest Paid Supplemental Data,325000000.0,304000000.0,286000000.0,248000000.0
Capital Expenditure,-525000000.0,-487000000.0,-649000000.0,-572000000.0
Issuance Of Debt,5000000.0,3292000000.0,2642000000.0,3126000000.0
Repayment Of Debt,-1151000000.0,-2297000000.0,-1342000000.0,-669000000.0
Repurchase Of Capital Stock,0.0,0.0,-307000000.0,-300000000.0
Free Cash Flow,2738000000.0,2790000000.0,1542000000.0,2038000000.0
