,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Operating Cash Flow,8625000000.0,10525000000.0,7117000000.0,5973000000.0
Cash Flow From Continuing Operating Activities,8625000000.0,10525000000.0,7099000000.0,5970000000.0
Net Income From Continuing Operations,6946000000.0,4368000000.0,3281000000.0,2930000000.0
Operating Gains Losses,-335000000.0,512000000.0,10000000.0,
Gain Loss On Sale Of Business,-335000000.0,,,
Depreciation Amortization Depletion,2642000000.0,2485000000.0,2604000000.0,2474000000.0
Depreciation And Amortization,2642000000.0,2485000000.0,2604000000.0,2474000000.0
Deferred Tax,522000000.0,-184000000.0,178000000.0,322000000.0
Deferred Income Tax,522000000.0,-184000000.0,178000000.0,322000000.0
Stock Based Compensation,228000000.0,200000000.0,147000000.0,132000000.0
Other Non Cash Items,67000000.0,86000000.0,17000000.0,95000000.0
Change In Working Capital,-1445000000.0,3058000000.0,862000000.0,17000000.0
Change In Inventory,-3249000000.0,-1661000000.0,505000000.0,-900000000.0
Change In Payables And Accrued Expense,1882000000.0,4856000000.0,339000000.0,1216000000.0
Change In Payable,2628000000.0,2925000000.0,140000000.0,1127000000.0
Change In Account Payable,2628000000.0,2925000000.0,140000000.0,1127000000.0
Change In Accrued Expense,-746000000.0,1931000000.0,199000000.0,89000000.0
Change In Other Current Assets,-78000000.0,-137000000.0,18000000.0,-299000000.0
Cash From Discontinued Operating Activities,0.0,0.0,18000000.0,3000000.0
Investing Cash Flow,-3154000000.0,-2591000000.0,-2944000000.0,-3416000000.0
Cash Flow From Continuing Investing Activities,-3154000000.0,-2591000000.0,-2944000000.0,-3416000000.0
Capital Expenditure Reported,-3544000000.0,-2649000000.0,-3027000000.0,-3516000000.0
Net PPE Purchase And Sale,27000000.0,42000000.0,63000000.0,85000000.0
Purchase Of PPE,,-2649000000.0,-3027000000.0,-3516000000.0
Sale Of PPE,27000000.0,42000000.0,63000000.0,85000000.0
Net Business Purchase And Sale,356000000.0,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Sale Of Business,356000000.0,,,
Net Investment Purchase And Sale,7000000.0,16000000.0,20000000.0,15000000.0
Financing Cash Flow,-8071000000.0,-2000000000.0,-3152000000.0,-3644000000.0
Cash Flow From Continuing Financing Activities,-8071000000.0,-2000000000.0,-3152000000.0,-3644000000.0
Net Issuance Payments Of Debt,825000000.0,65000000.0,-330000000.0,-281000000.0
Net Long Term Debt Issuance,825000000.0,65000000.0,-330000000.0,-281000000.0
Long Term Debt Issuance,1972000000.0,2480000000.0,1739000000.0,0.0
Long Term Debt Payments,-1147000000.0,-2415000000.0,-2069000000.0,-281000000.0
Net Common Stock Issuance,-7356000000.0,-745000000.0,-1565000000.0,-2124000000.0
Common Stock Payments,-7356000000.0,-745000000.0,-1565000000.0,-2124000000.0
Cash Dividends Paid,-1548000000.0,-1343000000.0,-1330000000.0,-1335000000.0
Common Stock Dividend Paid,-1548000000.0,-1343000000.0,-1330000000.0,-1335000000.0
Proceeds From Stock Option Exercised,8000000.0,23000000.0,73000000.0,96000000.0
End Cash Position,5911000000.0,8511000000.0,2577000000.0,1556000000.0
Changes In Cash,-2600000000.0,5934000000.0,1021000000.0,-1087000000.0
Beginning Cash Position,8511000000.0,2577000000.0,1556000000.0,2643000000.0
Income Tax Paid Supplemental Data,2063000000.0,1031000000.0,696000000.0,373000000.0
Interest Paid Supplemental Data,414000000.0,939000000.0,492000000.0,476000000.0
Capital Expenditure,-3544000000.0,-2649000000.0,-3027000000.0,-3516000000.0
Issuance Of Debt,1972000000.0,2480000000.0,1739000000.0,0.0
Repayment Of Debt,-1147000000.0,-2415000000.0,-2069000000.0,-281000000.0
Repurchase Of Capital Stock,-7356000000.0,-745000000.0,-1565000000.0,-2124000000.0
Free Cash Flow,5081000000.0,7876000000.0,4090000000.0,2457000000.0
