,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,9312000000.0,8289000000.0,4973000000.0,4543000000.0
Cash Flow From Continuing Operating Activities,9312000000.0,8289000000.0,4973000000.0,4543000000.0
Net Income From Continuing Operations,7728000000.0,6375000000.0,3696000000.0,2938000000.0
Operating Gains Losses,767000000.0,,-298000000.0,
Gain Loss On Sale Of Business,0.0,0.0,-482000000.0,
Depreciation Amortization Depletion,2592000000.0,2325000000.0,2277000000.0,2267000000.0
Depreciation And Amortization,2592000000.0,2325000000.0,2277000000.0,2267000000.0
Depreciation,831000000.0,658000000.0,564000000.0,
Amortization Cash Flow,1761000000.0,1667000000.0,1713000000.0,
Amortization Of Intangibles,1761000000.0,1667000000.0,1713000000.0,
Deferred Tax,-647000000.0,-552000000.0,-302000000.0,-379000000.0
Deferred Income Tax,-647000000.0,-552000000.0,-302000000.0,-379000000.0
Stock Based Compensation,230000000.0,196000000.0,181000000.0,181000000.0
Other Non Cash Items,156000000.0,244000000.0,34000000.0,13000000.0
Change In Working Capital,-1514000000.0,-299000000.0,-615000000.0,-477000000.0
Change In Receivables,-204000000.0,-1302000000.0,-225000000.0,-366000000.0
Changes In Account Receivables,-204000000.0,-1302000000.0,-225000000.0,-366000000.0
Change In Inventory,-1065000000.0,-508000000.0,-458000000.0,-324000000.0
Change In Payables And Accrued Expense,479000000.0,59000000.0,266000000.0,201000000.0
Change In Payable,479000000.0,59000000.0,266000000.0,201000000.0
Change In Account Payable,479000000.0,59000000.0,266000000.0,201000000.0
Change In Other Current Assets,,,-408000000.0,54000000.0
Change In Other Current Liabilities,,,210000000.0,-42000000.0
Change In Other Working Capital,-724000000.0,1452000000.0,,-93000000.0
Cash From Discontinued Operating Activities,,,0.0,0.0
Investing Cash Flow,-21932000000.0,-1510000000.0,-1487000000.0,-1253000000.0
Cash Flow From Continuing Investing Activities,-21932000000.0,-1510000000.0,-1487000000.0,-1253000000.0
Net PPE Purchase And Sale,-2503000000.0,-1466000000.0,-890000000.0,-708000000.0
Purchase Of PPE,-2523000000.0,-1474000000.0,-926000000.0,-758000000.0
Sale Of PPE,20000000.0,8000000.0,36000000.0,50000000.0
Net Business Purchase And Sale,-19395000000.0,-38000000.0,-715000000.0,-536000000.0
Purchase Of Business,-19395000000.0,-38000000.0,-1843000000.0,-536000000.0
Sale Of Business,0.0,0.0,1128000000.0,
Net Other Investing Changes,-34000000.0,-6000000.0,118000000.0,-9000000.0
Financing Cash Flow,6581000000.0,959000000.0,-3118000000.0,-2237000000.0
Cash Flow From Continuing Financing Activities,6581000000.0,959000000.0,-3118000000.0,-2237000000.0
Net Issuance Payments Of Debt,8911000000.0,2747000000.0,-1405000000.0,-1556000000.0
Net Long Term Debt Issuance,6399000000.0,2751000000.0,-722000000.0,-1362000000.0
Long Term Debt Issuance,18137000000.0,3464000000.0,5638000000.0,690000000.0
Long Term Debt Payments,-11738000000.0,-713000000.0,-6360000000.0,-2052000000.0
Net Short Term Debt Issuance,2512000000.0,-4000000.0,-683000000.0,-194000000.0
Short Term Debt Issuance,2512000000.0,383000000.0,2781000000.0,5060000000.0
Short Term Debt Payments,0.0,-387000000.0,-3464000000.0,-5254000000.0
Net Common Stock Issuance,-2000000000.0,-1500000000.0,-1500000000.0,-500000000.0
Common Stock Issuance,,,0.0,0.0
Common Stock Payments,-2000000000.0,-1500000000.0,-1500000000.0,-500000000.0
Cash Dividends Paid,-395000000.0,-337000000.0,-297000000.0,-266000000.0
Common Stock Dividend Paid,,-337000000.0,-297000000.0,-266000000.0
Proceeds From Stock Option Exercised,156000000.0,196000000.0,153000000.0,136000000.0
Net Other Financing Charges,-91000000.0,-147000000.0,-69000000.0,-51000000.0
End Cash Position,4491000000.0,10336000000.0,2422000000.0,2117000000.0
Changes In Cash,-6039000000.0,7738000000.0,368000000.0,1053000000.0
Effect Of Exchange Rate Changes,194000000.0,176000000.0,-63000000.0,-297000000.0
Beginning Cash Position,10336000000.0,2422000000.0,2117000000.0,1361000000.0
Income Tax Paid Supplemental Data,,1324000000.0,,
Interest Paid Supplemental Data,,471000000.0,,
Capital Expenditure,-2523000000.0,-1474000000.0,-926000000.0,-758000000.0
Issuance Of Capital Stock,,,0.0,0.0
Issuance Of Debt,20649000000.0,3847000000.0,8419000000.0,5750000000.0
Repayment Of Debt,-11738000000.0,-1100000000.0,-9824000000.0,-7306000000.0
Repurchase Of Capital Stock,-2000000000.0,-1500000000.0,-1500000000.0,-500000000.0
Free Cash Flow,6789000000.0,6815000000.0,4047000000.0,3785000000.0
