,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,853200000.0,1323700000.0,407000000.0,791700000.0
Cash Flow From Continuing Operating Activities,853200000.0,1323700000.0,407000000.0,791700000.0
Net Income From Continuing Operations,856300000.0,834200000.0,-652100000.0,643400000.0
Operating Gains Losses,53700000.0,-13200000.0,,
Gain Loss On Sale Of PPE,0.0,-13200000.0,,
Depreciation Amortization Depletion,195300000.0,218700000.0,248300000.0,268200000.0
Depreciation And Amortization,195300000.0,218700000.0,248300000.0,268200000.0
Deferred Tax,29900000.0,52600000.0,-115700000.0,34500000.0
Deferred Income Tax,29900000.0,52600000.0,-115700000.0,34500000.0
Asset Impairment Charge,0.0,45800000.0,813500000.0,
Provisionand Write Offof Assets,19900000.0,2800000.0,26000000.0,7100000.0
Stock Based Compensation,72200000.0,64100000.0,53100000.0,84800000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-7300000.0,-111600000.0,114200000.0,27000000.0
Change In Working Capital,-366800000.0,230300000.0,-80300000.0,-273300000.0
Change In Receivables,-96000000.0,-9600000.0,61900000.0,25700000.0
Changes In Account Receivables,-96000000.0,-9600000.0,61900000.0,25700000.0
Change In Inventory,-311700000.0,32200000.0,-58600000.0,-104700000.0
Change In Payables And Accrued Expense,70300000.0,447600000.0,-84100000.0,-69300000.0
Change In Payable,86400000.0,307300000.0,-91700000.0,-39800000.0
Change In Account Payable,86400000.0,307300000.0,-91700000.0,-39800000.0
Change In Accrued Expense,-16100000.0,140300000.0,7600000.0,-29500000.0
Change In Other Current Assets,-20200000.0,-223100000.0,38300000.0,-69200000.0
Change In Other Current Liabilities,-9200000.0,-16800000.0,-37800000.0,-55800000.0
Change In Other Working Capital,,,-37800000.0,-55800000.0
Investing Cash Flow,-253600000.0,-91000000.0,44300000.0,-574200000.0
Cash Flow From Continuing Investing Activities,-253600000.0,-91000000.0,44300000.0,-574200000.0
Net PPE Purchase And Sale,-93900000.0,-92100000.0,-205400000.0,-274200000.0
Purchase Of PPE,-93900000.0,-116000000.0,-205400000.0,-274200000.0
Sale Of PPE,0.0,23900000.0,,
Net Intangibles Purchase And Sale,,,0.0,0.0
Net Business Purchase And Sale,,0.0,0.0,-43500000.0
Purchase Of Business,,0.0,0.0,-43500000.0
Sale Of Business,,,,0.0
Net Investment Purchase And Sale,-159700000.0,1100000.0,249700000.0,-256500000.0
Purchase Of Investment,-540400000.0,-700000.0,-212400000.0,-415500000.0
Sale Of Investment,380700000.0,1800000.0,462100000.0,159000000.0
Net Other Investing Changes,380700000.0,25000000.0,,
Financing Cash Flow,-1778100000.0,-666000000.0,5900000.0,-484900000.0
Cash Flow From Continuing Financing Activities,-1778100000.0,-666000000.0,5900000.0,-484900000.0
Net Issuance Payments Of Debt,98500000.0,-712300000.0,699200000.0,0.0
Net Long Term Debt Issuance,98500000.0,-12300000.0,-800000.0,0.0
Long Term Debt Issuance,998500000.0,,0.0,0.0
Long Term Debt Payments,-900000000.0,-12300000.0,-800000.0,0.0
Net Short Term Debt Issuance,0.0,-700000000.0,700000000.0,
Short Term Debt Issuance,,0.0,700000000.0,
Short Term Debt Payments,0.0,-700000000.0,0.0,
Net Common Stock Issuance,-1600000000.0,0.0,-300000000.0,-100000000.0
Common Stock Payments,-1600000000.0,0.0,-300000000.0,-100000000.0
Cash Dividends Paid,-264400000.0,0.0,-380300000.0,-390700000.0
Common Stock Dividend Paid,-264400000.0,0.0,-380300000.0,-390700000.0
Proceeds From Stock Option Exercised,74700000.0,61200000.0,4300000.0,35300000.0
Net Other Financing Charges,-86900000.0,-14900000.0,-17300000.0,-29500000.0
End Cash Position,789800000.0,2007700000.0,1426300000.0,969200000.0
Changes In Cash,-1178500000.0,566700000.0,457200000.0,-267400000.0
Effect Of Exchange Rate Changes,-39400000.0,14700000.0,-100000.0,-6800000.0
Beginning Cash Position,2007700000.0,1426300000.0,969200000.0,1243400000.0
Income Tax Paid Supplemental Data,179700000.0,251800000.0,87200000.0,183800000.0
Interest Paid Supplemental Data,67800000.0,69700000.0,68100000.0,45400000.0
Capital Expenditure,-93900000.0,-116000000.0,-205400000.0,-274200000.0
Issuance Of Debt,998500000.0,0.0,700000000.0,0.0
Repayment Of Debt,-900000000.0,-712300000.0,-800000.0,0.0
Repurchase Of Capital Stock,-1600000000.0,0.0,-300000000.0,-100000000.0
Free Cash Flow,759300000.0,1207700000.0,201600000.0,517500000.0
