,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,11497000000.0,5943000000.0,2405000000.0,2097802000.0
Cash Flow From Continuing Operating Activities,11497000000.0,5943000000.0,2405000000.0,2097802000.0
Net Income From Continuing Operations,5644000000.0,862000000.0,-775000000.0,-1062582000.0
Operating Gains Losses,-82000000.0,231000000.0,98000000.0,159850000.0
Gain Loss On Sale Of PPE,-27000000.0,117000000.0,146000000.0,161361000.0
Net Foreign Currency Exchange Gain Loss,-55000000.0,114000000.0,-48000000.0,-1511000.0
Depreciation Amortization Depletion,2911000000.0,2322000000.0,2154000000.0,1901050000.0
Depreciation And Amortization,2911000000.0,2322000000.0,2154000000.0,1901050000.0
Depreciation,2911000000.0,,,
Asset Impairment Charge,140000000.0,202000000.0,193000000.0,85272000.0
Stock Based Compensation,2121000000.0,1734000000.0,898000000.0,749024000.0
Other Non Cash Items,245000000.0,408000000.0,186000000.0,207237000.0
Change In Working Capital,518000000.0,184000000.0,-349000000.0,57951000.0
Change In Receivables,-130000000.0,-652000000.0,-367000000.0,-496732000.0
Changes In Account Receivables,-130000000.0,-652000000.0,-367000000.0,-496732000.0
Change In Inventory,-1709000000.0,-422000000.0,-429000000.0,-1023264000.0
Change In Prepaid Assets,-271000000.0,-251000000.0,-288000000.0,-82125000.0
Change In Payables And Accrued Expense,4578000000.0,2102000000.0,682000000.0,1722850000.0
Change In Other Current Assets,-3405000000.0,-1416000000.0,-649000000.0,-214747000.0
Change In Other Current Liabilities,476000000.0,495000000.0,-41000000.0,49402000.0
Change In Other Working Capital,979000000.0,328000000.0,743000000.0,102567000.0
Investing Cash Flow,-7868000000.0,-3132000000.0,-1436000000.0,-2337428000.0
Cash Flow From Continuing Investing Activities,-7868000000.0,-3132000000.0,-1436000000.0,-2337428000.0
Capital Expenditure Reported,,,-1327000000.0,-2100724000.0
Net PPE Purchase And Sale,-6514000000.0,-3232000000.0,-1432000000.0,-2319516000.0
Purchase Of PPE,-6514000000.0,-3232000000.0,-1432000000.0,-2319516000.0
Net Intangibles Purchase And Sale,-1228000000.0,-10000000.0,-5000000.0,
Purchase Of Intangibles,-1500000000.0,-10000000.0,-5000000.0,
Sale Of Intangibles,272000000.0,,,
Net Business Purchase And Sale,0.0,-13000000.0,-45000000.0,-17912000.0
Purchase Of Business,0.0,-13000000.0,-45000000.0,-17912000.0
Net Investment Purchase And Sale,-132000000.0,,,0.0
Purchase Of Investment,-132000000.0,,,
Sale Of Investment,,,,0.0
Net Other Investing Changes,6000000.0,123000000.0,46000000.0,
Financing Cash Flow,-5203000000.0,9973000000.0,1529000000.0,573755000.0
Cash Flow From Continuing Financing Activities,-5203000000.0,9973000000.0,1529000000.0,573755000.0
Net Issuance Payments Of Debt,-5732000000.0,-2488000000.0,798000000.0,89144000.0
Net Long Term Debt Issuance,-5732000000.0,-2488000000.0,798000000.0,89144000.0
Long Term Debt Issuance,8883000000.0,9713000000.0,10669000000.0,6176173000.0
Long Term Debt Payments,-14615000000.0,-12201000000.0,-9871000000.0,-6087029000.0
Net Common Stock Issuance,0.0,12269000000.0,848000000.0,0.0
Common Stock Issuance,0.0,12269000000.0,848000000.0,0.0
Proceeds From Stock Option Exercised,707000000.0,417000000.0,437000000.0,295711000.0
Net Other Financing Charges,-178000000.0,-225000000.0,-554000000.0,188900000.0
End Cash Position,18144000000.0,19901000000.0,6783000000.0,4276388000.0
Changes In Cash,-1574000000.0,12784000000.0,2498000000.0,334129000.0
Effect Of Exchange Rate Changes,-183000000.0,334000000.0,8000000.0,-22700000.0
Beginning Cash Position,19901000000.0,6783000000.0,4277000000.0,3964959000.0
Income Tax Paid Supplemental Data,561000000.0,115000000.0,54000000.0,35409000.0
Interest Paid Supplemental Data,266000000.0,444000000.0,455000000.0,380836000.0
Capital Expenditure,-8014000000.0,-3242000000.0,-1437000000.0,-2319516000.0
Issuance Of Capital Stock,0.0,12269000000.0,848000000.0,0.0
Issuance Of Debt,8883000000.0,9713000000.0,10669000000.0,6176173000.0
Repayment Of Debt,-14615000000.0,-12201000000.0,-9871000000.0,-6087029000.0
Free Cash Flow,3483000000.0,2701000000.0,968000000.0,-221714000.0
