,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1598000000.0,768000000.0,1014000000.0,1107000000.0
Cash Flow From Continuing Operating Activities,1599000000.0,769000000.0,1016000000.0,1109000000.0
Net Income From Continuing Operations,747000000.0,309000000.0,815000000.0,1222000000.0
Operating Gains Losses,-17000000.0,-15000000.0,,-444000000.0
Gain Loss On Sale Of Business,-17000000.0,0.0,0.0,-444000000.0
Pension And Employee Benefit Expense,-82000000.0,-15000000.0,,
Depreciation Amortization Depletion,390000000.0,391000000.0,416000000.0,437000000.0
Depreciation And Amortization,390000000.0,391000000.0,416000000.0,437000000.0
Deferred Tax,23000000.0,-7000000.0,89000000.0,49000000.0
Deferred Income Tax,23000000.0,-7000000.0,89000000.0,49000000.0
Asset Impairment Charge,13000000.0,116000000.0,15000000.0,48000000.0
Other Non Cash Items,90000000.0,95000000.0,79000000.0,105000000.0
Change In Working Capital,353000000.0,-135000000.0,-398000000.0,-308000000.0
Change In Receivables,73000000.0,60000000.0,144000000.0,72000000.0
Changes In Account Receivables,-58000000.0,149000000.0,99000000.0,50000000.0
Change In Inventory,45000000.0,434000000.0,-292000000.0,41000000.0
Change In Payables And Accrued Expense,13000000.0,-613000000.0,280000000.0,-63000000.0
Change In Payable,13000000.0,-613000000.0,280000000.0,-63000000.0
Change In Tax Payable,,,-83000000.0,-33000000.0
Change In Income Tax Payable,,,-83000000.0,-33000000.0
Change In Account Payable,13000000.0,-613000000.0,280000000.0,-63000000.0
Change In Other Current Assets,-112000000.0,66000000.0,-37000000.0,-88000000.0
Change In Other Current Liabilities,405000000.0,-5000000.0,-348000000.0,-223000000.0
Change In Other Working Capital,-71000000.0,-77000000.0,-145000000.0,-47000000.0
Cash From Discontinued Operating Activities,-1000000.0,-1000000.0,-2000000.0,-2000000.0
Investing Cash Flow,-281000000.0,-248000000.0,-266000000.0,620000000.0
Cash Flow From Continuing Investing Activities,-281000000.0,-248000000.0,-266000000.0,620000000.0
Capital Expenditure Reported,-375000000.0,-317000000.0,-339000000.0,-369000000.0
Net PPE Purchase And Sale,3000000.0,33000000.0,,
Sale Of PPE,3000000.0,33000000.0,,
Net Business Purchase And Sale,38000000.0,-15000000.0,-2000000.0,784000000.0
Purchase Of Business,0.0,-15000000.0,-2000000.0,-23000000.0
Sale Of Business,38000000.0,0.0,0.0,807000000.0
Net Other Investing Changes,53000000.0,51000000.0,75000000.0,205000000.0
Financing Cash Flow,-1446000000.0,360000000.0,-502000000.0,-1864000000.0
Cash Flow From Continuing Financing Activities,-1446000000.0,360000000.0,-502000000.0,-1864000000.0
Net Issuance Payments Of Debt,-621000000.0,544000000.0,-2000000.0,-131000000.0
Net Long Term Debt Issuance,-621000000.0,544000000.0,-2000000.0,-131000000.0
Long Term Debt Issuance,0.0,1514000000.0,301000000.0,0.0
Long Term Debt Payments,-621000000.0,-970000000.0,-303000000.0,-131000000.0
Net Short Term Debt Issuance,,-2000000.0,,
Short Term Debt Payments,,-2000000.0,,
Net Common Stock Issuance,-921000000.0,-183000000.0,-503000000.0,-1783000000.0
Common Stock Payments,-921000000.0,-183000000.0,-503000000.0,-1783000000.0
Cash Dividends Paid,-18000000.0,-18000000.0,-18000000.0,-20000000.0
Common Stock Dividend Paid,-18000000.0,-18000000.0,-18000000.0,-20000000.0
Proceeds From Stock Option Exercised,116000000.0,22000000.0,24000000.0,74000000.0
Net Other Financing Charges,-2000000.0,-5000000.0,-3000000.0,-4000000.0
Cash Flow From Discontinued Operation,-1000000.0,-1000000.0,-2000000.0,-2000000.0
End Cash Position,2117000000.0,2254000000.0,1357000000.0,1107000000.0
Changes In Cash,-129000000.0,880000000.0,246000000.0,-137000000.0
Effect Of Exchange Rate Changes,-8000000.0,17000000.0,4000000.0,-18000000.0
Beginning Cash Position,2254000000.0,1357000000.0,1107000000.0,1262000000.0
Capital Expenditure,-375000000.0,-317000000.0,-339000000.0,-369000000.0
Issuance Of Debt,0.0,1514000000.0,301000000.0,0.0
Repayment Of Debt,-621000000.0,-970000000.0,-303000000.0,-131000000.0
Repurchase Of Capital Stock,-921000000.0,-183000000.0,-503000000.0,-1783000000.0
Free Cash Flow,1223000000.0,451000000.0,675000000.0,738000000.0
