,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,883695000.0,2360169000.0,1438469000.0,1340893000.0
Cash Flow From Continuing Operating Activities,883695000.0,2360169000.0,1438469000.0,1340893000.0
Net Income From Continuing Operations,987632000.0,952790000.0,827543000.0,797883000.0
Operating Gains Losses,11661000.0,3322000.0,-7540000.0,214000.0
Depreciation Amortization Depletion,533213000.0,510493000.0,490392000.0,453076000.0
Depreciation And Amortization,533213000.0,510493000.0,490392000.0,453076000.0
Asset Impairment Charge,14391000.0,0.0,97631000.0,49310000.0
Stock Based Compensation,73686000.0,65837000.0,69431000.0,66581000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-790264000.0,-113085000.0,-97781000.0,-76147000.0
Change In Working Capital,53376000.0,940812000.0,58793000.0,49976000.0
Change In Receivables,-8873000.0,-145901000.0,-42056000.0,-42239000.0
Changes In Account Receivables,-8873000.0,-145901000.0,-42056000.0,-42239000.0
Change In Payables And Accrued Expense,137135000.0,158788000.0,80687000.0,34333000.0
Change In Payable,-54030000.0,9593000.0,-25194000.0,-54052000.0
Change In Tax Payable,-54030000.0,9593000.0,-25194000.0,-54052000.0
Change In Income Tax Payable,-54030000.0,9593000.0,-25194000.0,-54052000.0
Change In Accrued Expense,191165000.0,149195000.0,105881000.0,88385000.0
Change In Interest Payable,4950000.0,-10028000.0,209000.0,-4478000.0
Change In Other Current Assets,-39337000.0,-4555000.0,-27205000.0,-31429000.0
Change In Other Working Capital,-35549000.0,932480000.0,47367000.0,89311000.0
Investing Cash Flow,-914466000.0,-802562000.0,-688410000.0,-813398000.0
Cash Flow From Continuing Investing Activities,-914466000.0,-802562000.0,-688410000.0,-813398000.0
Net PPE Purchase And Sale,-855659000.0,-783316000.0,-642100000.0,-775426000.0
Purchase Of PPE,-855659000.0,-783316000.0,-642100000.0,-775426000.0
Net Intangibles Purchase And Sale,19726000.0,-2902000.0,-21418000.0,-36243000.0
Purchase Of Intangibles,,-2902000.0,-21418000.0,-36243000.0
Sale Of Intangibles,19726000.0,,,
Net Business Purchase And Sale,-105315000.0,-2772000.0,-14579000.0,-15231000.0
Purchase Of Business,-105415000.0,-2672000.0,-14579000.0,-15331000.0
Sale Of Business,100000.0,-100000.0,0.0,100000.0
Net Investment Purchase And Sale,1357000.0,-21740000.0,-19763000.0,
Net Other Investing Changes,25425000.0,8168000.0,9450000.0,13502000.0
Financing Cash Flow,-1068950000.0,-384859000.0,-845036000.0,-492202000.0
Cash Flow From Continuing Financing Activities,-1068950000.0,-384859000.0,-845036000.0,-492202000.0
Net Issuance Payments Of Debt,217106000.0,-160968000.0,-17922000.0,-39249000.0
Net Long Term Debt Issuance,217106000.0,-160968000.0,-17922000.0,-39249000.0
Long Term Debt Issuance,3254974000.0,801599000.0,39220000.0,791247000.0
Long Term Debt Payments,-3037868000.0,-962567000.0,-57142000.0,-830496000.0
Net Common Stock Issuance,-1207503000.0,-194401000.0,-759698000.0,-387229000.0
Common Stock Issuance,13372000.0,12318000.0,10806000.0,10196000.0
Common Stock Payments,-1220875000.0,-206719000.0,-770504000.0,-397425000.0
Cash Dividends Paid,-65896000.0,-17344000.0,-53003000.0,-37342000.0
Common Stock Dividend Paid,-65896000.0,-17344000.0,-53003000.0,-37342000.0
Net Other Financing Charges,-12657000.0,-12146000.0,-14413000.0,-28382000.0
End Cash Position,178934000.0,1279154000.0,105667000.0,199685000.0
Changes In Cash,-1099721000.0,1172748000.0,-94977000.0,35293000.0
Effect Of Exchange Rate Changes,-499000.0,739000.0,959000.0,-2905000.0
Beginning Cash Position,1279154000.0,105667000.0,199685000.0,167297000.0
Income Tax Paid Supplemental Data,362978000.0,286247000.0,260622000.0,293837000.0
Interest Paid Supplemental Data,75607000.0,112598000.0,157406000.0,150293000.0
Capital Expenditure,-855659000.0,-786218000.0,-663518000.0,-811669000.0
Issuance Of Capital Stock,13372000.0,12318000.0,10806000.0,10196000.0
Issuance Of Debt,3254974000.0,801599000.0,39220000.0,791247000.0
Repayment Of Debt,-3037868000.0,-962567000.0,-57142000.0,-830496000.0
Repurchase Of Capital Stock,-1220875000.0,-206719000.0,-770504000.0,-397425000.0
Free Cash Flow,28036000.0,1573951000.0,774951000.0,529224000.0
