,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,9870000000.0,3716000000.0,4889000000.0,10564000000.0
Cash Flow From Continuing Operating Activities,9870000000.0,3716000000.0,4889000000.0,10564000000.0
Net Income From Continuing Operations,7963000000.0,4959000000.0,6914000000.0,7096000000.0
Operating Gains Losses,-1533000000.0,-2537000000.0,-1231000000.0,-904000000.0
Gain Loss On Investment Securities,-398000000.0,-344000000.0,-469000000.0,-510000000.0
Depreciation Amortization Depletion,497000000.0,527000000.0,502000000.0,467000000.0
Depreciation And Amortization,497000000.0,527000000.0,502000000.0,467000000.0
Depreciation,338000000.0,351000000.0,334000000.0,306000000.0
Amortization Cash Flow,159000000.0,176000000.0,168000000.0,161000000.0
Amortization Of Intangibles,159000000.0,176000000.0,168000000.0,161000000.0
Other Non Cash Items,4116000000.0,-3039000000.0,-2800000000.0,2526000000.0
Investing Cash Flow,-57487000000.0,-15440000000.0,-21560000000.0,-8977000000.0
Cash Flow From Continuing Investing Activities,-57487000000.0,-15440000000.0,-21560000000.0,-8977000000.0
Net Investment Purchase And Sale,-41766000000.0,-12427000000.0,-8672000000.0,-440000000.0
Purchase Of Investment,-100133000000.0,-68662000000.0,-40515000000.0,-19870000000.0
Sale Of Investment,58367000000.0,56235000000.0,31843000000.0,19430000000.0
Net Other Investing Changes,3000000.0,-636000000.0,-1295000000.0,-471000000.0
Financing Cash Flow,13942000000.0,51899000000.0,17623000000.0,361000000.0
Cash Flow From Continuing Financing Activities,13942000000.0,51899000000.0,17623000000.0,361000000.0
Net Issuance Payments Of Debt,-8776000000.0,-11932000000.0,8364000000.0,6638000000.0
Net Long Term Debt Issuance,-8806000000.0,25000000.0,-1220000000.0,9150000000.0
Long Term Debt Issuance,2626000000.0,14501000000.0,9899000000.0,12078000000.0
Long Term Debt Payments,-11432000000.0,-14476000000.0,-11119000000.0,-2928000000.0
Net Short Term Debt Issuance,30000000.0,-11957000000.0,9584000000.0,-2512000000.0
Net Common Stock Issuance,-1512000000.0,-1657000000.0,-4437000000.0,-2736000000.0
Common Stock Issuance,43000000.0,15000000.0,88000000.0,86000000.0
Common Stock Payments,-1555000000.0,-1672000000.0,-4525000000.0,-2822000000.0
Net Preferred Stock Issuance,971000000.0,486000000.0,0.0,565000000.0
Preferred Stock Issuance,2221000000.0,486000000.0,0.0,565000000.0
Preferred Stock Payments,-1250000000.0,,0.0,0.0
Cash Dividends Paid,-2887000000.0,-2852000000.0,-2745000000.0,-2366000000.0
Common Stock Dividend Paid,-2579000000.0,-2552000000.0,-2443000000.0,-2092000000.0
Preferred Stock Dividend Paid,-308000000.0,-300000000.0,-302000000.0,-274000000.0
Net Other Financing Charges,-167000000.0,,,
End Cash Position,28905000000.0,62580000000.0,22405000000.0,21453000000.0
Changes In Cash,-33675000000.0,40175000000.0,952000000.0,1948000000.0
Beginning Cash Position,62580000000.0,22405000000.0,21453000000.0,19505000000.0
Income Tax Paid Supplemental Data,535000000.0,1025000000.0,941000000.0,365000000.0
Interest Paid Supplemental Data,1061000000.0,2199000000.0,4404000000.0,3056000000.0
Issuance Of Capital Stock,2264000000.0,501000000.0,88000000.0,651000000.0
Issuance Of Debt,2626000000.0,14501000000.0,9899000000.0,12078000000.0
Repayment Of Debt,-11432000000.0,-14476000000.0,-11119000000.0,-2928000000.0
Repurchase Of Capital Stock,-2805000000.0,-1672000000.0,-4525000000.0,-2822000000.0
Free Cash Flow,9870000000.0,3716000000.0,4889000000.0,10564000000.0
