,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,807152000.0,730183000.0,753892000.0,697767000.0
Cash Flow From Continuing Operating Activities,807152000.0,730183000.0,753892000.0,697767000.0
Net Income From Continuing Operations,784830000.0,814888000.0,612299000.0,582489000.0
Operating Gains Losses,,-6402000.0,-817000.0,-48286000.0
Gain Loss On Sale Of Business,,-6402000.0,-817000.0,-54840000.0
Depreciation Amortization Depletion,47940000.0,46352000.0,46330000.0,48367000.0
Depreciation And Amortization,47940000.0,46352000.0,46330000.0,48367000.0
Depreciation,47940000.0,46352000.0,46330000.0,48367000.0
Amortization Of Securities,,-6131000.0,-14777000.0,-18259000.0
Stock Based Compensation,53439000.0,48243000.0,50626000.0,52504000.0
Other Non Cash Items,6027000.0,3425000.0,3668000.0,8092000.0
Change In Working Capital,-85084000.0,-170192000.0,56563000.0,72860000.0
Change In Prepaid Assets,,,,1041000.0
Change In Payables And Accrued Expense,15495000.0,2227000.0,-24000.0,-2130000.0
Change In Other Current Assets,-14058000.0,-9214000.0,-3279000.0,
Change In Other Working Capital,-86521000.0,-163205000.0,59866000.0,73949000.0
Investing Cash Flow,-269246000.0,-72258000.0,167195000.0,1070130000.0
Cash Flow From Continuing Investing Activities,-269246000.0,-72258000.0,167195000.0,1070130000.0
Net PPE Purchase And Sale,-53033000.0,-43395000.0,-40316000.0,-37007000.0
Purchase Of PPE,-53033000.0,-43395000.0,-40316000.0,-37007000.0
Net Intangibles Purchase And Sale,,,,0.0
Purchase Of Intangibles,,,,0.0
Net Business Purchase And Sale,0.0,20810000.0,-9872000.0,52240000.0
Sale Of Business,0.0,,,52240000.0
Net Investment Purchase And Sale,-216213000.0,-49673000.0,217383000.0,1055057000.0
Purchase Of Investment,-2870670000.0,-2355405000.0,-2030521000.0,-2976752000.0
Sale Of Investment,2654457000.0,2305732000.0,2247904000.0,4031809000.0
Net Other Investing Changes,,,,-160000.0
Financing Cash Flow,-719130000.0,-764877000.0,-770303000.0,-1875325000.0
Cash Flow From Continuing Financing Activities,-719130000.0,-764877000.0,-770303000.0,-1875325000.0
Net Issuance Payments Of Debt,-8947000.0,0.0,0.0,-1250009000.0
Net Long Term Debt Issuance,-8947000.0,0.0,0.0,-1250009000.0
Long Term Debt Issuance,741053000.0,,0.0,0.0
Long Term Debt Payments,-750000000.0,0.0,0.0,-1250009000.0
Net Common Stock Issuance,-722587000.0,-777454000.0,-782583000.0,-638152000.0
Common Stock Payments,-722587000.0,-777454000.0,-782583000.0,-638152000.0
Proceeds From Stock Option Exercised,12404000.0,12577000.0,13152000.0,12836000.0
Net Other Financing Charges,,,-872000.0,
End Cash Position,228816000.0,410601000.0,517601000.0,366753000.0
Changes In Cash,-181224000.0,-106952000.0,150784000.0,-107428000.0
Effect Of Exchange Rate Changes,-561000.0,-48000.0,64000.0,-958000.0
Beginning Cash Position,410601000.0,517601000.0,366753000.0,475139000.0
Income Tax Paid Supplemental Data,178351000.0,132683000.0,89974000.0,84906000.0
Interest Paid Supplemental Data,85578000.0,87354000.0,87683000.0,117956000.0
Capital Expenditure,-53033000.0,-43395000.0,-40316000.0,-37007000.0
Issuance Of Debt,741053000.0,,0.0,0.0
Repayment Of Debt,-750000000.0,0.0,0.0,-1250009000.0
Repurchase Of Capital Stock,-722587000.0,-777454000.0,-782583000.0,-638152000.0
Free Cash Flow,754119000.0,686788000.0,713576000.0,660760000.0
