,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,1880000000.0,1898000000.0,824000000.0,1547000000.0
Cash Flow From Continuing Operating Activities,1880000000.0,1898000000.0,824000000.0,1547000000.0
Net Income From Continuing Operations,1500000000.0,821000000.0,-250000000.0,-754000000.0
Operating Gains Losses,-25000000.0,-70000000.0,-7000000.0,39000000.0
Gain Loss On Sale Of Business,-9000000.0,,,
Depreciation Amortization Depletion,929000000.0,1212000000.0,1566000000.0,1812000000.0
Depreciation And Amortization,929000000.0,1212000000.0,1566000000.0,1812000000.0
Deferred Tax,114000000.0,-242000000.0,-82000000.0,374000000.0
Deferred Income Tax,114000000.0,-242000000.0,-82000000.0,374000000.0
Asset Impairment Charge,,,40000000.0,38000000.0
Stock Based Compensation,326000000.0,318000000.0,308000000.0,306000000.0
Other Non Cash Items,111000000.0,34000000.0,46000000.0,30000000.0
Change In Working Capital,-1075000000.0,-175000000.0,-757000000.0,-260000000.0
Change In Receivables,-546000000.0,121000000.0,-1175000000.0,993000000.0
Changes In Account Receivables,-546000000.0,121000000.0,-1175000000.0,993000000.0
Change In Inventory,-22000000.0,-546000000.0,200000000.0,-339000000.0
Change In Payables And Accrued Expense,-35000000.0,354000000.0,451000000.0,-558000000.0
Change In Payable,-281000000.0,2000000.0,267000000.0,-516000000.0
Change In Tax Payable,-74000000.0,,,
Change In Income Tax Payable,-74000000.0,,,
Change In Account Payable,-207000000.0,2000000.0,267000000.0,-516000000.0
Change In Accrued Expense,246000000.0,352000000.0,184000000.0,-42000000.0
Change In Other Working Capital,-472000000.0,-104000000.0,-233000000.0,-356000000.0
Investing Cash Flow,-1192000000.0,-765000000.0,278000000.0,-1272000000.0
Cash Flow From Continuing Investing Activities,-1192000000.0,-765000000.0,278000000.0,-1272000000.0
Net PPE Purchase And Sale,-1107000000.0,-1003000000.0,-647000000.0,-757000000.0
Purchase Of PPE,-1122000000.0,-1146000000.0,-647000000.0,-876000000.0
Sale Of PPE,15000000.0,143000000.0,0.0,119000000.0
Net Business Purchase And Sale,32000000.0,0.0,-22000000.0,0.0
Purchase Of Business,0.0,0.0,-22000000.0,0.0
Sale Of Business,32000000.0,,,
Net Investment Purchase And Sale,-26000000.0,7000000.0,16000000.0,83000000.0
Purchase Of Investment,-26000000.0,0.0,0.0,-79000000.0
Sale Of Investment,,7000000.0,16000000.0,162000000.0
Net Other Investing Changes,-91000000.0,231000000.0,931000000.0,-598000000.0
Financing Cash Flow,-1718000000.0,-817000000.0,-1508000000.0,-1829000000.0
Cash Flow From Continuing Financing Activities,-1718000000.0,-817000000.0,-1508000000.0,-1829000000.0
Net Issuance Payments Of Debt,-1727000000.0,-886000000.0,-982000000.0,-681000000.0
Net Long Term Debt Issuance,-1727000000.0,-886000000.0,-982000000.0,-181000000.0
Long Term Debt Issuance,1894000000.0,,0.0,0.0
Long Term Debt Payments,-3621000000.0,-886000000.0,-982000000.0,-181000000.0
Net Short Term Debt Issuance,,0.0,0.0,-500000000.0
Short Term Debt Payments,,0.0,0.0,-500000000.0
Net Common Stock Issuance,,0.0,0.0,-563000000.0
Common Stock Payments,,0.0,0.0,-563000000.0
Cash Dividends Paid,0.0,0.0,-595000000.0,-584000000.0
Common Stock Dividend Paid,,,-595000000.0,-584000000.0
Proceeds From Stock Option Exercised,122000000.0,134000000.0,141000000.0,118000000.0
Net Other Financing Charges,-113000000.0,-65000000.0,-72000000.0,-119000000.0
End Cash Position,2327000000.0,3370000000.0,3048000000.0,3455000000.0
Changes In Cash,-1030000000.0,316000000.0,-406000000.0,-1554000000.0
Effect Of Exchange Rate Changes,-13000000.0,6000000.0,-1000000.0,4000000.0
Beginning Cash Position,3370000000.0,3048000000.0,3455000000.0,5005000000.0
Income Tax Paid Supplemental Data,423000000.0,348000000.0,341000000.0,377000000.0
Interest Paid Supplemental Data,245000000.0,283000000.0,372000000.0,431000000.0
Capital Expenditure,-1122000000.0,-1146000000.0,-647000000.0,-876000000.0
Issuance Of Debt,1894000000.0,,0.0,0.0
Repayment Of Debt,-3621000000.0,-886000000.0,-982000000.0,-681000000.0
Repurchase Of Capital Stock,,0.0,0.0,-563000000.0
Free Cash Flow,758000000.0,752000000.0,177000000.0,671000000.0
